Ü_beraschung	Überraschung
!	!
\h	\h
Er	Er
war	war
einmal	einmal
ein	ein
Mädchen	Mädchen
namens	namens
Lea	Lea
.	.
^	
Sie	Sie
ging	ging
immer	immer
mit	mit
ihr	ihr
Hund	Hund
Dodo	Dodo
spatziren	spazieren
.	.
^	
Aber	Aber
Dodo	Dodo
rahr	sah
im	im
Park	Park
Hundefütter	Hundefutter
.	.
^	
Und	Und
lief	lief
zum	zum
Futter	Futter
und	und
Lea	Lea
hat	hat
er	er
^	
nicht	nicht
bemerkt	bemerkt
und	und
Dodo	Dodo
lief	lief
weg	weg
.	.
^	
Lea	Lea
bemerkte	bemerkte
es	es
jetzt	jetzt
.	.
Und	Und
ging	ging
nach	nach
Hause	Hause
^	
um	um
plakarte	Plakate
zu	zu
machen	machen
.	.
Sie	Sie
hing	hing
an	an
jeder	jeder
^	
Wand	Wand
Plakarte	Plakate
auf	auf
.	.
Dann	Dann
ging	ging
Sie	sie
nach	nach
Hause	Hause
^	
und	und
blieb	blieb
neben	neben
dem	dem
Telefon	Telefon
.	.
Und	Und
Wartt	wartet
^	
und	und
wartet	wartet
plötzlich	plötzlich
ruft	ruft
ihr	ihr
freund	Freund
Lars	Lars
^	
An	an
und	und
ragte	sagte
"	"
Ich	Ich
habe	habe
ein	ein
Hund	Hund
gefunden	gefunden
^	
ist	ist
er	er
deinr	deiner
?	?
"	"
Lea	Lea
sagt	sagt
"	"
Ja	Ja
das	das
ist	ist
meins	meins
.	.
^	
Komm	Komm
zu	zu
mir	mir
und	und
du	du
kannst	kannst
er	er
mir	mir
^	
geben	geben
.	.
"	"
Lea	Lea
sieht	sieht
dar	dass
Larr	Lars
an	an
der	der
Tür	Tür
ist	ist
^	
und	und
holt	holt
dodor	Dodos
futter	Futter
und	und
macht	macht
die	die
Tür	Tür
^	
auf	auf
.	.
Sie	Sie
drückt	drückt
Larr	Lars
und	und
gib	gib
ihr	ihr
noch	noch
ein	ein
^	
Lolli	Lolli
.	.
