Eines	Eines
morgens	Morgens
ging	ging
Lea	Lea
und	und
Dodo	Dodo
in	in
denn	den
Bus	Bus
.	.
^	
Lea	Lea
und	und
Dodo	Dodo
wollten	wollten
austeigen	aussteigen
.	.
Der	Der
Dodo	Dodo
wollte	wollte
^	
nicht	nicht
raus	raus
.	.
Lea	Lea
hat	hat
sich	sich
gefragt	gefragt
wieso	wieso
wollte	wollte
^	
Dodo	Dodo
nicht	nicht
nicht	nicht
aus	aus
demm	dem
Bus	Bus
raus	raus
?	?
Dachte	Dachte
^	
Lea	Lea
.	.
Lea	Lea
ist	ist
ausgestiegen	ausgestiegen
und	und
Pötzlich	Plötzlich
Kopfte	klopfte
der	der
^	
alte	alte
mann	Mann
aus	aus
die	die
Fenzterscheibe	Fensterscheibe
.	.
Lea	Lea
hat	hat
sich	sich
^	
umgedret	umgedreht
und	und
hat	hat
gesehen	gesehen
das	dass
der	der
alte	alte
mann	Mann
die	die
^	
Tasche	Tasche
hochgezeigt	hochgezeigt
hate	hatte
.	.
Dodo	Dodo
hat	hat
sich	sich
Erschreckt	erschreckt
.	.
^	
Lea	Lea
und	und
Dodo	Dodo
sind	sind
dem	dem
Bus	Bus
.	.
hinterher	hinterher
gerannt	gerannt
.	.
Lea	Lea
^	
und	und
Dodo	Dodo
haben	haben
den	den
Bus	Bus
nicht	nicht
gekrieckt	gekriegt
^	
stehn	stehen
zu	zu
bleiben	bleiben
.	.
Lea	Lea
ist	ist
stehn	stehen
geblieben	geblieben
und	und
^	
Dodo	Dodo
auch	auch
.	.
Lea	Lea
hat	hat
sich	sich
gefragt	gefragt
wenn	wenn
jemmand	jemand
^	
was	was
verloren	verloren
hat	hat
dann	dann
tut	tut
mann	man
die	die
sachen	Sachen
^	
beim	beim
fundbüro	Fundbüro
genau	genau
ich	ich
habs	habs
herau	heraus
gefunden	gefunden
.	.
^	
Rif	Rief
Lea	Lea
.	.
Dodo	Dodo
und	und
Lea	Lea
sind	sind
zum	zum
fundbüro	Fundbüro
gegangen	gegangen
.	.
^	
Der	Der
alte	alte
mann	Mann
hat	hat
die	die
Tasche	Tasche
schon	schon
zum	zum
^	
fundbüro	Fundbüro
schon	schon
hingebracht	hingebracht
.	.
Lea	Lea
und	und
Dodo	Dodo
sind	sind
^	
Angekommen	angekommen
und	und
hat	hat
gefragt	gefragt
:	:
"	"
Entschuldiegung	Entschuldigung
^	
ist	ist
hir	hier
eine	eine
Gelbe	gelbe
Tasche	Tasche
?	?
"	"
Ja	Ja
na|	na
klar	klar
sagte	sagte
der	der
^	
der	der
Mann	Mann
.	.
Danke	Danke
sie	sie
haben	haben
meine	meine
Tasche	Tasche
^	
fillen	vielen
fiellen	vielen
dank	Dank
!	!
"	"
sprach	sprach
Lea	Lea
zu	zu
denn	den
^	
Mann	Mann
.	.
Lea	Lea
hat	hat
die	die
Tasche	Tasche
genommen	genommen
^	
und	und
ist	ist
mit	mit
Lea	Lea
nach	nach
Hause	Hause
^	
gegangen	gegangen
mit	mit
Dodo	Dodo
.	.
Sie	Sie
ist	ist
mit	mit
Dodo	Dodo
^	
angekommen	angekommen
zu	zu
ihren	ihren
zu	zu
Hause	Hause
.	.
Lea	Lea
^	
wo	wo
warst	warst
du	du
denn	denn
so	so
lange	lange
sprach	sprach
die	die
^	
Mutter	Mutter
.	.
Tut	Tut
mir	mir
leid	leid
dass	dass
ist	ist
eine	eine
^	
lange	lange
Geschichte	Geschichte
sagte	sagte
die	die
^	
Lea	Lea
.	.
Lea	Lea
und	und
Dodo	Dodo
waren	waren
^	
dann	dann
schon	schon
am	am
schlafen	Schlafen
.	.
The	The
^	
End	End
