belt	bellt
kukt	kuckt
dan	dann
gekricht	gekriegt
leken	lecken
felt	fällt
wolte	wollte
lekt	leckt
fom	vom
gawen	kaufen
din	ein
Keld	Geld
man	Mann
gien	gehen
nahaise	nachhause
esen	essen
aba	aber
gieben	geben
wollt	wollte
feid	fällt
gen	gehen
wil	will
gipt	gibt
ter	der
ap	ab
ale	alle
frölich	fröhlich
siend	sind
weitagegangen	weitergegangen
natürlig	natürlich
üder	über
ier	ihr
runder	runter
harden	haben
schneel	schnell
haten	hatten
arder	aber
gugel	Kugel
hate	hatte
geld	gelb
eisferkeufer	Eisverkäufer
in	ihn
Dan	Dann
ir	ihr
fenkt	fängt
get	geht
Stolpat	stolpert
üba	über
fellt	fällt
hinn	hin
ide	Idee
giebt	gibt
glüklieg	glücklich
bekomen	bekommen
kabut	kaputt
hingefalen	hingefallen
rhr	ihr
Teielt	teilt
möschde	möchte
past	passt
veil	weil
möschte	möchte
on	und
runtergefalen	runtergefallen
ern	er
fählt	fällt
vegen	wegen
glüglich	glücklich
veint	weint
hie	hier
krikt	kriegt
bischen	bisschen
au	auf
schlekt	schleckt
ales	alles
TroPfschen	Tröpfchen
gestolPat	gestolpert
wegetan	wehgetan
Glöklesch	glücklich
rich	riech
Spatzirn	spazieren
falt	fallt
Giebt	gibt
eien	eine
Nachause	nachhause
Lekt	leckt
siech	sich
gehmergt	gemerkt
das	dass
gehttropft	getropft
gefalen	gefallen
ristig	richtig
glüglist	glücklich
is	iss
schnel	schnell
Hinther	hinterher
sint	sind
i	in
eiswargen	Eiswagen
si	sie
ei	ein
unt	und
sih	sie
schtoiper	stolper
Fersucht	versucht
lerken	lecken
gept	gebt
Fos	was
aP	ab
fer	wenn
nisct	nicht
gechareln	gestorben
Hete	heute
gescholpat	gestolpert
traurisch	traurig
Glicklich	glücklich
spazirn	spazieren
kamm	kam
lekte	leckte
Plözlich	Plötzlich
viel	fiel
hien	hin
Pölzlich	Plötzlich
weite	weiter
Eisstant	Eisstand
gehet	geht
schildst	schmilzt
frist	frisst
abat	aber
Aba	Aber
wider	wieder
holn	holen
pasirt	passiert
steuperte	stolperte
werlirt	verliert
Schnapen	schnappen
net	nett
pag	Park
fengt	fängt
stolpat	stolpert
taeilt	teilt
nimt	nimmt
Vanile	Vanille
Erdbere	Erdbeere
Valtmeister	Waldmeister
sackt	sagt
pas	pass
tud	tut
helfte	Hälfte
van	von
reinn	rein
sinnd	sind
Vun	Und
jerz	jetzt
gehin	gehen
eina	einer
fälen	fallen
schin	schön
runt	runter
schdolpak	stolpert
irh	ihr
ist	isst
isst	ist
ser	sehr
taurisch	traurig
fürlich	fröhlich
tild	teilt
gehn	gehen
Glüklich	glücklich
spatzieren	spazieren
glüklich	glücklich
gekrigt	gekriegt
ban	dann
kaput	kaputt
ausgeruscht	ausgerutscht
runba	runter
gegan	gegangen
runda	runter
gessen	gegessen
fon	von
bisjen	bisschen
jeda	jeder
weit	weint
glülisch	glücklich
wal	weil
ruter	runter
teiel	teil
sit	ist
Hart	hat
EisStant	Eisstand
getroft	getropft
fersucht	versucht
Had	hat
gegesch	gegessen
aufsten	Aufstehen
sig	sie
wiel	will
unden	unten
Schlekt	schleckt
steupert	stolpert
geteit	geteilt
sient	sind
glüklisch	glücklich
üüber	über
fräut	freut
eIu	Eis
ruhr	Ruhe
ach	auch
hingfallen	hingefallen
samelt	sammelt
irem	ihrem
feld	fällt
töst	tröstet
ine	eine
eiskuge	Eiskugel
u	und
eisman	Eismann
schläkte	schleckte
stolpate	stolperte
we	weh
zusamen	zusammen
cemast	zermatscht
kletert	klettert
troft	tropft
merck	merkt
geschtolpert	gestolpert
kaft	kläfft
jest	jetzt
gemerckt	gemerkt
trofen	Tropfen
Eisferkäufer	Eisverkäufer
daf	darf
den	denn
Eerber	Erdbeer
Wanile	Vanille
krik	krieg
nikch	nichts
sis	sies
vegt	fängt
Sagtt	sagt
dier	dir
Stet	steht
Dage	Danke
Gehn	Gehen
haden	haben
talt	teilt
freulich	fröhlich
kolen	holen
schleker	schlecken
venkt	fängt
eimal	einmal
hörnschen	Hörnchen
vrot	freut
gestolper	gestolpert
trostet	tröstet
ste	steh
betagt	bedankt
paKh	Park
vars	wars
Trupf	tropf
Schupfs	schups
Fellt	fällt
runta	runter
traurich	traurig
fann	dann
runterfale	runterfallen
lasen	lassen
fru	froh
belld	bellt
schlukt	schluckt
plözlisch	plötzlich
stolbert	stolpert
rend	rennt
loss	los
hingfalen	hingefallen
weind	weint
gibd	gibt
wolten	wollten
Eeis	Eis
krekte	kriegte
