O|	O
nein	nein
der	der
Hund	Hund
\h	\h
Lea	Lea
hägt	hängt
zetel	Zettel
auf	auf
weil	weil
Dodo	Dodo
weg	weg
ist	ist
^	
häte	hätte
ich	ich
auf_gepast	aufgepasst
auf	auf
Dodo	Dodo
ich	ich
^	
fer_mise	vermisse
in	ihn
.	.
Nun	Nun
sitzt	sitzt
lea	Lea
und	und
weind	weint
^	
ich	ich
warte	warte
bis	bis
ein	ein
anruf	Anruf
komt	kommt
.	.
Und	Und
sie	sie
^	
wartet	wartet
.	.
Es	Es
komt	kommt
kein	kein
Anruf	Anruf
.	.
Und	Und
sitzt	sitzt
^	
gugt	guckt
den	den
stift	Stift
an	an
.	.
Auf|	Auf
einmal	einmal
klingelt	klingelt
es	es
^	
es	es
ist	ist
Lars	Lars
er	er
sagt	sagt
Lea	Lea
dein	dein
Hund	Hund
ist	ist
^	
bei|	bei
mir	mir
.	.
Entlich	Endlich
harbe	habe
ich	ich
mein	mein
Hund	Hund
^	
gefunden	gefunden
.	.
Lars	Lars
ist	ist
dar	da
also	also
brauche	brauche
^	
ich	ich
gar|	gar
nicht	nicht
weinen	weinen
danke	danke
lars	Lars
das	dass
^	
du	du
Dodo	Dodo
gefunden	gefunden
hast	hast
Lea	Lea
um_^armt	umarmt
lars	Lars
.	.
