Das	Das
gerissene	gerissene
Seil	Seil
\h	\h
Es	Es
war	war
ein	ein
wunderschöner	wunderschöner
Nachmittag	Nachmittag
in	in
Dortmund	Dortmund
.	.
Lea	Lea
und	und
Lars	Lars
spielten	spielten
und	und
Lars	Lars
hatte	hatte
Hausarrest	Hausarrest
.	.
^	
Lars	Lars
war	war
drinnen	drinnen
und	und
Lea	Lea
war	war
drausen	draußen
.	.
Sie	Sie
^	
hatten	hatten
sich	sich
eine	eine
Gondel	Gondel
zusammen	zusammen
gebastelt	gebastelt
.	.
^	
Lars	Lars
hat	hat
ein	ein
Seil	Seil
zu	zu
Lea	Lea
herunter_geworfen	heruntergeworfen
^	
in	in
dem	dem
was	was
drin	drin
befestigt	befestigt
war	war
.	.
Lea	Lea
knotete	knotete
es	es
^	
sofort	sofort
aus	aus
und	und
sie	sie
sah	sah
den	den
Teddybear	Teddybär
von	von
Lars	Lars
.	.
^	
Der	Der
Teddybear	Teddybär
hatte	hatte
eine	eine
Seitentasche	Seitentasche
in	in
^	
der	der
ein	ein
Brief	Brief
war	war
.	.
Darauf	Darauf
stand	stand
:	:
"	"
Hab	Hab
^	
Hausarrest	Hausarrest
und	und
muss	muss
drinnen	drinnen
bleiben	bleiben
.	.
Von	Von
^	
Lars	Lars
"	"
.	.
"	"
Mist	Mist
.	.
"	"
sagte	sagte
Lea	Lea
.	.
Sie	Sie
überlegten	überlegten
was	was
sie	sie
^	
spielen	spielen
sollten	sollten
.	.
Niemanden	Niemanden
viel	fiel
was	was
ein	ein
.	.
Doch	Doch
^	
dann	dann
sprang	sprang
Lars	Lars
auf	auf
und	und
sagte	sagte
:	:
"	"
ich	Ich
habs	habs
.	.
"	"
^	
Lars	Lars
befestigte	befestigte
einen	einen
Korb	Korb
an	an
dem	dem
Seil	Seil
und	und
sagte	sagte
:	:
^	
Lea	Lea
du	du
pakst	packst
den	den
Teddybear	Teddybär
gleich	gleich
in	in
den	den
Korb	Korb
.	.
^	
Jetzt	Jetzt
wusste	wusste
aich	auch
Lea	Lea
was	was
Lars	Lars
spielen	spielen
wollte	wollte
.	.
^	
"	"
aha	Aha
du	du
willst	willst
eine	eine
Gonde	Gondel
bauhen	bauen
.	.
"	"
schrie	schrie
Lea	Lea
.	.
^	
"	"
Genau	Genau
"	"
sagte	sagte
Lars	Lars
.	.
Lars	Lars
hat	hat
die	die
Gondel	Gondel
herunter	herunter
^	
gelassen	gelassen
und	und
Lea	Lea
fing	fing
sie	sie
auf	auf
.	.
Lea	Lea
packte	packte
den	den
^	
bear	Bär
in	in
den	den
Korb	Korb
wie	wie
Lars	Lars
gesagt	gesagt
hat	hat
.	.
Sie	Sie
hatten	hatten
^	
zwei	zwei
Seile	Seile
an	an
den	den
Korb	Korb
befestigt	befestigt
und	und
Lars	Lars
zog	zog
^	
an	an
den	den
einen	einen
und	und
Lea	Lea
an	an
den	den
anderen	anderen
.	.
Doch	Doch
auf	auf
einnal	einmal
^	
riss	riss
das	das
Seil	Seil
und	und
Lea	Lea
hilt	hielt
sich	sich
vor	vor
Schreck	Schreck
^	
die	die
Hand	Hand
vor	vor
den	den
Mund	Mund
.	.
Der	Der
Teddybear	Teddybär
lag	lag
auf	auf
^	
der	der
Fensterbank	Fensterbank
.	.
