Ales	Alles
wegen	wegen
Dodo	Dodo
ist	ist
es	es
pasiert	passiert
\h	\h
Lea	Lea
,	,
lars	Lars
,	,
Dodo	Dodo
und	und
Nina	Nina
spielten	spielten
die	die
Bauklö-^tze	Bauklötze
,	,
Dodo	Dodo
hat	hat
was	was
gehsehen	gesehen
und	und
war	war
voll	voll
^	
sauer	sauer
auf	auf
Lea	Lea
,	,
Lars	Lars
und	und
Nina	Nina
,	,
aber	aber
etwas	etwas
^	
später	später
hat	hat
er	er
was	was
coooles	Cooles
gesehen	gesehen
denckte	~denkte
er	er
!	!
"	"
^	
Nina	Nina
,	,
Lea	Lea
und	und
Lars	Lars
haten	hatten
Das	das
schöne	schöne
^	
Eifelturm	Eiffelturm
oder	oder
den	den
Püramide	Pyramide
vertig	fertig
gebaut	gebaut
.	.
^	
ooh	ooh
sagte	sagte
Nina	Nina
,	,
Lea	Lea
,	,
Dodo	Dodo
endeckte	entdeckte
den	den
Kis=^te	Kiste
,	,
er	er
denckte	~denkte
wieder	wieder
ihn	ihn
was	was
lustiges	Lustiges
eingefallen	eingefallen
^	
und	und
gehte	~gehte
rein	rein
er	er
hat	hat
was	was
getraümt	geträumt
was	was
^	
schönes	Schönes
,	,
großes	Großes
,	,
buntes	Buntes
,	,
und	und
trauriges	Trauriges
,	,
^	
Dodo	Dodo
ist	ist
jetzt	jetzt
zum	zum
glück	Glück
rein	rein
gekommen	gekommen
,	,
^	
Puh	Puh
"	"
hat	hat
Dodo	Dodo
gebellt	gebellt
