An	An
einen	einen
herlichen	herrlichen
Morgen	Morgen
als	als
^	
Lea	Lea
von	von
der	der
Schule	Schule
kam	kam
ging	ging
sie	sie
^	
in	in
ihren	ihren
Bus	Bus
.	.
Dabei	Dabei
hate	hatte
sie	sie
^	
ihren	ihren
nagelneuen	nagelneuen
Rucksach	Rucksack
.	.
Sie	Sie
^	
stieg	stieg
in	in
den	den
Bus	Bus
und	und
schaute	schaute
^	
zum	zum
Fenster	Fenster
.	.
Gegenüber	Gegenüber
von	von
Lea	Lea
^	
saß	saß
ein	ein
Mann	Mann
.	.
Er	Er
meinte	meinte
ich	ich
^	
häte	hätte
einen	einen
schönen	schönen
Rucksack	Rucksack
.	.
Lea	Lea
^	
bedannkte	bedankte
sich	sich
und	und
strich	strich
Dodo	Dodo
^	
am	am
Kopf	Kopf
entlang	entlang
.	.
Nach	Nach
einer	einer
^	
weil	Weile
ist	ist
der	der
Bus	Bus
angekommen	angekommen
.	.
^	
Dann	Dann
verabschidete	verabschiedete
sich	sich
Lea	Lea
^	
bei	bei
denn	den
Herrn	Herrn
und	und
ging	ging
^	
hinaus	hinaus
.	.
Plötzlich	Plötzlich
bemerkte	bemerkte
sie	sie
^	
das	dass
sie	sie
ihren	ihren
Rucksack	Rucksack
gar	gar
^	
nicht	nicht
mehr	mehr
hate	hatte
.	.
sie	sie
sah	sah
zum	zum
Bus	Bus
^	
und	und
sah	sah
der	der
Herr	Herr
vom	vom
Bus	Bus
^	
mit	mit
ihrer	ihrer
Tasche	Tasche
winkte	winkte
.	.
^	
Lea	Lea
erschrack	erschrak
sofort	sofort
.	.
Lea	Lea
lief	lief
^	
zum	zum
Bus	Bus
und	und
schrie	schrie
:	:
"	"
^	
halten	Halten
Sie	Sie
an	an
meine	meine
Taaasche	Taaasche
.	.
"	"
^	
Dodo	Dodo
bellte	bellte
und	und
rannte	rannte
mit	mit
.	.
^	
Doch	Doch
der	der
Bus	Bus
hielt	hielt
nicht	nicht
an	an
.	.
^	
Lea	Lea
seufte	seufzte
.	.
Wie	Wie
soll	soll
ich	ich
das	das
^	
bloß	bloß
Mama	Mama
erckleren	erklären
.	.
Dann	Dann
machte	machte
^	
Lea	Lea
sich	sich
auf	auf
den	den
Weg	Weg
ins	ins
^	
Fundbüro	Fundbüro
.	.
Aber	Aber
der	der
Mann	Mann
war	war
anscheinend	anscheinend
^	
schneller	schneller
.	.
Der	Der
Mann	Mann
ging	ging
rein	rein
^	
begrüßte	begrüßte
den	den
Herr	Herr
hinter	hinter
den	den
^	
Tisch	Tisch
und	und
sagte	sagte
:	:
"	"
Ich	Ich
habe	habe
^	
diesen	diesen
Rucksack	Rucksack
von	von
dem	dem
Bus	Bus
.	.
^	
Ein	Ein
Mädchen	Mädchen
hat	hat
es	es
vergessen	vergessen
^	
mitzunehmen	mitzunehmen
!	!
Das_Wegen	Deswegen
bin	bin
ich	ich
^	
hier	hier
.	.
"	"
Der	Der
Herr	Herr
hinter	hinter
dem	dem
Tisch	Tisch
^	
nahm	nahm
den	den
Rucksack	Rucksack
und	und
^	
stellte	stellte
ihn	ihn
ins	ins
Fach	Fach
Nummer	Nummer
^	
38	38
.	.
Der	Der
Mann	Mann
sagte	sagte
:	:
"	"
Dankeschön	Dankeschön
^	
und	und
ging	ging
.	.
Da	Da
tauchte	tauchte
Lea	Lea
und	und
^	
Dodo	Dodo
im	im
Fundbüro	Fundbüro
auf	auf
.	.
Lea	Lea
^	
sagte	sagte
:	:
"	"
Ich	Ich
habe	habe
mein	mein
Rucksack	Rucksack
im	im
^	
Bus	Bus
vergessen	vergessen
.	.
Er	Er
ist	ist
gelb	gelb
.	.
,	,
"	"
"	"
Ja	Ja
^	
da	da
habe	habe
ich	ich
was	was
"	"
sagte	sagte
der	der
^	
Herr	Herr
mit	mit
einer	einer
menlichen	männlichen
stimme	Stimme
.	.
^	
Lea	Lea
kicherte	kicherte
.	.
Sie	Sie
freute	freute
sich	sich
^	
riesig	riesig
.	.
Das	dass
der	der
Mann	Mann
einen	einen
Rucksack	Rucksack
^	
hate	hatte
.	.
Er	Er
zeigte	zeigte
ihr	ihr
den	den
Rucksack	Rucksack
.	.
^	
und	und
Lea	Lea
nichte	nickte
.	.
"	"
Ja	Ja
das	das
ist	ist
er	er
.	.
^	
Der	Der
Mann	Mann
gab	gab
ihr	ihr
den	den
Rucksack	Rucksack
.	.
^	
und	und
Lea	Lea
sagte	sagte
:	:
"	"
Vielen	Vielen
Dank	Dank
.	.
Da	Da
^	
sagte	sagte
der	der
Mann	Mann
:	:
"	"
bedancken	Bedanken
sie	Sie
sich	sich
^	
nicht	nicht
bei	bei
mir	mir
sonder	sondern
den	den
^	
Mann	Mann
im	im
Bus	Bus
.	.
