Ales	Alles
wörd	wird
wider	wieder
gut	gut
\h	\h
An	An
einem	einem
Tag	Tag
war	war
Lea	Lea
mit	mit
^	
Dodo	Dodo
ihren	ihren
Hund	Hund
unter_^wegs	unterwegs
.	.
Sie	Sie
genk	ging
kürz	kurz
in	in
^	
ein	ein
gescheft	Geschäft
.	.
Sie	Sie
fargas	vergaß
^	
das	dass
Dodo	Dodo
one	ohne
leine	Leine
fahr	war
.	.
^	
Nach	Nach
paar	paar
Minuten	Minuten
gam	kam
^	
Sie	sie
wider	wieder
raus	raus
aus	aus
den	den
Geschäft	Geschäft
^	
und	und
Dodo	Dodo
war	war
weg	weg
Sie	Sie
ruf	ruf
:	:
"	"
^	
Dodo	Dodo
wo	wo
bist	bist
du	du
dodo	Dodo
beel	bell
wen	wenn
^	
du	du
mich	mich
Horst	hörst
!	!
"	"
er	er
gam	kam
nich	nicht
.	.
^	
Sie	Sie
ang	~hang
an	an
jeder	jeder
äge	Ecke
^	
ein	ein
Beld	Bild
won	von
im	ihm
und	und
ire	ihre
Telofon_^nume	Telefonnummer
auf	auf
.	.
dan	dann
genke	ging
^	
Sie	sie
nach_hause	nachhause
.	.
Sie	Sie
fartete	wartete
^	
das	dass
jemand	jemand
anruft	anruft
.	.
und	und
Tatz_^sechlich	tatsächlich
Lars	Lars
ruft	ruft
an	an
.	.
