w*	Wo
ist	ist
Dodo	Dodo
\h	\h
Lea	Lea
weis	weiß
nicht	nicht
wo	wo
Dodo	Dodo
ist	ist
und	und
hängt	hängt
deswegen	deswegen
^	
Plakate	Plakate
aufgehängt	aufgehängt
darauf	darauf
war	war
Dodo	Dodo
und	und
die	die
^	
Telefon_numer	Telefonnummer
zu	zu
sehen	sehen
.	.
Als	Als
Lea	Lea
zu	zu
hause	Hause
war	war
^	
hate	hatte
sie	sie
futer	Futter
vür	für
Dodo	Dodo
nach	nach
drausen	draußen
gestelt	gestellt
und	und
^	
wartet	wartet
vor	vor
dem	dem
Tellefon	Telefon
mit	mit
einem	einem
stift	Stift
.	.
^	
Lea	Lea
ruft	ruft
Lars	Lars
an	an
ob	ob
er	er
wuste	wusste
wo	wo
Dodo	Dodo
wär	wäre
^	
und	und
Lars	Lars
andwortete	antwortete
:	:
"	"
Dodo	Dodo
ist	ist
heute	heute
vor	vor
meiner	meiner
^	
haustur	Haustür
gelaufen	gelaufen
"	"
dan	dann
sprang	sprang
Dodo	Dodo
ans	ans
Telefon	Telefon
^	
und	und
belte	bellte
einmal	einmal
ins	ins
Telefon	Telefon
.	.
Dar	Da
hat	hat
Lea	Lea
^	
sich	sich
die	die
Trenen	Tränen
weg_gewicht	weggewischt
und	und
fing	fing
an	an
zu	zu
^	
lachen	lachen
und	und
sagte	sagte
zu	zu
Lars	Lars
:	:
"	"
bring	Bring
Dodo	Dodo
zu	zu
mir	mir
"	"
.	.
^	
nach	nach
zehn	zehn
minuten	Minuten
klingelte	klingelte
Lars	Lars
an	an
der	der
haus-^tür	Haustür
und	und
hilt	hielt
einen	einen
lutscher	Lutscher
in	in
der	der
hand	Hand
und	und
^	
Lea	Lea
und	und
Dodo	Dodo
freuten	freuten
sich	sich
Lea	Lea
hat	hat
jetz	jetzt
freuden-^trenen	Freudentränen
gekricht	gekriegt
Dodo	Dodo
belte	bellte
die	die
ganze	ganze
zeit	Zeit
.	.
^	
Lea	Lea
ging	ging
an	an
die	die
Tür	Tür
und	und
ofnete	~offnete
sie	sie
und	und
^	
umarmte	umarmte
Lars	Lars
weil	weil
er	er
Dodo	Dodo
gefunden	gefunden
hat	hat
^	
Lars	Lars
gab	gab
Lea	Lea
den	den
Lutscher	Lutscher
.	.
Dodo	Dodo
esst	esst
das	das
hunde-^futer	Hundefutter
Lars	Lars
sagte	sagte
zu	zu
dodo	Dodo
:	:
"	"
iss	Iss
nicht	nicht
alles	alles
auf-	auf
einmall	einmal
auf	auf
aber	aber
Dodo	Dodo
wakelte	wackelte
nur	nur
mit	mit
dem	dem
^	
schwanz	Schwanz
und	und
isst	isst
weiter	weiter
.	.
