Die	Die
verlorende	~verlorende
Tasche	Tasche
\h	\h
Eines	Eines
Tages	Tages
wolte	wollte
Lea	Lea
zu	zu
Schule	Schule
^	
fahren	fahren
sie	sie
hatte	hatte
natürlich	natürlich
^	
Dodo	Dodo
mit	mit
genommen	genommen
vor	vor
ihr	ihr
sahs	saß
^	
ein	ein
netter	netter
Alter	alter
man	Mann
Lea	Lea
hat	hat
^	
ihre	ihre
Tasche	Tasche
ans	ans
Fenster	Fenster
geschoben	geschoben
.	.
^	
Lea	Lea
hat	hat
fölig	völlig
fergessen	vergessen
,	,
^	
das	dass
sie	sie
die	die
Tasche	Tasche
im	im
Bus	Bus
^	
gelassen	gelassen
hat	hat
Dodo	Dodo
wolte	wollte
^	
einfach	einfach
nich	nicht
vom	vom
Bus	Bus
rausgehen	rausgehen
^	
er	er
wusste	wusste
das	dass
Lea	Lea
ihre	ihre
Tasche	Tasche
^	
im	im
Bus	Bus
fergessen	vergessen
hat	hat
.	.
^	
Plötzlich	Plötzlich
winkte	winkte
,	,
und	und
winkte	winkte
^	
der	der
nette	nette
alte	alte
man	Mann
und	und
Lea	Lea
^	
merkte	merkte
das	das
auch	auch
das	dass
sie	sie
^	
ihre	ihre
Tasche	Tasche
im	im
Bus	Bus
fergessen	vergessen
^	
hat	hat
.	.
^	
Lea	Lea
rannte	rannte
um	um
ihr	ihr
beben	Leben
^	
Dodo	Dodo
hatte	hatte
Lea	Lea
fasst	fast
gezogen	gezogen
^	
und	und
der	der
nette	nette
Alte	alte
man	Mann
^	
hatte	hatte
gesagt	gesagt
:	:
renn	Renn
um	um
dein	dein
^	
Leben	Leben
.	.
^	
Der	Der
nette	nette
Alte	alte
mann	Mann
ging	ging
^	
ins	ins
Fundbüro	Fundbüro
und	und
er	er
gab	gab
^	
die	die
Tasche	Tasche
ab	ab
.	.
^	
Lea	Lea
rufte	~rufte
am	am
Fundbüro	Fundbüro
an	an
^	
und	und
fragte	fragte
nach	nach
seiner	seiner
Tasche	Tasche
.	.
