Nicht	Nicht
mit	mit
Absich	Absicht
!	!
\h	\h
Eines	Eines
Tages	Tages
war	war
Lea	Lea
zu	zu
Lars	Lars
.	.
^	
Lars	Lars
hatte	hatte
Lea	Lea
zu	zu
ihm	ihm
eingeladen	eingeladen
damit	damit
,	,
die	die
zwei	zwei
^	
zusammen	zusammen
spielen	spielen
können	können
.	.
^	
Eine	Eine
Stunde	Stunde
später	später
war	war
es	es
zeit	Zeit
für	für
Lea	Lea
^	
zu	zu
gehen	gehen
.	.
^	
Dabei	Dabei
hatte	hatte
Lea	Lea
ihr	ihr
Lieblingsteddy	Lieblingsteddy
bei	bei
^	
Lars	Lars
vergessen	vergessen
.	.
^	
Lea	Lea
war	war
in	in
Hof	Hof
von	von
Lars	Lars
,	,
dabei	dabei
sagte	sagte
sie	sie
:	:
^	
"	"
Teddy	Teddy
,	,
wo	wo
bist	bist
du	du
!	!
"	"
^	
Kurz	Kurz
danach	danach
rief	rief
Lars	Lars
aus	aus
dem	dem
Fenster	Fenster
:	:
"	"
Lea	Lea
,	,
^	
du	du
hast	hast
deinen	deinen
Teddy	Teddy
bei	bei
mir	mir
vergessen	vergessen
!	!
"	"
^	
Lea	Lea
sagte	sagte
:	:
"	"
Wirf	Wirf
dein	dein
langes	langes
Seil	Seil
hier	hier
runter	runter
und	und
^	
befestige	befestige
es	es
am	am
ende	Ende
mit	mit
einem	einem
Holzstück	Holzstück
!	!
"	"
^	
Lars	Lars
sagte	sagte
:	:
"	"
Warum	Warum
willst	willst
du	du
das	das
mit	mit
dem	dem
Seil	Seil
^	
mach	mach
Lea	Lea
antwortet	antwortet
:	:
"	"
Damit	Damit
es	es
spannender	spannender
wird	wird
.	.
"	"
^	
Danach	Danach
hatte	hatte
Lea	Lea
das	das
Seil	Seil
gefangen	gefangen
und	und
^	
befästigt	befestigt
.	.
^	
Lea	Lea
sagte	sagte
:	:
"	"
Die	Die
seilbahn	Seilbahn
kann	kann
los_rutschen	losrutschen
,	,
"	"
und	und
^	
Lars	Lars
hat	hat
es	es
los_gelassen	losgelassen
.	.
"	"
^	
Lea	Lea
und	und
Lars	Lars
haben	haben
vor	vor
freude	Freude
sehr	sehr
^	
lustig	lustig
gelacht	gelacht
.	.
^	
Kurz	Kurz
danach	danach
kam	kam
die	die
Seilbahn	Seilbahn
fast	fast
bei	bei
^	
Lea	Lea
.	.
^	
Plötzlich	Plötzlich
wurde	wurde
das	das
Seil	Seil
locker	locker
und	und
fing	fing
^	
an	an
zu	zu
wackeln	wackeln
.	.
^	
Lars	Lars
hatte	hatte
es	es
versucht	versucht
hoch	hoch
zu	zu
ziehen	ziehen
aber	aber
^	
dann	dann
zerstört	zerstört
die	die
Seilbahn	Seilbahn
ein	ein
Fenster	Fenster
.	.
^	
Das	Das
Fenster	Fenster
war	war
von	von
einer	einer
Nachbarin	Nachbarin
.	.
^	
Lea	Lea
hat	hat
vor	vor
schreck	Schreck
die	die
Hand	Hand
vor	vor
dem	dem
^	
Mund	Mund
gelegt	gelegt
und	und
war	war
sehr	sehr
erschrocken	erschrocken
.	.
^	
Bei	Bei
Lars	Lars
war	war
fast	fast
das	das
gleiche	Gleiche
er	er
hat	hat
nur	nur
nach	nach
^	
unten	unten
geschaut	geschaut
und	und
hat	hat
gesagt	gesagt
:	:
"	"
ooo	Ooo
,	,
Lea	Lea
!	!
"	"
^	
Danach	Danach
kam	kam
die	die
Nachberin	Nachbarin
aus	aus
dem	dem
^	
Fenster	Fenster
und	und
war	war
mehr	mehr
als	als
erschröcken	erschrocken
.	.
^	
Die	Die
Nachberin	Nachbarin
hat	hat
die	die
Hand	Hand
auf	auf
dem	dem
^	
Kopf	Kopf
gelegt	gelegt
und	und
nach	nach
unten	unten
geschaut	geschaut
^	
auf	auf
der	der
Fenster_bank	Fensterbank
.	.
^	
Sie	Sie
sagte	sagte
:	:
Ein	Ein
kleiner	kleiner
Bär	Bär
kann	kann
doch	doch
nicht	nicht
^	
meine	meine
Fenster_scheibe	Fensterscheibe
zerstören	zerstören
.	.
^	
Dann	Dann
sah	sah
sie	sie
nach	nach
unten	unten
und	und
sagte	sagte
:	:
"	"
Lea	Lea
^	
Lars	Lars
,	,
was	was
ist	ist
passiert	passiert
?	?
"	"
^	
Lea	Lea
und	und
Lars	Lars
sagten	sagten
:	:
"	"
Das	Das
war	war
nicht	nicht
^	
mit	mit
Absich	Absicht
,	,
entschuldigung	Entschuldigung
!	!
"	"
^	
Die	Die
Nachberin	Nachbarin
sagte	sagte
:	:
"	"
Ist	Ist
nicht	nicht
so	so
schlimm	schlimm
^	
ihr	ihr
wolltet	wolltet
es	es
nicht	nicht
.	.
"	"
^	
Mal	Mal
gucken	gucken
ich	ich
könntet	könntet
mir	mir
beim	beim
^	
Haushalt	Haushalt
helfen	helfen
und	und
Geld	Geld
sparen	sparen
.	.
^	
Ende	Ende
