Mann	Man
soll	soll
besser	besser
auf_passen	aufpassen
\h	\h
Lea	Lea
und	und
Lars	Lars
und	und
Demir	Demir
bauen	bauen
ein	ein
Turm	Turm
.	.
^	
Dodo	Dodo
richt	riecht
was	was
unter	unter
dem	dem
Karton	Karton
.	.
^	
Er	Er
geht	geht
unter	unter
dem	dem
Karton	Karton
sie	sie
^	
bauen	bauen
einfach	einfach
weiter	weiter
Lars	Lars
will	will
sich	sich
^	
auf	auf
dem	dem
Karton	Karton
sezen	setzen
Lars	Lars
rucht-	rutscht
^	
ab	ab
.	.
Lea	Lea
hält	hält
Lars	Lars
vest	fest
da_mit	damit
^	
er	er
nicht	nicht
weh	weh
tut	tut
Demir	Demir
hat	hat
die	die
^	
Bauklötze	Bauklötze
auf_gefangen	aufgefangen
der	der
Katon	Karton
^	
sist	ist
kapput	kaputt
.	.
Dodo	Dodo
kommt	kommt
^	
raus	raus
sie	sie
mussen	müssen
lachen	lachen
.	.
