|0|1|2|3
0|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Belt; Welt; bald; hält; Geld; Feld; Held; Zelt; bebt; bellt; perlt; pell; best; meld; peilt; pellt; pult; zelt; bei; seit
belt
^^^^"|||
1|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: rückt; zückt; bückt; guckt; kickt; kackt; gut; rückte; deckt; fügt; Lücke; lockt; weckt; packt; Mücke; kund; kürt; lügt; hackt; hockt
kukt
^^^^"|||
2|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: dann; Dan; den; an; das; man; da; dar; van; San; tun; Jan; dank; tat; dran; ran; tank; Fan; Idan; Pan
dan
^^^"|||
3|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gebricht; gegeigt; gekickt; gekracht; gebracht; geprägt; gezeigt; Gericht; Bericht; gefragt; gerecht; gekocht; geneigt; gereicht; Rücksicht; gerückt; geklagt; geeicht; gegrillt; geknickt
gekricht
^^^^^^^^"|||
4|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: legen; locken; lägen; Säcken; lecken; gegen; wegen; leben; lagen; lesen; Becken; decken; dicken; legten; lenken; locker; regen; rücken; Lücken; Nacken
leken
^^^^^"|||
5|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Welt; fest; fällt; hält; Geld; fehlt; Feld; Held; fett; Zelt; fegt; Belt; feilt; feit; fielt; meld; pfählt; zelt; seit
felt
^^^^"|||
6|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wollte; holte; volle; wohnte; wolle; wilde; Nolte; Nolde; Bolte; Dolde; holde; wölbte; Golde; Solde; Volte; johlte; nölte; vote; walte; wogte
wolte
^^^^^"|||
7|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: legt; lockt; leckt; bäckt; lägt; lebt; legte; deckt; lädt; rückt; lenkt; lockte; weckt; Bäcker; hegt; lege; leid; läge; packt; regt
lekt
^^^^"|||
8|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: FOM; vom; von; vor; Rom; Dom; vorm; zoom; Boom; Tom; Zoom; im; dem; für; am; um; zum; so; ihm; kam
fom
^^^"|||
9|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kamen; gaben; kämen; gäben; kauen; garen; gären; Laven; käsen; Maven; gegen; kann; waren; haben; Namen; davon; geben; gehen; bauen; ganzen
gawen
^^^^^"|||
10|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: DIN; die; in; den; ein; hin; tun; bin; min; dein; dir; Odin; drin; div; Ein; Gin; Pin; Yin; der; des
din
^^^"|||
11|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Welt; Geht; Hält; Gilt; Geld; Feld; Galt; Held; Kent; Kult; Gelb; Kälte; Zelt; Belt; Kalt; Gelte; Kelte; Kilt; Gebt; Meld
Keld
^^^^"|||
12||||
13|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kein; Wien; gen; knien; Kien; chicen; gier; gieß; die; in; den; ein; eine; einen; sie; wie; gegen; kann; sein; gibt
gien
^^^^"|||
14|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: anheize; anheizen; anheizte; Falaise; Malaise; anheizt; Chaise
nahaise
^^^^^^^"|||
15|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: äsen; äßen; eben; lesen; Wesen; essen; Besen; aßen; Ösen; Lesen; pesen; Äsen; äse; äsend; ästen; äße; äßest; äßet; den; ein
esen
^^^^"|||
16|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ab; Opa; dpa; aha; Spa; aua; als; an; auf; aus; am; aber; da; gab; habe; ob; alt; ha; al; all
aba
^^^"|||
17|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: geben; sieben; lieben; gießen; kippen; kleben; Dieben; rieben; gieren; hieben; piepen; Hieben; Kiepen; Lieben; Piepen; Sieben; fiepen; gilben; ziepen; gegen
gieben
^^^^^^"|||
18||||
19|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: feit; seit; Zeit; fest; weit; fein; Veit; fair; fett; Neid; leid; seid; Waid; fegt; feil; feig; reit; Leid; Maid; Reit
feid
^^^^"|||
20||||
21|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wie; weil; viel; will; wir; via; wild; Nil; vif; vis; die; in; im; mit; von; ein; war; bis; sie; wird
wil
^^^"|||
22|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gibt; gilt; gib; kippt; gebt; gibst; gabt; gipst; gäbt; kipp; gibts; ist; mit; sind; wird; gab; geht; ging; gut
gipt
^^^^"|||
23|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: der; den; des; dem; er; de; dar; her; per; wer; dir; Bär; derb; wär; Iter; Mär; Oer; die; das; für
ter
^^^"|||
24|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: AP; ab; als; an; auf; aus; das; war; am; hat; man; gab; kam; was; Mai; Bau; dar; lag; ob; sah
ap
^^"|||
25|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: als; alle; alte; alt; al; all; Yale; Wale; male; Öle; Aale; ade; aale; adle; olé; äse; äße; öle; Ole; Sale
ale
^^^"|||
26|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fröhlich; völlig; farblich; fraglich; freilich; rötlich; verglich; erblich; fällig; förmlich; fröhliche; faulig; fraulich; förmig; füglich; füllig; gröblich; verblich; ärmlich; örtlich
frölich
^^^^^^^"|||
27|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sind; dient; sieht; zieht; zielt; ziert; siegt; sinnt; seiend; siebt; siezt; säend; ziemt; ziept; sie; sein; seine; liegt; stand; steht
siend
^^^^^"|||
28|"Offset 0, length 13, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weitergegangen
weitagegangen
^^^^^^^^^^^^^"|||
29|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: natürlich; natürliche; natürlichen; natürlicher; natürliches; natürlichem; nadelig; natürlichst
natürlig
^^^^^^^^"|||
30|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: der; über; oder; Eder; müder; Ader; Iter; rüder; öder; den; des; dem; er; aber; de; hier; vier; Süden; dar
üder
^^^^"|||
31|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: der; er; hier; ihr; vier; her; per; wer; Eier; Tier; Bier; Bär; Pier; Gier; wär; zier; Mär; Oer; Vier; Zier
ier
^^^"|||
32||||
33|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: harten; härten; hatten; halten; hätten; Garten; Karten; harte; warten; Gärten; harter; haften; hartem; hartes; härter; hörten; zarten; häuten; Barden; harren
harden
^^^^^^"|||
34|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: schnell; scheel; schnelle; Schnee; grell; Schnees; Schnäbel; schneien; schneit; schnellt; zehntel; schnäbeln; Schnell; gabel; geil; gell; gängel; scheele
schneel
^^^^^^^"|||
35|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: haben; hatten; halten; hätten; Daten; harten; laden; taten; Läden; baten; haften; Fäden; baden; hüten; raten; Maden; Paten; Räten; hauen; häuten
haten
^^^^^"|||
36|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: alter; armer; arte; Marder; order; arger; arider; artet; ärger; Order; arten; älter; änder; ärmer; Erder; der; oder; aber; unter; andere
arder
^^^^^"|||
37|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kugel; Hügel; dunkel; Kugel; Zügel; Bügel; Dünkel; funkel; Büchel; bügel; gurgel; kegel; kugele; kugeln; kugelt; kugle; köchel; zügel; Dunkel
gugel
^^^^^"|||
38|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hatte; hat; habe; hätte; harte; Kate; halte; Jade; Käthe; Pate; Räte; Wade; rate; täte; fade; haute; hafte; lade; säte; bade
hate
^^^^"|||
