dodos	Dodos
Knochen	Knochen
\h	\h
Der	Der
dodo	Dodo
wolte	wollte
essen	essen
er	er
hatte	hatte
alles	alles
geklekert	gekleckert
.	.
^	
Lars	Lars
wolte	wollte
es	es
sauber	sauber
machen	machen
mit	mit
einem	einem
^	
Staupsauger	Staubsauger
.	.
Dodo	Dodo
erschrekte	erschreckte
sich	sich
^	
als	als
der	der
Staupsauger	Staubsauger
kam	kam
.	.
Lars	Lars
^	
wolte	wollte
das	das
Staupkessel	Staubkessel
leeren	leeren
.	.
Dodo	Dodo
^	
belt	bellt
lars	Lars
an	an
lars	Lars
geht	geht
weiter	weiter
.	.
^	
Dodo	Dodo
zieht	zieht
den	den
sack	Sack
und	und
der	der
Sack	Sack
^	
Platzt	platzt
und	und
alles	alles
komt	kommt
auf	auf
dodo	Dodo
.	.
