original	corrected	filename	freq_ori	freq_cor	freq_tup	norma_correction	confidence
belt	bellt	01-005-2-III-Eis.csv	91	138	91	Bild	0.5
kukt	kuckt	01-005-2-III-Eis.csv	73	152	73	Guckt	0.25
dan	dann	01-005-2-III-Eis.csv	627	651	621	Da	0.333333
gekricht	gekriegt	01-005-2-III-Eis.csv	2	15	2	gekriegt	0.0125153
leken	lecken	01-005-2-III-Eis.csv	14	17	14	lecken	0.476719
felt	fällt	01-005-2-III-Eis.csv	93	198	90	fällt	1
wolte	wollte	01-005-2-III-Eis.csv	173	201	173	wollte	1
lekt	leckt	01-005-2-III-Eis.csv	20	42	19	leckt	1
fom	vom	01-005-2-III-Eis.csv	13	16	13	vom	1
gawen	kaufen	01-006-2-III-Eis.csv	1	6	1	garen	0.413648
din	ein	01-006-2-III-Eis.csv	2	26	1	drin	0.5
Keld	Geld	01-006-2-III-Eis.csv	1	5	1	Geld	0.352232
man	Mann	01-006-2-III-Eis.csv	79	132	79	Mann	1
gien	gehen	01-006-2-III-Eis.csv	1	78	1	ging	1
nahaise	nachhause	01-006-2-III-Eis.csv	1	10	1	nachweise	0.0722765
esen	essen	01-006-2-III-Eis.csv	22	14	12	Essen	0.5
aba	aber	01-006-2-III-Eis.csv	21	60	21	aber	1
gieben	geben	01-006-2-III-Eis.csv	1	3	1	Kienen	0.0854121
wollt	wollte	01-006-2-III-Eis.csv	2	201	2	wollt	0.657316
feid	fällt	01-006-2-III-Eis.csv	1	198	1	feit	0.461679
gen	gehen	01-012-2-III-Eis.csv	31	78	31	gehen	1
wil	will	01-012-2-III-Eis.csv	95	157	95	will	1
gipt	gibt	01-012-2-III-Eis.csv	18	42	18	gibt	1
ter	der	01-012-2-III-Eis.csv	1	9	1	Tee	1
ap	ab	01-012-2-III-Eis.csv	26	30	26	ab	0.5
ale	alle	01-012-2-III-Eis.csv	34	39	33	alle	1
frölich	fröhlich	01-012-2-III-Eis.csv	51	92	51	fröhlich	1
siend	sind	01-025-2-III-Eis.csv	16	66	16	sind	1
weitagegangen	weitergegangen	01-025-2-III-Eis.csv	1	1	1	weitergegangen	0.639736
natürlig	natürlich	01-025-2-III-Eis.csv	1	19	1	natürlich	0.274731
üder	über	01-025-2-III-Eis.csv	8	35	8	über	0.541025
ier	ihr	01-025-2-III-Eis.csv	7	40	6	ihr	0.239382
runder	runter	01-025-2-III-Eis.csv	18	60	18	Ohr	1
harden	haben	01-025-2-III-Eis.csv	2	19	2	hauchten	0.0473441
schneel	schnell	01-025-2-III-Eis.csv	1	76	1	schnell	0.443746
haten	hatten	01-025-2-III-Eis.csv	53	55	53	Atem	0.333333
arder	aber	01-025-2-III-Eis.csv	3	60	3	erde	0.162495
gugel	Kugel	01-025-2-III-Eis.csv	1	3	1	kugel	0.678627
hate	hatte	01-025-2-III-Eis.csv	400	427	400	hatte	1
geld	gelb	01-025-2-III-Eis.csv	1	1	1	Geld	1
eisferkeufer	Eisverkäufer	01-026-2-III-Eis.csv	1	4	1	eiserner	0.103313
in	ihn	01-026-2-III-Eis.csv	261	270	260	Im	0.1
Dan	Dann	01-026-2-III-Eis.csv	188	197	185	Dann	0.5
ir	ihr	01-026-2-III-Eis.csv	27	40	27	Ihr	0.25
fenkt	fängt	01-026-2-III-Eis.csv	1	29	1	fängt	1
get	geht	01-026-2-III-Eis.csv	56	85	56	geht	1
Stolpat	stolpert	01-026-2-III-Eis.csv	2	27	2	stolpert	0.496722
üba	über	01-026-2-III-Eis.csv	7	35	7	über	1
fellt	fällt	01-026-2-III-Eis.csv	9	198	9	Feld	0.307001
hinn	hin	01-026-2-III-Eis.csv	2	17	2	hin	0.828735
ide	Idee	01-026-2-III-Eis.csv	12	34	12	Idee	1
giebt	gibt	01-026-2-III-Eis.csv	16	42	15	gibt	1
glüklieg	glücklich	01-026-2-III-Eis.csv	1	163	1	glücklich	0.300949
bekomen	bekommen	01-028-2-III-Eis.csv	19	31	18	bekommen	1
kabut	kaputt	01-028-2-III-Eis.csv	4	126	4	kaputt	1
hingefalen	hingefallen	01-028-2-III-Eis.csv	5	11	5	hingefallen	0.658325
rhr	ihr	01-028-2-III-Eis.csv	1	40	1	Rur	0.2019
Teielt	teilt	01-028-2-III-Eis.csv	1	6	1	teilt	0.476179
möschde	möchte	01-029-2-III-Eis.csv	1	14	1	möchte	0.158628
past	passt	01-029-2-III-Eis.csv	2	3	2	passt	0.487841
veil	weil	01-029-2-III-Eis.csv	4	82	4	weil	0.373241
möschte	möchte	01-029-2-III-Eis.csv	2	14	2	möchte	1
on	und	01-029-2-III-Eis.csv	2	106	2	Hohn	0.125988
runtergefalen	runtergefallen	01-029-2-III-Eis.csv	12	28	12	heruntergefallen	0.287328
ern	er	01-029-2-III-Eis.csv	2	14	2	er	0.553169
fählt	fällt	01-029-2-III-Eis.csv	5	198	5	fehlt	0.63716
vegen	wegen	01-029-2-III-Eis.csv	1	5	1	wegen	0.429735
