Findet	Findet
Lea	Lea
seinem	seinem
Hund	Hund
\h	\h
Lea	Lea
hatte	hatte
seinem	seinem
Hund	Hund
verloren	verloren
und	und
hat	hat
^	
Plakata	Plakate
angehängt	angehängt
.	.
Traurig	Traurig
wartete	wartete
sie	sie
^	
einen	einen
Telefon	Telefon
ob	ob
jemand	jemand
seinem	seinem
^	
Hund	Hund
gefunden	gefunden
hat	hat
.	.
Plötzlich	Plötzlich
hat	hat
^	
Lars	Lars
Angerufen	angerufen
und	und
hat	hat
gesagt	gesagt
^	
das	dass
Lars	Lars
den	den
Hund	Hund
gefunden	gefunden
hat	hat
.	.
^	
In	In
diesem	diesem
moment	Moment
war	war
Lea	Lea
^	
glücklich	glücklich
und	und
hat	hat
gesagt	gesagt
kannst	kannst
du	du
^	
dann	dann
sofort	sofort
kommen	kommen
Lars	Lars
hat	hat
^	
ja	ja
gesagt	gesagt
.	.
Es	Es
klingelte	klingelte
an	an
der	der
^	
Tür	Tür
das	das
war	war
Lars	Lars
hat	hat
Lea	Lea
^	
von	von
der	der
Fenster	Fenster
geguckt	geguckt
.	.
Fröhlich	Fröhlich
^	
hat	hat
Lea	Lea
das	das
Tür	Tür
aufgemacht	aufgemacht
^	
und	und
hat	hat
Lars	Lars
ein	ein
Lolly	Lolli
für	für
^	
Lea	Lea
gekauft	gekauft
das	dass
sie	sie
nicht	nicht
mehr	mehr
^	
weinen	weinen
soll	soll
.	.
Dodo	Dodo
hatte	hatte
einen	einen
^	
großen	großen
hunge	Hunger
und	und
hat	hat
was	was
^	
auf	auf
dem	dem
Boden	Boden
gegessen	gegessen
.	.
^	
Danah	Danach
ist	ist
Lea	Lea
rein	rein
gegangen	gegangen
und	und
^	
Lars	Lars
ist	ist
wieder	wieder
zurück	zurück
nach	nach
hause	Hause
^	
gefahren	gefahren
mit	mit
der	der
Bus	Bus
und	und
dann	dann
hat	hat
^	
Lea	Lea
den	den
Lolly	Lolli
gegessen	gegessen
und	und
^	
danah	danach
mit	mit
Dodo	Dodo
spatzieren	spazieren
gegangen	gegangen
.	.
