Lars	Lars
und	und
dodo	Dodo
sien	sind
im	im
buss	Bus
ein_^geschdiegen	eingestiegen
und	und
ein	ein
mann	Mann
^	
gugnt	guckt
sie	sie
gunse|	ganze
seind	Zeit
an	an
und	und
^	
dodo	Dodo
hat	hat
angst	Angst
vor	vor
in	ihn
aber	aber
Lea	Lea
^	
gut	guckt
eifach	einfach
aus	aus
den	den
ferster	Fenster
30	30
^	
minuten	Minuten
speider	später
ist	ist
Lea	Lea
und	und
dodo	Dodo
^	
aus	aus
den	den
bus	Bus
ausgeschtigen	ausgestiegen
^	
Lea	Lea
hat	hat
die	die
dasche	Tasche
fergensen	vergessen
^	
aber	aber
sie	sie
mergt	merkt
tas	das
nich	nicht
weil	weil
^	
sie	sie
auf	auf
dodo	Dodo
gonserdrierd	konzentriert
hat	hat
^	
wei	weil
dodo	Dodo
hate	hatte
angst	Angst
fum	vom
bus	Bus
^	
raus	raus
zu	zu
gehen	gehen
dann	dann
hat	hat
der	der
^	
alte	alte
ober	Opa
geglospft	geklopft
mit	mit
^	
iehre	ihre
Tasche	Tasche
aber	aber
sie	sie
far|	war
sch-^on	schon
drausen	draußen
dann	dann
hate	hatte
sie	sie
es	es
^	
göhört	gehört
und	und
dodo	Dodo
und	und
Lea	Lea
^	
haten	hatten
sich	sich
geschogt	geschockt
^	
dann	dann
ist	ist
dodo	Dodo
und	und
Lea	Lea
gans	ganz
^	
gans	ganz
schnel	schnell
gerat	gerannt
aber	aber
dodo	Dodo
^	
wolte	wollte
sie	sie
ziehen	ziehen
und	und
die	die
haben	haben
^	
in	ihn
eifach	einfach
nich	nicht
gebagt	gepackt
und	und
dann	dann
^	
halbe|	halbe
schtunde	Stunde
später	später
^	
ist	ist
der	der
mann	Mann
aus	aus
denn	den
^	
bus	Bus
aus_geschtige	ausgestiegen
dann	dann
habent	haben
^	
der	der
mann	Mann
dass	das
bei	bei
einen	einen
^	
fundpero	Fundbüro
ein_gegben	eingegeben
dann	dann
^	
wolte	wollte
dodo	Dodo
und	und
Lea	Lea
beim	beim
^	
fond_bero	Fundbüro
gehen	gehen
und	und
dann	dann
^	
hat	hat
ser	sehr
lunnge	lange
getauert	gedauert
^	
aber	aber
dann	dann
siend	sind
die	die
ange-^gomen	angekommen
und	und
die	die
haben	haben
die	die
^	
dasche	Tasche
gesucht	gesucht
und	und
dann	dann
^	
haben	haben
die	die
dass	das
nicht	nicht
gef_un-^den	gefunden
dann	dann
hate	hatte
Lea	Lea
gefragt	gefragt
^	
gibt	gibt
hier	hier
noch	noch
eine	eine
tasch	Tasche
^	
dann	dann
hate	hatte
der	der
mann	Mann
gesagt	gesagt
^	
agat	?agat
ich	ich
hier	hier
gbst	gibst
noch	noch
eine	eine
Tachsch	Tasche
^	
dann	dann
hat	hat
sie	sie
gecagt	gesagt
ist	ist
die	die
^	
Tasche	Tasche
haut_farbieg	hautfarbig
und	und
dann	dann
^	
sie	sie
ein|	ein
bar	paar
graue	graue
streifen	Streifen
dann	dann
^	
hat	hat
der	der
man	Mann
jchar	ja
gesagt	gesagt
^	
dann	dann
hat	hat
Lea	Lea
gecagt	gesagt
gnst-	kannst
^	
du	du
die	die
mier	mir
mall	mal
zeigen	zeigen
^	
und	und
Lea	Lea
hat	hat
gesagt	gesagt
dass	das
^	
ist	ist
meine	meine
dann	dann
hat	hat
der	der
^	
mann	Mann
gesat	gesagt
werglich	wirklich
gesat	gesagt
^	
und	und
Lea	Lea
hat	hat
gesagt	gesagt
ich	ich
^	
dass	das
ist	ist
meine	meine
Tasche	Tasche
^	
gann	kann
ich	ich
die	die
bizte	bitte
^	
haben	haben
und	und
dann	dann
hat	hat
der	der
^	
mann	Mann
gesasgt	gesagt
ok	ok
dan	dann
gebe	gebe
^	
ich	ich
es	es
dier	dir
dann	dann
hat	hat
Lea	Lea
^	
dannge	danke
gesagt	gesagt
und	und
^	
dodo	Dodo
hat	hat
sich	sich
gefreun-^nt	gefreut
und	und
die	die
haben	haben
gesagt	gesagt
^	
OK	OK
Eende	Ende
