Vermist	Vermisst
\h	\h
Lea	Lea
ist	ist
traurig	traurig
,	,
weil	weil
ihr	ihr
Hund	Hund
Dodo	Dodo
weg	weg
ist	ist
.	.
^	
Sie	Sie
ist	ist
auf	auf
den	den
Bürgersteig	Bürgersteig
,	,
und	und
geht	geht
zu	zu
häuser	Häuser
und	und
klebt	klebt
^	
An	An
der	der
Hiterwand	Hinterwand
.	.
Viele	Viele
vermisten	vermissten
zetel	Zettel
von	von
Dodo	Dodo
.	.
^	
Sie	Sie
geht	geht
rein	rein
,	,
und	und
waret	wartet
auf	auf
einen	einen
An_ruf	Anruf
.	.
Aber	Aber
keiner	keiner
^	
ruft	ruft
an	an
,	,
dann	dann
geht	geht
Lea	Lea
in	in
die	die
Küche	Küche
und	und
holt	holt
das	das
essen	Essen
für	für
^	
Dodo	Dodo
.	.
Und	Und
stellt	stellt
das	das
,	,
essen	Essen
in	in
Fulr	Flur
sie	sie
geht	geht
wider	wieder
ins	ins
wohn-^zimmer	Wohnzimmer
.	.
Und	Und
plötzlich	plötzlich
klingelt	klingelt
das	das
Telefon	Telefon
sie	sie
get	geht
ran	ran
.	.
^	
Daran	Daran
ist	ist
Lars	Lars
und	und
sagt	sagt
:	:
Rat	Rate
mal	mal
wen	wen
,	,
ich	ich
gefunden	gefunden
^	
Dodo	Dodo
und	und
ich	ich
komme	komme
gleich	gleich
zur	zur
dir	dir
okey	okay
^	
ja	ja
Lea	Lea
ist	ist
glucklich	glücklich
15	15
minuten	Minuten
später	später
klingelts	klingelts
an	an
der	der
^	
Tür	Tür
.	.
Lea	Lea
macht	macht
auf	auf
da	da
ist	ist
Lars	Lars
und	und
umarmt	umarmt
in	in
der	der
^	
zwischen	zwischen
ist	ist
Dodo	Dodo
das	das
es	es
^	
Und	Und
Lea	Lea
verlier	verlier
nicht	nicht
mehr	mehr
Dodo	Dodo
so	so
lang	lang
sie	sie
lebte	lebte
.	.
