Eins	Eines
Tages	Tages
ging	ging
Lea	Lea
mit	mit
Dodo	Dodo
zur	zur
Schulle	Schule
.	.
^	
Im	Im
Weg	Weg
traf	traf
sie	sie
Lars	Lars
.	.
Sie	Sie
haben	haben
sich	sich
um-^armt	umarmt
und	und
halo	hallo
gesagt	gesagt
.	.
Lea	Lea
hate	hatte
Dodo	Dodo
unter	unter
^	
der	der
Jacke	Jacke
.	.
Und	Und
Dodo	Dodo
wolte	wollte
ihm	ihm
lecken	lecken
.	.
^	
Sie	Sie
gingen	gingen
rest	Rest
des	des
Weges	Weges
zusammen	zusammen
.	.
^	
Nach	Nach
eine	eine
Weile	Weile
sind	sind
sie	sie
angekommen	angekommen
.	.
^	
Die	Die
drei	drei
gingen	gingen
in	in
ihre	ihre
klasse	Klasse
und	und
^	
saßen	saßen
sich	sich
hin	hin
.	.
Die	Die
Lehrerin	Lehrerin
war	war
noch	noch
^	
nicht	nicht
da	da
.	.
Sie	Sie
könntn	könnten
ein	ein
^	
bisschen	bisschen
reden	reden
.	.
Nach	Nach
paar	paar
Minuten	Minuten
^	
kam	kam
die	die
Lehrerin	Lehrerin
.	.
Zu_erst	Zuerst
haben	haben
sie	sie
^	
Mathe	Mathe
gemacht	gemacht
.	.
Die	Die
Lehrerin	Lehrerin
die	die
^	
Bläter	Blätter
ausgetelt	ausgeteilt
.	.
Lea	Lea
hat	hat
drekt	direkt
^	
an_gefangen	angefangen
.	.
Plötzlich	Plötzlich
flog	flog
^	
ein	ein
Vogel	Vogel
for	vor
der	der
Fenster_scheibe	Fensterscheibe
.	.
^	
Dodo	Dodo
belte	bellte
den	den
Vogel	Vogel
ganz	ganz
laut	laut
^	
an	an
.	.
Die	Die
Lehrerin	Lehrerin
war	war
überracht	überrascht
.	.
das	dass
^	
der	der
Vogel	Vogel
so	so
