Die	Die
Kiste	Kiste
\h	\h
Lea	Lea
Lars	Lars
Dodo	Dodo
und	und
Niklas	Niklas
^	
wollten	wollten
einmal	einmal
mit	mit
denn	den
Bauklöze	Bauklötze
^	
spielen	spielen
.	.
^	
Sie	Sie
wollten	wollten
eine	eine
Burg	Burg
bauen	bauen
.	.
^	
Sie	Sie
machen	machen
sich	sich
richtig	richtig
mühe	Mühe
.	.
^	
Da	Da
warn	waren
sie	sie
fertig	fertig
mit	mit
denn	den
^	
baun	Bauen
da	da
hat	hat
sich	sich
Dodo	Dodo
langsum	langsam
^	
unter	unter
der	der
Kiste	Kiste
versteckt	versteckt
.	.
^	
Lea	Lea
Lars	Lars
und	und
Niklas	Niklas
warn	waren
^	
richtig	richtig
erschöpft	erschöpft
vom	vom
baun	Bauen
.	.
^	
Da	Da
wollte	wollte
Lars	Lars
sich	sich
auf	auf
der	der
^	
Kiste	Kiste
sich	sich
hinsetzen	hinsetzen
.	.
^	
Da	Da
haben	haben
sich	sich
die	die
drei	drei
^	
erschröken	~erschröken
weil	weil
Lars	Lars
von	von
der	der
^	
Kiste	Kiste
runtergefallen	runtergefallen
ist	ist
.	.
^	
Und	Und
die	die
große	große
mühe	Mühe
die	die
die	die
^	
drei	drei
geleistet	geleistet
haben	haben
ist	ist
auch	auch
^	
kaput_gegangen	kaputtgegangen
.	.
^	
Lea	Lea
Lars	Lars
und	und
Niklas	Niklas
waren	waren
^	
traurig	traurig
das	dass
die	die
Burg	Burg
kaput_^gegangen	kaputtgegangen
ist	ist
.	.
^	
Sie	Sie
wusten	wussten
nicht	nicht
ver	wer
unter	unter
der	der
^	
Kiste	Kiste
ist	ist
.	.
^	
Lea	Lea
Lars	Lars
und	und
Niklas	Niklas
haben	haben
^	
große	große
Augen	Augen
gemacht	gemacht
sie	sie
haben	haben
^	
noch	noch
nie	nie
sowas	sowas
erlebt	erlebt
.	.
^	
So	So
wie	wie
die	die
Bauklöze	Bauklötze
auf	auf
^	
Niklas	Niklas
gefalln	gefallen
sind	sind
hat	hat
er	er
^	
trotz	trotz
die	die
Augen	Augen
groß	groß
gemacht	gemacht
.	.
^	
Da	Da
ist	ist
der	der
große	große
momend	Moment
^	
gekommen	gekommen
ist	ist
und	und
da	da
kamm	kam
^	
Dodo	Dodo
raus	raus
.	.
^	
Sie	Sie
hatten	hatten
sich	sich
erschroken	erschrocken
aber	aber
^	
da	da
war	war
schon	schon
alles	alles
wieder	wieder
^	
in|	in
ordnung	Ordnung
.	.
^	
Sie	Sie
haben	haben
gekischert	gekichert
bis	bis
zum	zum
^	
gehtnich_mehr	Gehtnichtmehr
.	.
^	
Dann	Dann
waren	waren
dann	dann
auch	auch
alle	alle
^	
wieder	wieder
glücklich	glücklich
.	.
^	
Sie	Sie
hatten	hatten
gesagt	gesagt
Dodo	Dodo
was	was
^	
machst	machst
du	du
denn	denn
für	für
sachen	Sachen
.	.
^	
So	So
leben	leben
sie	sie
noch	noch
heute	heute
und	und
^	
denken	denken
noch	noch
immer	immer
^	
was	was
geschehen	geschehen
ist	ist
.	.
