Die	Die
Gondel	Gondel
\h	\h
An	An
einem	einem
schönen	schönen
sonnigen|	sonnigen
tag	Tag
ist	ist
Lea	Lea
zur	zur
^	
Lars	Lars
gegangen	gegangen
um	um
ihr	ihr
Teddy	Teddy
zu	zu
holen	holen
^	
den	denn
sie	sie
hatte	hatte
das	das
gestern|	gestern
abend	Abend
bei	bei
Lars	Lars
^	
vergessen	vergessen
.	.
Als	Als
Lea	Lea
da	da
ankam	ankam
hat	hat
Lars	Lars
^	
aus	aus
den	den
Fenster	Fenster
gesagt	gesagt
das	dass
die	die
mit	mit
der	der
^	
Gondel	Gondel
denn	den
Lars	Lars
neu	neu
bekommen	bekommen
hat	hat
^	
spielen	spielen
sollen	sollen
und	und
natürlich	natürlich
mit	mit
der	der
^	
Teddy	Teddy
.	.
Dann	Dann
hat	hat
Lars	Lars
ein	ein
seil	Seil
genommen	genommen
^	
und	und
gondel	Gondel
da	da
drinne	drinnen
war	war
auch	auch
Lars	Lars
^	
Teddy	Teddy
.	.
Lars	Lars
hat	hat
das	das
seil	Seil
nach	nach
unten	unten
^	
geworfen	geworfen
wo	wo
Lea	Lea
ist	ist
und	und
Lea	Lea
,	,
sie	sie
^	
musste	musste
das	das
seil	Seil
an	an
das	das
Fensterbank	Fensterbank
^	
knoten	knoten
.	.
Als	Als
Lea	Lea
das	das
gemacht	gemacht
hat	hat
,	,
hat	hat
Lars	Lars
^	
das	das
nach	nach
unten	unten
geschupst	geschupst
und	und
Lea	Lea
wieder	wieder
^	
nach	nach
oben	oben
dann	dann
konnte	konnte
lea	Lea
das	das
seil	Seil
^	
nicht	nicht
mehr	mehr
halten	halten
.	.
Auß|	Aus
versehen	Versehen
hat	hat
Lea	Lea
^	
das	das
Seil	Seil
losgelassen	losgelassen
und	und
das	das
Fenster	Fenster
von	von
^	
der	der
nachber	Nachbar
ist	ist
kaputt_gegangen	kaputtgegangen
.	.
^	
Als	Als
die	die
Frau	Frau
kam	kam
war	war
^	
sauer	sauer
und	und
hat	hat
geschimpft	geschimpft
^	
wo	wo
der	der
Fenster	Fenster
kaputt_gegangen	kaputtgegangen
war	war
.	.
