Ferlorene	Verlorene
Tasche	Tasche
\h	\h
Lea	Lea
und	und
dodo	Dodo
sizen	sitzen
in	in
der	der
U_bahn	U-Bahn
.	.
^	
Gegen_über	Gegenüber
zizt	sitzt
ein	ein
merk_würdigu	merkwürdiger
marn	Mann
.	.
^	
Lea	Lea
kuckt	kuckt
aus	aus
dem	dem
Fenster	Fenster
.	.
^	
Der	Der
Bus	Bus
Helt	hält
an	an
.	.
^	
Lea	Lea
steigt	steigt
aus	aus
.	.
^	
Dodo	Dodo
traut	traut
sich	sich
dicht	nicht
raus	raus
.	.
^	
Lea	Lea
fagist	vergisst
ihr	ihr
tasche	Tasche
^	
Der	Der
Merk_würdige	merkwürdige
mann	Mann
rent	rennt
zum	zum
fenster	Fenster
,	,
^	
Er	Er
zeikt	zeigt
Lea	Lea
die	die
tasche	Tasche
^	
Lea	Lea
sagt	sagt
das	das
darf	darf
nicht	nicht
sein	sein
.	.
^	
Dodo	Dodo
ziht	zieht
^	
Lea	Lea
fasaucht	versucht
denn	den
Bus	Bus
^	
Lea	Lea
sagt	sagt
dodo	Dodo
Stop	Stop
.	.
^	
Dodo	Dodo
helt	hält
an	an
.	.
^	
Der	Der
merk_würdige	merkwürdige
mann	Mann
gibt	gibt
die	die
tasch	Tasche
im	im
Fundbüro	Fundbüro
ab	ab
.	.
^	
die	die
Frau	Frau
Fragt	fragt
"	"
von	Von
w*n	wen
ist	ist
sie	sie
.	.
^	
Der	Der
mann	Mann
sagt	sagt
aus	aus
dem	dem
Bus	Bus
.	.
^	
Lena	Lena
geht	geht
auch	auch
zum	zum
Fundbüro	Fundbüro
.	.
^	
Lena	Lena
Fragt	fragt
"	"
haben	Haben
sie	Sie
eine	eine
gelbe	gelbe
tasche	Tasche
gehsehen	gesehen
.	.
^	
Die	Die
Frau	Frau
sagt	sagt
die	die
hir	hier
.	.
^	
Lena	Lena
sagt	sagt
Ja	Ja
.	.
^	
Lena	Lena
nimt	nimmt
die	die
Tasche	Tasche
und	und
geht	geht
.	.
