Vergesener	Vergessener
Rucksack	Rucksack
\h	\h
Als	Als
Lea	Lea
im	im
Bus	Bus
wahr	war
hate	hatte
sie	sie
nicht	nicht
mehr	mehr
^	
ihren	ihren
Rucksack	Rucksack
bemerkt	bemerkt
.	.
^	
Als	Als
sieh	sie
aus_gestigen	ausgestiegen
war	war
hat	hat
sie	sie
ihr	ihr
^	
Rucksack	Rucksack
vergesen	vergessen
.	.
^	
Als	Als
der	der
Bus	Bus
weiter	weiter
fährte	~fährte
hat	hat
der	der
Alte	alte
mann	Mann
geruft	~geruft
:	:
"	"
du	Du
hast	hast
deinen	deinen
Rucksack	Rucksack
^	
vergesen	vergessen
.	.
"	"
^	
Lea	Lea
hat	hat
gerant	gerannt
aber	aber
der	der
Bus	Bus
war	war
zu	zu
schnell	schnell
.	.
^	
Der	Der
Alte	alte
mann	Mann
ist	ist
an	an
einem	einem
PfundBerö	Fundbüro
^	
ausgestigen	ausgestiegen
und	und
sagte	sagte
:	:
wenn	Wenn
ein	ein
Mädchen	Mädchen
^	
vorbeikommt	vorbeikommt
geben	geben
sieh	Sie
ihr	ihr
den	den
Rucksack	Rucksack
.	.
"	"
^	
Da	Da
hat	hat
die	die
Vehrkauferin	Verkäuferin
ein	ein
Mädchen	Mädchen
gesehen	gesehen
und	und
gegeben	gegeben
.	.
