Ferschwunden	Verschwunden
Hund	Hund
\h	\h
Leas	Leas
Hund	Hund
ist	ist
ferschwunden	verschwunden
.	.
^	
Lea	Lea
machte	machte
plakaten	Plakaten
von	von
ihren	ihren
^	
Hund	Hund
.	.
Lea	Lea
ging	ging
wider	wieder
dach	nach
Hause	Hause
.	.
^	
und	und
wartete	wartete
das	dass
jemand	jemand
anruft	anruft
,	,
und	und
^	
sie	sie
war	war
traurig	traurig
und	und
sie	sie
machte	machte
^	
sogen	Sorgen
um	um
seine	seine
Hund	Hund
.	.
Danach	Danach
^	
rufte	~rufte
einer	einer
an	an
Lea	Lea
sagte	sagte
:	:
"	"
mit	Mit
wem	wem
^	
spreche	spreche
ich	ich
"	"
"	"
ich	Ich
bin	bin
Lars	Lars
ich	ich
habe	habe
^	
für	für
dich	dich
ein	ein
nachricht	Nachricht
"	"
was	Was
den	denn
^	
rufte	~rufte
Lea	Lea
.	.
Ich	Ich
habe	habe
dein	den
Hund	Hund
^	
gefunden	gefunden
,	,
was	was
sags|	sagst
du	du
ich	ich
habe	habe
^	
dein	dein
Hund	Hund
gefunden	gefunden
"	"
.	.
Lea	Lea
sagte	sagte
:	:
ok	Ok
^	
freundlich	freundlich
ok	ok
lea	Lea
war	war
nicht	nicht
^	
meher	mehr
traurig	traurig
und	und
einsam	einsam
.	.
Danach	Danach
^	
kommt	kommt
lars	Lars
mit	mit
Dodo	Dodo
.	.
Lars	Lars
^	
hat	hat
auch	auch
für	für
Lea	Lea
ein	ein
Loly	Lolli
dabei	dabei
.	.
^	
Lea	Lea
sprang	sprang
auf	auf
und	und
da	da
klingelt	klingelt
die	die
Tür	Tür
.	.
^	
Lea	Lea
macht	macht
die	die
Tür	Tür
auf	auf
und	und
^	
schaute	schaute
da	da
war	war
sein	sein
Hund	Hund
Dodo	Dodo
^	
und	und
lars	Lars
.	.
Lars	Lars
und	und
Lea	Lea
um_armten	umarmten
^	
sich	sich
und	und
Lars	Lars
giebte	~gibte
den	den
Loly	Lolli
^	
zu	zu
lea	Lea
.	.
Dodo	Dodo
lars	Lars
und	und
Lea	Lea
waren	waren
^	
zufrieden	zufrieden
mit_einander	miteinander
.	.
