Die	Die
Schule	Schule
und	und
Dodo	Dodo
\h	\h
Lea	Lea
und	und
Lars	Lars
treffen	treffen
sich	sich
,	,
und	und
Lars	Lars
sagt	sagt
^	
hallo	hallo
Lea	Lea
dannach	danach
sieht	sieht
Lars	Lars
die	die
Dodo	Dodo
.	.
"	"
^	
Da	Da
zeigt	zeigt
Lea	Lea
die	die
Dodo	Dodo
und	und
Dodo	Dodo
^	
bellt	bellt
.	.
"	"
Lars	Lars
berüet	berührt
die	die
Nase	Nase
von	von
Dodo	Dodo
^	
und	und
Dodo	Dodo
berüet	berührt
die	die
Nase	Nase
von	von
Lars	Lars
^	
Lea	Lea
fersteckt	versteckt
den	den
Hund	Hund
im	im
Klassenraum	Klassenraum
^	
Lars	Lars
und	und
Lea	Lea
sprechen	sprechen
.	.
"	"
Hinter	Hinter
Lea	Lea
^	
und	und
hinte	hinter
Lars	Lars
sind	sind
zwei	zwei
kinder	Kinder
^	
die	die
Kinder	Kinder
kucken	kucken
enteucht	enttäuscht
weil	weil
^	
der	der
bein	Bein
von	von
Dodo	Dodo
sieht	sieht
mann	man
.	.
"	"
^	
Als	Als
Lea	Lea
den	den
aufgabe	Aufgabe
rechnet	rechnet
kuckt	kuckt
^	
Dodo	Dodo
zu	zu
Lea	Lea
ob	ob
sie	sie
zu	zu
Dodo	Dodo
kuckt	kuckt
^	
und	und
der	der
Hund	Hund
leuft	läuft
.	.
^	
Da	Da
erschreckt	erschreckt
Lea	Lea
weil	weil
der	der
Hund	Hund
^	
bellt	bellt
zu	zu
den	den
Vogel	Vogel
und	und
der	der
Vogel	Vogel
^	
hatte	hatte
da	da
seh	sehr
angst	Angst
.	.
^	
Und	Und
Dodo	Dodo
bellt	bellt
immer	immer
noch	noch
da	da
^	
kamm	kam
die	die
Lehrerin	Lehrerin
kommt	kommt
