Das	Das
Büro	Büro
\h	\h
Es	Es
wahr	war
mahl	mal
ein	ein
schöner	schöner
tag	Tag
und	und
Lea	Lea
und	und
Dodo	Dodo
^	
fahrten	~fahrten
mit	mit
der	der
Bahn	Bahn
nach	nach
Hause	Hause
.	.
Als	Als
die	die
Bahn	Bahn
^	
angehalten	angehalten
hate	hatte
gangen	~gangen
Lea	Lea
u.	und
Dodo	Dodo
aus	aus
der	der
Bahn	Bahn
.	.
^	
Beim	Beim
vehg	Weg
nach	nach
Hause	Hause
hate	hatte
der	der
Allte	alte
mann	Mann
in	in
^	
der	der
Bahn	Bahn
gevengt	~gewinkt
weihl	weil
Lea	Lea
irhe	ihre
Tasche	Tasche
ver_^gehsen	vergessen
hate	hatte
.	.
Lea	Lea
wars	war
dierek	direkt
auf_gefahlen	aufgefallen
.	.
^	
Und	Und
rahnte	rannte
die	die
bahn	Bahn
hiehter_hier	hinterher
aber	aber
^	
die	die
bahn	Bahn
war	war
zu	zu
schnell	schnell
Als	Als
die	die
bahn	Bahn
in	in
^	
der	der
Einbahrstrase	Einbahnstraße
an_gehalten	angehalten
war	war
war	war
^	
der	der
Allte	alte
man	Mann
in	in
das	das
fuhnt_büro	Fundbüro
gegahngen	gegangen
.	.
^	
der	der
Allte	alte
man	Mann
war	war
nach	nach
hause	Hause
gehgangen	gegangen
^	
und	und
Lea	Lea
war	war
danach	danach
in	in
das	das
fuhntbüro	Fundbüro
^	
gegangen	gegangen
und	und
hat	hat
seine	seine
tasche	Tasche
geholt	geholt
.	.
