Der	Der
Eismann	Eismann
gimd	gibt
Lea	Lea
Lars	Lars
ein	ein
Eis	Eis
^	
und	und
dann	dann
ist	ist
Leas	Leas
eis	Eis
geschmolsen	geschmolzen
und	und
^	
dann	dann
ist	ist
Lea	Lea
über	über
denn	den
Dodo	Dodo
^	
gestolbart	gestolpert
und	und
der	der
eis	Eis
ist	ist
runder	runter
gefalen	gefallen
^	
und	und
der	der
Dodo	Dodo
legd	leckt
denn	den
eis	Eis
fun	von
^	
Lea	Lea
und	und
Lea	Lea
feind	weint
und	und
dann	dann
^	
gimd	gibt
Lars	Lars
eine	eine
fawel	Waffel
eis	Eis
und	und
^	
Lea	Lea
ist	ist
witer	wieder
glüglich	glücklich
und	und
Dodo	Dodo
^	
had	hat
chest	jetzt
auch	auch
eis	Eis
und	und
Lea	Lea
auch	auch
^	
und	und
Lars	Lars
hat	hat
chest	jetzt
auch	auch
ein	ein
^	
eis	Eis
.	.
