Der	Der
Unfall	Unfall
\h	\h
Eines	Eines
Tages	Tages
war	war
Lars	Lars
und	und
Lea	Lea
draußen	draußen
.	.
^	
Leider	Leider
musste	musste
Lars	Lars
drinnen	drinnen
bleiben	bleiben
.	.
Aber	Aber
^	
Lea	Lea
hatte	hatte
eine	eine
Idee	Idee
wie	wie
Lea	Lea
und	und
Lars	Lars
spielten	spielten
^	
konnten	konnten
.	.
Lea	Lea
schrieh	schrie
zu	zu
Lars	Lars
und	und
sagte	sagte
:	:
"	"
^	
Lars	Lars
du	du
hasst	hast
doch	doch
in	in
deinem	deinem
Zimmer	Zimmer
^	
ein	ein
Seil	Seil
oder	oder
?	?
"	"
sprach	sprach
Lea	Lea
.	.
Und	Und
Lars	Lars
sagte	sagte
:	:
"	"
ja	Ja
hab	hab
ich	ich
schrieh	schrie
Lars	Lars
.	.
Und	Und
Lea	Lea
schrieh	schrie
:	:
"	"
Dann	Dann
Schmeiß	schmeiß
dass	das
Seil	Seil
zu	zu
mir	mir
dass	dass
ich	ich
^	
einen	einen
Knoten	Knoten
machen	machen
kann	kann
schrieh	schrie
Lea	Lea
.	.
Dann	Dann
^	
nahm	nahm
Lars	Lars
sein	sein
seil	Seil
und	und
schmeisste	~schmeisste
das	das
^	
seil	Seil
Lea	Lea
nahm	nahm
dass	das
seil	Seil
und	und
machte	machte
auf	auf
^	
dem	dem
Dach	Dach
einen	einen
Knoten	Knoten
.	.
Lea	Lea
nahm	nahm
ein	ein
Spiel-^zeug	Spielzeug
von	von
ihr	ihr
und	und
machte	machte
dass	das
an	an
dem	dem
seil	Seil
^	
dran	dran
.	.
Dann	Dann
nahm	nahm
Lea	Lea
ihren	ihren
Bär	Bär
und	und
tat	tat
ihn	ihn
^	
ins	ins
Spielzeug	Spielzeug
rein	rein
.	.
Lars	Lars
zog	zog
an	an
das	das
Seil	Seil
und	und
^	
hatte	hatte
fasst	fast
dass	das
Spielzeug	Spielzeug
von	von
Lea	Lea
aber	aber
Pötzlich	plötzlich
^	
ging	ging
dass	das
Seil	Seil
kaput	kaputt
und	und
viel	fiel
runter	runter
.	.
Und	Und
dass	das
^	
Spielzeug	Spielzeug
krachte	krachte
aufs	aufs
Fenster	Fenster
und	und
ging	ging
kaput	kaputt
.	.
^	
Dann	Dann
kamm	kam
pötzlich	plötzlich
ein	ein
Mann	Mann
vor	vor
dem	dem
Fenster	Fenster
^	
und	und
wunderte	wunderte
sich	sich
und	und
sagte	sagte
:	:
"	"
Wer	Wer
war	war
^	
dass	das
?	?
"	"
Ohhhh	Ohhhh
es	es
tut	tut
mir	mir
wirklich	wirklich
leid	leid
.	.
^	
Da	Da
sagte	sagte
der	der
Mann	Mann
:	:
"	"
dass	Das
ist	ist
schon	schon
Okey	okay
^	
dass	das
war	war
ja	ja
nicht	nicht
ecktrehr	extra
.	.
