chunk|candidate|err_idx|num_chunk_build
. Dodo lebt den Eismann|lebt|10|0
. Dodo bellt den Eismann|bellt|10|0
. Dodo bebt den Eismann|bebt|10|0
. Dodo Welt den Eismann|Welt|10|0
. Dodo Zelt den Eismann|Zelt|10|0
. Dodo hebelt den Eismann|hebelt|10|0
. Dodo bettelt den Eismann|bettelt|10|0
der Eismann kurt Dodo an|kurt|17|1
der Eismann bukt Dodo an|bukt|17|1
an . da haben sie|da|21|2
an . an haben sie|an|21|2
an . dann haben sie|dann|21|2
an . dran haben sie|dran|21|2
an . dank haben sie|dank|21|2
an . den haben sie|den|21|2
an . das haben sie|das|21|2
an . dar haben sie|dar|21|2
an . ran haben sie|ran|21|2
an . man haben sie|man|21|2
an . van haben sie|van|21|2
an . San haben sie|San|21|2
an . Jan haben sie|Jan|21|2
an . Pan haben sie|Pan|21|2
an . Fan haben sie|Fan|21|2
Ihren Eis gekracht und sie|gekracht|26|3
Ihren Eis gekreischt und sie|gekreischt|26|3
Ihren Eis gerichtet und sie|gerichtet|26|3
Ihren Eis gerichtlich und sie|gerichtlich|26|3
und sie lenken daran und|lenken|29|4
und sie lecken daran und|lecken|29|4
und sie ekeln daran und|ekeln|29|4
und sie lenke daran und|lenke|29|4
und sie lesen daran und|lesen|29|4
und sie legen daran und|legen|29|4
und sie leben daran und|leben|29|4
und sie keilen daran und|keilen|29|4
. Lea fehlt mit dem|fehlt|35|5
. Lea feilt mit dem|feilt|35|5
. Lea fielt mit dem|fielt|35|5
. Lea elft mit dem|elft|35|5
. Lea fest mit dem|fest|35|5
. Lea fett mit dem|fett|35|5
. Lea fegt mit dem|fegt|35|5
. Lea Welt mit dem|Welt|35|5
. Lea Zelt mit dem|Zelt|35|5
und Dodo wollte den Eis|wollte|42|6
und Dodo walte den Eis|walte|42|6
und Dodo wolle den Eis|wolle|42|6
und Dodo holte den Eis|holte|42|6
. Dodo lenkt den Eis|lenkt|48|7
. Dodo leckt den Eis|leckt|48|7
. Dodo lest den Eis|lest|48|7
. Dodo legt den Eis|legt|48|7
. Dodo lebt den Eis|lebt|48|7
. Dodo Sekt den Eis|Sekt|48|7
den Eis vom boden .|vom|51|8
den Eis Rom boden .|Rom|51|8
den Eis Tom boden .|Tom|51|8
den Eis Dom boden .|Dom|51|8
den Eis fromm boden .|fromm|51|8
boden . da gibt Lars|da|54|9
boden . an gibt Lars|an|54|9
boden . dann gibt Lars|dann|54|9
boden . dran gibt Lars|dran|54|9
boden . dank gibt Lars|dank|54|9
boden . den gibt Lars|den|54|9
boden . das gibt Lars|das|54|9
boden . dar gibt Lars|dar|54|9
boden . ran gibt Lars|ran|54|9
boden . man gibt Lars|man|54|9
boden . van gibt Lars|van|54|9
boden . San gibt Lars|San|54|9
boden . Jan gibt Lars|Jan|54|9
boden . Pan gibt Lars|Pan|54|9
boden . Fan gibt Lars|Fan|54|9
ab . da gehen sie|da|64|10
ab . an gehen sie|an|64|10
ab . dann gehen sie|dann|64|10
ab . dran gehen sie|dran|64|10
ab . dank gehen sie|dank|64|10
ab . den gehen sie|den|64|10
ab . das gehen sie|das|64|10
ab . dar gehen sie|dar|64|10
ab . ran gehen sie|ran|64|10
ab . man gehen sie|man|64|10
ab . van gehen sie|van|64|10
ab . San gehen sie|San|64|10
ab . Jan gehen sie|Jan|64|10
ab . Pan gehen sie|Pan|64|10
ab . Fan gehen sie|Fan|64|10
Drei und lenken an Ihren|lenken|69|11
Drei und lecken an Ihren|lecken|69|11
Drei und ekeln an Ihren|ekeln|69|11
Drei und lenke an Ihren|lenke|69|11
Drei und lesen an Ihren|lesen|69|11
Drei und legen an Ihren|legen|69|11
Drei und leben an Ihren|leben|69|11
Drei und keilen an Ihren|keilen|69|11
und Dodo wagen din eis|wagen|79|12
und Dodo garen din eis|garen|79|12
und Dodo gaben din eis|gaben|79|12
Dodo gawen DIN eis Lea|DIN|80|13
Dodo gawen in eis Lea|in|80|13
Dodo gawen dein eis Lea|dein|80|13
Dodo gawen drin eis Lea|drin|80|13
Dodo gawen die eis Lea|die|80|13
Dodo gawen den eis Lea|den|80|13
Dodo gawen ein eis Lea|ein|80|13
Dodo gawen dir eis Lea|dir|80|13
Dodo gawen hin eis Lea|hin|80|13
Dodo gawen bin eis Lea|bin|80|13
Dodo gawen div eis Lea|div|80|13
Dodo gawen Pin eis Lea|Pin|80|13
Lea gibt Geld eine man|Geld|84|14
Lea gibt Held eine man|Held|84|14
Lea gibt Feld eine man|Feld|84|14
Lea gibt Kelle eine man|Kelle|84|14
eis dann gen nahaise und|gen|99|15
eis dann gier nahaise und|gier|99|15
eis dann Wien nahaise und|Wien|99|15
eis dann gießen nahaise und|gießen|99|15
dann gien nachweise und esen|nachweise|100|16
nahaise und essen eis dodo|essen|102|17
nahaise und lesen eis dodo|lesen|102|17
nahaise und Lesen eis dodo|Lesen|102|17
nahaise und Besen eis dodo|Besen|102|17
nahaise und Wesen eis dodo|Wesen|102|17
nahaise und eben eis dodo|eben|102|17
nahaise und äsen eis dodo|äsen|102|17
nahaise und Ösen eis dodo|Ösen|102|17
will eis essen aba Lea|essen|107|18
will eis lesen aba Lea|lesen|107|18
will eis Lesen aba Lea|Lesen|107|18
will eis Besen aba Lea|Besen|107|18
will eis Wesen aba Lea|Wesen|107|18
will eis eben aba Lea|eben|107|18
will eis äsen aba Lea|äsen|107|18
will eis Ösen aba Lea|Ösen|107|18
eis esen ab Lea und|ab|108|19
und Lars biegen eis nicht|biegen|112|20
und Lars geben eis nicht|geben|112|20
und Lars sieben eis nicht|sieben|112|20
und Lars gieren eis nicht|gieren|112|20
und Lars rieben eis nicht|rieben|112|20
und Lars lieben eis nicht|lieben|112|20
und Lars gießen eis nicht|gießen|112|20
und Lars Sieben eis nicht|Sieben|112|20
und Lars Lieben eis nicht|Lieben|112|20
und Lars Dieben eis nicht|Dieben|112|20
und Lars Hieben eis nicht|Hieben|112|20
und Lars beginnen eis nicht|beginnen|112|20
dann Lea feind und|feind|121|21
dann Lea seid und|seid|121|21
dann Lea fein und|fein|121|21
dann Lea feil und|feil|121|21
dann Lea feig und|feig|121|21
dann Lea Neid und|Neid|121|21
dann Lea Leid und|Leid|121|21
dann Lea -eid und|-eid|121|21
. Dodo weil den Eis|weil|133|22
. Dodo will den Eis|will|133|22
. Dodo wild den Eis|wild|133|22
. Dodo wie den Eis|wie|133|22
. Dodo wir den Eis|wir|133|22
. Dodo Nil den Eis|Nil|133|22
. Lea gilt es aber|gilt|140|23
. Lea gibt es aber|gibt|140|23
. Lea getippt es aber|getippt|140|23
Sein Eis fehlt aus ter|fehlt|152|24
Sein Eis feilt aus ter|feilt|152|24
Sein Eis fielt aus ter|fielt|152|24
Sein Eis elft aus ter|elft|152|24
Sein Eis fest aus ter|fest|152|24
Sein Eis fett aus ter|fett|152|24
Sein Eis fegt aus ter|fegt|152|24
Sein Eis Welt aus ter|Welt|152|24
Sein Eis Zelt aus ter|Zelt|152|24
felt aus der Hand .|der|154|25
felt aus er Hand .|er|154|25
felt aus per Hand .|per|154|25
felt aus her Hand .|her|154|25
felt aus wer Hand .|wer|154|25
. Ler fehlt runter und|fehlt|158|26
. Ler feilt runter und|feilt|158|26
. Ler fielt runter und|fielt|158|26
. Ler elft runter und|elft|158|26
. Ler fest runter und|fest|158|26
. Ler fett runter und|fett|158|26
. Ler fegt runter und|fegt|158|26
. Ler Welt runter und|Welt|158|26
. Ler Zelt runter und|Zelt|158|26
. Dodo lenkt den Eis|lenkt|168|27
. Dodo leckt den Eis|leckt|168|27
. Dodo lest den Eis|lest|168|27
. Dodo legt den Eis|legt|168|27
. Dodo lebt den Eis|lebt|168|27
. Dodo Sekt den Eis|Sekt|168|27
. Lars gilt Lea ap|gilt|173|28
. Lars gibt Lea ap|gibt|173|28
. Lars getippt Lea ap|getippt|173|28
gipt Lea Kap . Lea|Kap|175|29
gipt Lea an . Lea|an|175|29
gipt Lea ad . Lea|ad|175|29
gipt Lea au . Lea|au|175|29
gipt Lea am . Lea|am|175|29
gipt Lea ab . Lea|ab|175|29
gipt Lea kp . Lea|kp|175|29
gipt Lea aß . Lea|aß|175|29
gipt Lea API . Lea|API|175|29
Lars sind aale frölich .|aale|183|30
Lars sind alte frölich .|alte|183|30
Lars sind alle frölich .|alle|183|30
Lars sind adle frölich .|adle|183|30
Lars sind male frölich .|male|183|30
Lars sind Aale frölich .|Aale|183|30
Lars sind Wale frölich .|Wale|183|30
Lars sind als frölich .|als|183|30
Lars sind alt frölich .|alt|183|30
Lars sind all frölich .|all|183|30
Lars sind ade frölich .|ade|183|30
Lars sind öle frölich .|öle|183|30
Lars sind Öle frölich .|Öle|183|30
Lars sind legal frölich .|legal|183|30
Lars sind letal frölich .|letal|183|30
sind ale fröhlich .|fröhlich|184|31
sind ale freilich .|freilich|184|31
. Dann sind sie weitagegangen|sind|198|32
. Dann seiend sie weitagegangen|seiend|198|32
. Dann säend sie weitagegangen|säend|198|32
siend sie entzweigegangen natürlig mit|entzweigegangen|200|33
siend sie weggegangenen natürlig mit|weggegangenen|200|33
siend sie weggegangen natürlig mit|weggegangen|200|33
siend sie eingegangenen natürlig mit|eingegangenen|200|33
sie weitagegangen natürlich mit Eis|natürlich|201|34
ist Lea der Dodo gefallen|der|209|35
ist Lea müder Dodo gefallen|müder|209|35
ist Lea oder Dodo gefallen|oder|209|35
ist Lea über Dodo gefallen|über|209|35
ist Lea öder Dodo gefallen|öder|209|35
ist Lea Eder Dodo gefallen|Eder|209|35
ist Lea Ader Dodo gefallen|Ader|209|35
ist Lea ermüde Dodo gefallen|ermüde|209|35
Dodo gefallen irr Eis ist|irr|212|36
Dodo gefallen er Eis ist|er|212|36
Dodo gefallen gier Eis ist|gier|212|36
Dodo gefallen hier Eis ist|hier|212|36
Dodo gefallen vier Eis ist|vier|212|36
Dodo gefallen zier Eis ist|zier|212|36
Dodo gefallen Eier Eis ist|Eier|212|36
Dodo gefallen Tier Eis ist|Tier|212|36
Dodo gefallen Gier Eis ist|Gier|212|36
Dodo gefallen Bier Eis ist|Bier|212|36
Dodo gefallen Zier Eis ist|Zier|212|36
Dodo gefallen der Eis ist|der|212|36
Dodo gefallen per Eis ist|per|212|36
Dodo gefallen ihr Eis ist|ihr|212|36
Dodo gefallen her Eis ist|her|212|36
Und dann harten sie das|harten|229|37
Und dann hadern sie das|hadern|229|37
Und dann harren sie das|harren|229|37
Und dann harken sie das|harken|229|37
Und dann Garden sie das|Garden|229|37
Und dann Barden sie das|Barden|229|37
Dodo hat scheel das Eis|scheel|239|38
Dodo hat schnell das Eis|schnell|239|38
Dodo hat schnee- das Eis|schnee-|239|38
Dodo hat schneeig das Eis|schneeig|239|38
Und dann hasten die Alle|hasten|247|39
Und dann harten die Alle|harten|247|39
Und dann hatten die Alle|hatten|247|39
Und dann halten die Alle|halten|247|39
Und dann chaten die Alle|chaten|247|39
Und dann hauten die Alle|hauten|247|39
Und dann haften die Alle|haften|247|39
Und dann hakten die Alle|hakten|247|39
Und dann raten die Alle|raten|247|39
Und dann taten die Alle|taten|247|39
Und dann hauen die Alle|hauen|247|39
Und dann haben die Alle|haben|247|39
Und dann baten die Alle|baten|247|39
Und dann haken die Alle|haken|247|39
Und dann waten die Alle|waten|247|39
Eis gegessen arider Lea und|arider|252|40
Eis gegessen Marder Lea und|Marder|252|40
Eis gegessen arger Lea und|arger|252|40
Eis gegessen armer Lea und|armer|252|40
Eis gegessen erde Lea und|erde|252|40
und Lars hasten Noch Eis|hasten|256|41
und Lars harten Noch Eis|harten|256|41
und Lars hatten Noch Eis|hatten|256|41
und Lars halten Noch Eis|halten|256|41
und Lars chaten Noch Eis|chaten|256|41
und Lars hauten Noch Eis|hauten|256|41
und Lars haften Noch Eis|haften|256|41
und Lars hakten Noch Eis|hakten|256|41
und Lars raten Noch Eis|raten|256|41
und Lars taten Noch Eis|taten|256|41
und Lars hauen Noch Eis|hauen|256|41
