Die	Die
Überraschung	Überraschung
\h	\h
An	An
diesem	diesem
Tag	Tag
ist	ist
Lea	Lea
sehr	sehr
traurig	traurig
.	.
^	
Dodo	Dodo
ist	ist
verschwunden	verschwunden
.	.
^	
Lea	Lea
hat	hat
sich	sich
sofat	sofort
auf	auf
die	die
Socken	Socken
gemacht	gemacht
^	
und	und
hat	hat
Steckbriefe	Steckbriefe
gemacht	gemacht
.	.
^	
Auf	Auf
die	die
Steckbriefe	Steckbriefe
stehen	stehen
Denkmale	Denkmale
von	von
^	
Dodo	Dodo
und	und
die	die
Telefonnummer	Telefonnummer
.	.
^	
Sie	Sie
hat	hat
die	die
Steckbriefe	Steckbriefe
an	an
Hauswände	Hauswände
^	
gehängt	gehängt
.	.
^	
Danach	Danach
geht	geht
Lea	Lea
nachhause	nachhause
und	und
wartet	wartet
auf	auf
^	
anrufe	Anrufe
.	.
^	
Sie	Sie
sitzt	sitzt
da	da
hilflos	hilflos
und	und
ist	ist
verzweifelt	verzweifelt
.	.
^	
Plötzlich	Plötzlich
ruft	ruft
jemand	jemand
an	an
,	,
es	es
ist	ist
Lars	Lars
.	.
^	
Lea	Lea
sagt	sagt
:	:
"	"
Hallo	Hallo
Lars	Lars
,	,
was	was
gibs	gibts
denn	denn
?	?
"	"
^	
Lars	Lars
sagt	sagt
:	:
"	"
Ich	Ich
habe	habe
eine	eine
Überraschung	Überraschung
!	!
"	"
Lea	Lea
hats	hats
ein	ein
wenig	wenig
aufgehaltet	aufgeheitert
.	.
^	
Sie	Sie
sagt	sagt
am	am
Telefon	Telefon
:	:
"	"
Dann	Dann
komm	komm
zu	zu
mir	mir
^	
und	und
zeig	zeig
mir	mir
deine	deine
überraschung	Überraschung
.	.
^	
Ihr	Ihr
laufen	laufen
freundesträngen	Freudentränen
aus	aus
dem	dem
Auge	Auge
.	.
^	
Kurz	Kurz
später	später
klingelt	klingelt
es	es
an	an
der	der
Tür	Tür
.	.
^	
Lea	Lea
guckt	guckt
aus	aus
den	den
Fenster	Fenster
und	und
ruft	ruft
:	:
"	"
Dodo	Dodo
!	!
"	"
^	
Dodo	Dodo
bellt	bellt
vor	vor
freude	Freude
und	und
kratzt	kratzt
an	an
der	der
Wand	Wand
.	.
^	
Dann	Dann
rennt	rennt
Lea	Lea
zu	zu
Lars	Lars
und	und
sagt	sagt
:	:
"	"
Danke	Danke
^	
Lars	Lars
,	,
das	dass
du	du
mir	mir
Dodo	Dodo
gebrungen	~gebrungen
hast	hast
.	.
"	"
^	
Lars	Lars
sagt	sagt
:	:
"	"
Das	Das
ist	ist
aber	aber
nicht	nicht
die	die
^	
einzige	einzige
Überraschung	Überraschung
,	,
Lars	Lars
sagt	sagt
:	:
"	"
Hier	Hier
,	,
ein	ein
^	
Lutscher	Lutscher
zur	zur
tröstung	Tröstung
.	.
"	"
^	
Danach	Danach
sagt	sagt
Lars	Lars
:	:
"	"
Guck	Guck
mal	mal
den	den
Dodo	Dodo
^	
*sst	isst
aus	aus
dem	dem
Napf	Napf
.	.
"	"
^	
Ende	Ende
