Lars	Lars
und	und
Ler	Lea
gehen	gehen
mit	mit
Dodo	Dodo
^	
schspaziren	spazieren
.	.
Dodo	Dodo
rande	rannte
ganz	ganz
^	
schnell	schnell
er	er
rande	rannte
so	so
schnell	schnell
das	dass
^	
Lars	Lars
die	die
Leine	Leine
nich	nicht
mehr	mehr
halten	halten
^	
kann	kann
.	.
Er	Er
rande	rannte
einem	einem
Frosch	Frosch
hiender_^heer	hinterher
.	.
Und	Und
er|	er
rande	rannte
ima	immer
noch	noch
er	er
und	und
^	
Lars	Lars
und	und
Ler	Lea
renen	rennen
hider_heer	hinterher
.	.
^	
Der	Der
Frosch	Frosch
sprang	sprang
auf	auf
ein	ein
Plat	Blatt
im	im
^	
Teisch	Teich
Dodo	Dodo
falte	~fallte
in	in
den	den
Teisch	Teich
er	er
^	
war	war
ganz	ganz
Nass	nass
.	.
