die	Die
knochen_kekse	Knochenkekse
\h	\h
An	An
ein	ein
sonnigen	sonnigen
nachmittag	Nachmittag
muss	muss
Lars	Lars
^	
das	das
wonzimmer	Wohnzimmer
sauber|	sauber
machen	machen
,	,
dafür	dafür
benuzt	benutzt
er	er
^	
ein	ein
Staub_sauger	Staubsauger
der	der
Dodo	Dodo
ligt	liegt
gemucklich	gemütlich
in	in
^	
seiner	seiner
eke	Ecke
.	.
^	
Auf	Auf
ein_mall	einmal
saugt	saugt
Lars	Lars
Dodos	Dodos
Kekse	Kekse
auf	auf
,	,
^	
dan	dann
hollt	holt
Lars	Lars
den	den
beultel	Beutel
mit	mit
d_n	den
keksen	Keksen
^	
raus	raus
.	.
^	
er	er
gett	geht
zumm	zum
müll	Müll
mitt	mit
dem	dem
kiksen	Keksen
und	und
^	
Dodo	Dodo
zitt|	zieht
in	ihn
an	an
seiner	seiner
hosee	Hose
,	,
^	
Dodo	Dodo
zitt	zieht
an	an
den	den
boltel	Beutel
und	und
Lars	Lars
zitt	zieht
sein	sein
arm	Arm
.	.
^	
auf	auf
ein_mall	einmal
buuumiiiiii_i	?buuumiiiiiii
.	.
plazt|	platzt
der|	der
boltel	Beutel
^	
und	und
Dodo	Dodo
hat	hat
seine	seine
kekse	Kekse
wieder	wieder
