der	Der
Eisman	Eismann
hat	hat
was	was
zu|	zu
tun	tun
.	.
Lea	Lea
Spricht	spricht
mit	mit
Lars	Lars
.	.
Und	Und
^	
Dann	dann
Stolpat	stolpert
Lea|	Lea
über	über
Dod_o	Dodo
.	.
Und	Und
Lea	Lea
Weint	weint
WeiJel	weil
si	sie
^	
Hingefalen	hingefallen
Ist	ist
Und	Und
si	sie
ist	ist
tiaurich	traurig
weiel	weil
si	sie
Ken	kein
eis	Eis
mär	mehr
hat	hat
^	
Aba	Aber
Lars	Lars
gipt|	gibt
ein	ein
stük	Stück
fon	von
Sein	sein
eis	Eis
Ap	ab
.	.
Und	Und
dan	dann
waren	waren
ale	alle
^	
glüklich	glücklich
und	und
zufriden	zufrieden
.	.
