Dass	Das
ünglück	Unglück
\h	\h
An	An
einem	einem
schönnen	schönen
tag	Tag
wo	wo
Lea	Lea
und	und
Lars	Lars
Hausarest	Hausarrest
^	
haben	haben
schprechen	sprechen
sie	sie
vom	vom
Fenster	Fenster
zum	zum
Fenster	Fenster
.	.
^	
Lea	Lea
ruft	ruft
Hey	Hey
Lars	Lars
ich	ich
hab	hab
mein	mein
Teddi	Teddy
bei	bei
euch	euch
^	
vergessen	vergessen
.	.
Lars	Lars
holt	holt
eine	eine
kleine	kleine
Seilbahn	Seilbahn
ein	ein
Seil	Seil
^	
und	und
deen	den
Teddi	Teddy
dann	dann
werft	werft
sie	sie
ein	ein
stück	Stück
Seil	Seil
^	
zu	zu
Lea	Lea
und	und
sie	sie
befestigt	befestigt
es	es
an	an
der	der
Fensterbank	Fensterbank
.	.
^	
Vorsichtig	Vorsichtig
legt	legt
er	er
deen	den
Teedi	Teddy
ihn	in
die	die
Seilbahn	Seilbahn
^	
Schnell	Schnell
ging	ging
es	es
zu	zu
Lea	Lea
und	und
dass	das
Seil	Seil
wurde	wurde
immer	immer
^	
wackeliger	wackeliger
daan	dann
bricht	bricht
dass	das
seil	Seil
bei	bei
Lea	Lea
^	
ab	ab
.	.
Und	Und
die	die
harte	harte
Seilbahn	Seilbahn
hat	hat
das	das
untere	untere
^	
Fenster	Fenster
der	der
Nachbarn	Nachbarn
getroffen	getroffen
und	und
dass	das
Fenster	Fenster
^	
ging	ging
kaputt	kaputt
.	.
Der	Der
Teddi	Teddy
landet	landet
auf	auf
der	der
Fensterbund	Fensterbank
^	
Dann	Dann
gukt	guckt
Herr	Herr
Arslan	Arslan
Aus	aus
den	den
Fenster	Fenster
und	und
^	
ist	ist
erschrocken	erschrocken
und	und
schrie	schrie
mein	mein
Fenster	Fenster
^	
dann	dann
geht	geht
Lars	Lars
die	die
Treppe	Treppe
herunter	herunter
^	
und	und
sagt	sagt
Krieg	Krieg
ich	ich
mein	mein
Tedi	Teddy
zurück	zurück
^	
Na	Na
gut	gut
er	er
gibt	gibt
den	den
Teddi	Teddy
Lars	Lars
Ende	Ende
.	.
