Die	Die
keckse	Kekse
\h	\h
Es	Es
war	war
ein	ein
schöner	schöner
Morgen	Morgen
.	.
^	
Lars	Lars
saugte	saugte
mit	mit
dem	dem
^	
Staubsauger	Staubsauger
das	das
dreck	Dreck
weck	weg
.	.
^	
Dodo	Dodo
war	war
am	am
schlafen	Schlafen
.	.
^	
Plötzlich	Plötzlich
wachte	wachte
er	er
auf	auf
und	und
^	
sah	sah
wie	wie
Lars	Lars
seine	seine
keckse	Kekse
^	
saugte	saugte
.	.
Als	Als
Lars	Lars
auf_hörte	aufhörte
^	
dachte	dachte
Dodo	Dodo
er	er
holt	holt
^	
die	die
Keckse	Kekse
raus	raus
.	.
Aber	Aber
er	er
^	
wollte	wollte
es	es
in	in
dem	dem
^	
Mülleimer	Mülleimer
reintuhen	reintun
.	.
Dodo	Dodo
bellte	bellte
^	
aber	aber
Lars	Lars
konnte	konnte
ihn	ihn
^	
nicht	nicht
verstehen	verstehen
.	.
Plötzlich	Plötzlich
^	
sprang	sprang
er	er
auf	auf
das	das
Müll	Müll
^	
weil	weil
er	er
die	die
Keckse	Kekse
wollte	wollte
.	.
^	
Aber	Aber
Lars	Lars
sagte	sagte
:	:
nein	Nein
nein	nein
Dodo	Dodo
^	
und	und
hielte	hielte
ihn	ihn
am	am
^	
hals_ban	Halsband
fest	fest
.	.
Plötzlich	Plötzlich
fiehl	fiel
^	
er	er
das	das
Müll	Müll
runter	runter
und	und
^	
alles	alles
Platzte	platzte
.	.
zuletzt	zuletzt
fand	fand
^	
Dodo	Dodo
seine	seine
keckse	Kekse
.	.
Ende	Ende
!!!	!!!
