Der	Der
verschwundene	verschwundene
Rucksack	Rucksack
\h	\h
Lea	Lea
saß	saß
mit	mit
ihrem	ihrem
Hund	Hund
Dodo	Dodo
im	im
Bus	Bus
.	.
^	
Als	Als
sie	sie
ausstiegen	ausstiegen
vergaß	vergaß
sie	sie
ihren	ihren
Rucksack	Rucksack
.	.
^	
Erstmal	Erstmal
merkte	merkte
sie	sie
nichts	nichts
,	,
aber	aber
dann	dann
klopfte	klopfte
der	der
Mann	Mann
^	
der	der
gegenüber	gegenüber
von	von
ihr	ihr
saß	saß
an	an
die	die
Scheibe	Scheibe
und	und
hielt	hielt
den	den
^	
Rucksack	Rucksack
hoch	hoch
.	.
Lea	Lea
bemerkte	bemerkte
erst	erst
jetzt	jetzt
,	,
dass	dass
sie	sie
ihr	ihr
^	
Rucksack	Rucksack
vergessen	vergessen
hatte	hatte
.	.
Lie	Sie
lief	lief
so	so
schnell	schnell
sie	sie
^	
konnte	konnte
dem	dem
Bus	Bus
hinterher	hinterher
.	.
Der	Der
Mann	Mann
gab	gab
den	den
Rucksack	Rucksack
^	
im	im
Fundbüro	Fundbüro
ab	ab
.	.
"	"
Oh	Oh
nein	nein
!	!
"	"
,	,
dachte	dachte
Lea	Lea
.	.
"	"
Jetzt	Jetzt
finde	finde
^	
ich	ich
den	den
Rucksack	Rucksack
nie	nie
wieder	wieder
!	!
"	"
Sie	Sie
ging	ging
noch	noch
einmal	einmal
^	
zum	zum
Fundbüro	Fundbüro
.	.
Lea	Lea
sah	sah
ihren	ihren
Rucksack	Rucksack
und	und
ging	ging
^	
hinein	hinein
,	,
um	um
ihren	ihren
Rucksack	Rucksack
abzuholen	abzuholen
.	.
Fröhlich	Fröhlich
ging	ging
Lea	Lea
^	
aus	aus
dem	dem
Fundbüro	Fundbüro
.	.
