Wo	Wo
ist	ist
Dodo	Dodo
hin	hin
?	?
\h	\h
Eines	Eines
Tages	Tages
rannte	rannte
Dodo	Dodo
weg	weg
und	und
^	
Lea	Lea
rannte	rannte
ihm	ihm
hinterher	hinterher
doch	doch
^	
Dodo	Dodo
war	war
schneller	schneller
.	.
Lea	Lea
war	war
außer	außer
^	
puste	Puste
und	und
gab	gab
auf	auf
.	.
Sie	Sie
war	war
sehr	sehr
^	
traurig	traurig
das	dass
Dodo	Dodo
weg	weg
war	war
.	.
Sie	Sie
hing	hing
^	
in	in
der	der
ganzen	ganzen
Stadt	Stadt
Plakate	Plakate
auf	auf
^	
darauf	darauf
war	war
ein	ein
Bild	Bild
von	von
Dodo	Dodo
mit	mit
^	
dem	dem
Namen	Namen
darauf	darauf
von	von
ihrem	ihrem
Hund	Hund
^	
Dodo	Dodo
.	.
Sie	Sie
ging	ging
traurig	traurig
Nach|	nach
hause	Hause
setzte	setzte
^	
sich	sich
in	in
ihr	ihr
Zimmer	Zimmer
weinte	weinte
und	und
^	
wartete	wartete
auf	auf
einen	einen
Anruf	Anruf
.	.
Doch	Doch
Plötzlich	plötzlich
^	
rufte	~rufte
einer	einer
an	an
Es	Es
war	war
Lars	Lars
.	.
Er	Er
sagte	sagte
:	:
"	"
^	
Dein	Dein
Hund	Hund
Dodo	Dodo
ist	ist
bei	bei
mir	mir
er	er
^	
ist	ist
zu	zu
mir	mir
Nach|	nach
hause	Hause
gerannt	gerannt
suchst	suchst
^	
du	du
ihn	ihn
fragte	fragte
er	er
?	?
Lea	Lea
antwortete	antwortete
sofort	sofort
^	
ja	ja
ich	ich
such	such
ihn	ihn
wie	wie
g*hts	gehts
ihm	ihm
?	?
^	
was	was
macht	macht
er	er
gerade	gerade
?	?
Lars	Lars
antwortete	antwortete
^	
:	:
"	"
Ihm	Ihm
geht	geht
es	es
gut	gut
er	er
ist	ist
gerade	gerade
bei*	bei
^	
mir	mir
auf	auf
dem	dem
Arm	Arm
.	.
Lea	Lea
antwortete	antwortete
dagegen	dagegen
^	
:	:
"	"
gut	Gut
kannst	kannst
du	du
ihn	ihn
mir	mir
vorbei	vorbei
bringen	bringen
^	
fragte	fragte
sie	sie
.	.
Lars	Lars
antwortete	antwortete
:	:
"	"
Ja	Ja
das	das
mach	mach
^	
ich	ich
Ich	Ich
komme	komme
ungefähr	ungefähr
in	in
5	5
Minuten	Minuten
.	.
^	
Lea	Lea
:	:
sagte	sagte
Okey	Okay
by	bye
.	.
Lars	Lars
sagte	sagte
auch	auch
by	bye
.	.
^	
Lea	Lea
wartete	wartete
und	und
wartete	wartete
danach	danach
schaute	schaute
^	
Lea	Lea
raus	raus
und	und
sah	sah
Lars	Lars
mit	mit
Dodo	Dodo
.	.
^	
Sie	Sie
freute	freute
sich	sich
Lars	Lars
kamm	kam
rein	rein
.	.
Dodo	Dodo
^	
ging	ging
sofort	sofort
zum	zum
Futter	Futter
Lars	Lars
gab	gab
^	
Lea	Lea
einen	einen
Zuckerapfel	Zuckerapfel
Lea	Lea
war	war
sehr	sehr
^	
dankar	dankbar
und	und
weinte	weinte
vor	vor
glück	Glück
.	.
^	
ENDE	ENDE
