ales	Alles
ist	ist
kaput	kaputt
gegan	gegangen
\h	\h
lea	Lea
lars	Lars
und	und
Nicklars	Nicklars
spilen	spielen
^	
wakel_turm	Wackelturm
Nicklars	Nicklars
und	und
lea	Lea
^	
Halten	halten
den	den
turm	Turm
fest	fest
lars	Lars
tut	tut
gantz	ganz
^	
langsam	langsam
den	den
domino_stein	Dominostein
auf	auf
den	den
^	
turm	Turm
.	.
lea	Lea
sagt	sagt
gleich	gleich
sind	sind
wir	wir
vertig	fertig
^	
dan	dann
könn	können
wir	wir
spilen	spielen
.	.
Dodo	Dodo
kugt	kuckt
die	die
^	
kiste	Kiste
an	an
und	und
krabelt	krabbelt
einfach	einfach
da	da
^	
drunter	drunter
.	.
lea	Lea
nimt	nimmt
den	den
domino_Stein	Dominostein
^	
und	und
tut	tut
den	den
nach	nach
lars	Lars
drauf	drauf
.	.
lea	Lea
^	
ruft	ruft
entlich	endlich
fertig	fertig
Doch	Doch
lars	Lars
wil	will
^	
sich	sich
langsam	langsam
setzen	setzen
.	.
lea	Lea
macht	macht
die	die
^	
ame	Arme
auf	auf
iren	ihren
kopf	Kopf
.	.
lars	Lars
setzt	setzt
sich	sich
^	
und	und
Lea	Lea
helt	hält
lars	Lars
vest	fest
Dodo	Dodo
zit	zieht
^	
den	den
katon	Karton
weg	weg
.	.
Plötzlich	Plötzlich
komen	kommen
^	
ale	alle
domino_steine	Dominosteine
auf	auf
Nicklars	Nicklars
.	.
Ale	Alle
^	
gugen	gucken
auf	auf
lars	Lars
und	und
sint	sind
er_^Schroken	erschrocken
lars	Lars
ruft	ruft
o|	o
nein	nein
ganz	ganz
^	
laut	laut
.	.
lars	Lars
knalt	knallt
auf	auf
den	den
boden	Boden
.	.
Und	Und
^	
sind	sind
erstaunt	erstaunt
.	.
Nicklars	Nicklars
hat	hat
ale	alle
domi_^Nosteine	Dominosteine
in	in
der	der
hant	Hand
.	.
Ale	Alle
fragen	fragen
^	
sich	sich
wer	wer
da	da
drunter	drunter
ist	ist
doch	doch
^	
dann	dann
komt	kommt
Dodo	Dodo
raus	raus
und	und
er	er
^	
belt	bellt
ganz	ganz
laut	laut
und	und
komt	kommt
aus	aus
^	
den	den
katon	Karton
.	.
Ale	Alle
fangen	fangen
zu	zu
lachen	lachen
^	
an	an
.	.
Nicklars	Nicklars
sagt	sagt
das	das
ist	ist
Dodo	Dodo
.	.
^	
Dann	Dann
sind	sind
ale	alle
vro	froh
und	und
glüklich	glücklich
.	.
