Der	Der
Ferschwundene	verschwundene
Hund	Hund
\h	\h
Leas	Leas
Hund	Hund
Dodo	Dodo
ist	ist
weg	weg
und	und
des_wegen	deswegen
^	
hängt	hängt
sie	sie
Plakate	Plakate
auf	auf
wo	wo
der	der
Hund	Hund
^	
drauf	drauf
ist	ist
da_mit	damit
Jeder	jeder
weis	weiß
wie	wie
der	der
^	
Hund	Hund
Dodo	Dodo
aus_sied	aussieht
und	und
die	die
anderen	anderen
^	
Plakate	Plakate
ligen	liegen
noch	noch
auf	auf
dem	dem
Boden	Boden
weil	weil
^	
sie	sie
die	die
noch	noch
nicht	nicht
auf_geh_hängt	aufgehängt
hat	hat
^	
und	und
Jetzt	jetzt
geht	geht
Lea	Lea
rein	rein
und	und
sehtzt	setzt
^	
sich	sich
ans	ans
Telefon	Telefon
und	und
sie	sie
hat	hat
ein	ein
Stieft	Stift
^	
in	in
der	der
Hand	Hand
und	und
Lea	Lea
vartet	wartet
dies	bis
einer	einer
^	
Anuft	anruft
und	und
sie	sie
Hat	hat
ein	ein
Stieft	Stift
in	in
der	der
^	
Hand	Hand
wem	wenn
einer	einer
an_ruft	anruft
das	dass
sie	sie
sich	sich
^	
das	das
auf_Schreiden	aufschreiben
kann	kann
wo	wo
Dodo	Dodo
ist	ist
^	
Und	Und
es	es
ruft	ruft
einer	einer
an	an
Ihr	Ihr
freund	Freund
Lars	Lars
^	
weil	weil
dei	bei
im	ihm
der	der
Hund	Hund
ist	ist
und	und
Lea	Lea
^	
Freud	freut
sich	sich
das	dass
der	der
Hund	Hund
wieder	wieder
da	da
ist	ist
^	
Und	Und
ihr	ihr
Felt	fällt
for	vor
Freude	Freude
der	der
Stieft	Stift
aus	aus
^	
der	der
Hand	Hand
.	.
Und	Und
ihr	ihr
Freund	Freund
Lars	Lars
^	
Kommt	kommt
mit	mit
Dodo	Dodo
zu	zu
Lea	Lea
nach	nach
Hause	Hause
^	
und	und
Lea	Lea
kukt	kuckt
aus	aus
dem	dem
Fenster	Fenster
Und	Und
^	
Lars	Lars
Klingelt	klingelt
und	und
Lea	Lea
macht	macht
Lars	Lars
^	
und	und
Dodo	Dodo
die	die
Tür	Tür
auf	auf
und	und
Dodo	Dodo
^	
rent	rennt
sofort	sofort
zum	zum
Futter	Futter
und	und
Lea	Lea
^	
und	und
Lars	Lars
um_armen	umarmen
sich	sich
und	und
Lea	Lea
^	
hat	hat
ein	ein
Loll	Lolli
von	von
Lars	Lars
in	in
der	der
Hand	Hand
^	
und	und
Lars	Lars
macht	macht
zu	zu
Dodo	Dodo
Hau	Hau
nicht	nicht
^	
noch	noch
mall	mal
ab	ab
.	.
