Eines	Eines
Tages	Tages
war	war
Lea	Lea
und	und
Dodo	Dodo
^	
draußen	draußen
am	am
Spielen	Spielen
aber	aber
dan	dann
ist	ist
^	
Dodo	Dodo
weg_gelaufen	weggelaufen
aber	aber
Lea	Lea
konnte	konnte
^	
nicht	nicht
mehr	mehr
Dodo	Dodo
sehen	sehen
.	.
Die	Die
Lea	Lea
^	
machte	machte
sich	sich
Große	große
sorgen	Sorgen
und	und
^	
hänckte	hängte
auf	auf
der	der
Wand	Wand
Bilder	Bilder
von	von
^	
Dodo	Dodo
.	.
Die	Die
Lea	Lea
schrieb	schrieb
die	die
Telefonn-^ummer	Telefonnummer
auf	auf
dass	das
Blatt	Blatt
.	.
Lea	Lea
ist	ist
^	
Traurig	traurig
nach	nach
Hause	Hause
gegangen	gegangen
und	und
^	
hat	hat
gewartet	gewartet
bis	bis
jemmand	jemand
anruft	anruft
.	.
^	
Dann	Dann
hat	hat
das	das
Telefonn	Telefon
Pötzlich	plötzlich
^	
Gecklingelt	geklingelt
und	und
es	es
wahr	war
Lars	Lars
der	der
^	
am	am
Telefon	Telefon
wahr	war
.	.
Lea	Lea
hatt	hat
dan	dann
^	
Traurig	traurig
gesagt	gesagt
:	:
"	"
Hallo	Hallo
Lars	Lars
was	was
ist	ist
^	
den	denn
los	los
?	?
"	"
sagte	sagte
Lea	Lea
verzweifeld	verzweifelt
.	.
^	
Lars	Lars
sagte	sagte
sehr	sehr
Glücklich	glücklich
:	:
"	"
Ich	Ich
^	
habe	habe
deinen	deinen
Hund	Hund
Dodo	Dodo
gefunden	gefunden
!	!
"	"
Lea	Lea
war	war
dann	dann
Gantz	ganz
Glücklich	glücklich
vor	vor
^	
Freude	Freude
und	und
ging	ging
gantz	ganz
schnell	schnell
^	
nach	nach
draußen	draußen
und	und
machte	machte
die	die
^	
Tür	Tür
auf	auf
und	und
wahr	war
gantz	ganz
Glücklich	glücklich
^	
vor	vor
Tür	Tür
****	?****
Lea	Lea
umarmte	umarmte
Lars	Lars
^	
gantz	ganz
feste	feste
und	und
sagte	sagte
Glück-^lich	glücklich
:	:
"	"
Dancke	Danke
Lars	Lars
dass	dass
du	du
^	
Dodo	Dodo
gefunden	gefunden
hast	hast
!	!
"	"
viellen	Vielen
^	
viellen	vielen
Danck	Dank
sagte	sagte
Lea	Lea
^	
entzuckt	entzückt
.	.
Lars	Lars
hat	hat
dann	dann
der	der
^	
Lea	Lea
einen	einen
Lolly	Lolli
gegeben	gegeben
und	und
^	
Ende	Ende
