Ein	Ein
RuKsaK	Rucksack
verloren	verloren
im	im
Bus	Bus
\h	\h
Es	Es
war	war
einmal	einmal
ein	ein
Mädchen	Mädchen
.	.
Die	Die
heißte	~heißte
Lea	Lea
und	und
hate	hatte
^	
einen	einen
Hund	Hund
der	der
heißte	~heißte
Dodo	Dodo
.	.
Lea	Lea
steing_t|	steigt
in	in
einen	einen
Bus	Bus
.	.
^	
Und	Und
steigt	steigt
ein	ein
mit	mit
Dodo	Dodo
.	.
Und	Und
vor	vor
sie	sie
sahs	saß
ein	ein
^	
Mann	Mann
und	und
der	der
heißte	~heißte
Friederik	Friederik
.	.
Dann	Dann
steigt_den	~steigten
sie	sie
^	
aus|	aus
dem	dem
Bus	Bus
.	.
Aber	Aber
Lea	Lea
fergeste	~vergesste
was	was
aber	aber
Lea	Lea
wuste	wusste
^	
das	das
nicht	nicht
.	.
Sie	Sie
steigt	steigt
aus	aus
.	.
Sie	Sie
läufte	~läufte
ein	ein
par	paar
schriete	Schritte
.	.
^	
Danach	Danach
sagte	sagte
oder	oder
schrie	schrie
Friederik	Friederik
halt	halt
du	du
Mächen	Mädchen
^	
du	du
hast	hast
dein	dein
Rucksak	Rucksack
fergesen	vergessen
.	.
Lea	Lea
hörte	hörte
es	es
und	und
^	
drete	drehte
sich	sich
um	um
.	.
Der	Der
Mann	Mann
winkte	winkte
das	dass
Lea	Lea
das	das
^	
siet	sieht
und	und
komm	komm
sein	sein
Rucksag	Rucksack
abzuholen	abzuholen
.	.
Lea	Lea
sah	sah
^	
es	es
und	und
schrie	schrie
hey	hey
bleiben	bleiben
sie	Sie
stehen	stehen
.	.
Aber	Aber
^	
dar	da
war	war
zu	zu
spät	spät
der	der
Bus_fahrer	Busfahrer
färte	~fährte
schon	schon
^	
weg	weg
.	.
Aber	Aber
Dodo	Dodo
KuKte	kuckte
Lea	Lea
so	so
Komig	komisch
an	an
.	.
^	
Danach	Danach
weiste	~weißte
Dodo	Dodo
nicht	nicht
was	was
er	er
machen	machen
^	
solte	sollte
.	.
Aber	Aber
der	der
Mann	Mann
imm	im
Bus	Bus
vor	vor
Lea	Lea
^	
und	und
Dodo	Dodo
sas	saß
winkte	winkte
und	und
winkte	winkte
und	und
hep	heb
^	
die	die
Tasche	Tasche
hoh	hoch
.	.
1	1
sekunden	Sekunden
Später	später
rennten	~rennten
Lea	Lea
und	und
^	
Dodo	Dodo
Lea	Lea
schreite	~schreite
hal_ten	halten
sie	Sie
an	an
Lea	Lea
konnte	konnte
^	
nich	nicht
schnel	schnell
rennen	rennen
weil	weil
sie	sie
in	in
ihren	ihren
Hant	Hand
ein	ein
^	
Buch	Buch
hate	hatte
.	.
Sie	Sie
möchte	möchte
auch	auch
nicht	nicht
das	dass
Lea	Lea
^	
auch	auch
noch	noch
sein	sein
Buch	Buch
ärgent_wo	irgendwo
fergist	vergisst
^	
weil	weil
das	das
war	war
ein	ein
besonderes	besonderes
Buch	Buch
für	für
Lea	Lea
.	.
^	
Aber	Aber
Dodo	Dodo
rante	rannte
so	so
wie	wie
er	er
rente	~rennte
weil	weil
.	.
Dodos	Dodos
^	
essen	Essen
da	da
war	war
und	und
seine	seine
spiel_zeuge	Spielzeuge
direnen	drinnen
^	
waren	waren
.	.
Später	Später
gin	ging
der	der
Mann	Mann
F_riedrik	Friederik
aus	aus
^	
den	den
Bus	Bus
herraus	heraus
aber	aber
Lea	Lea
und	und
Dodo	Dodo
haben	haben
es	es
^	
nich	nicht
geschaft	geschafft
.	.
Der	Der
Mann	Mann
gehte	~gehte
10	10
schriete	Schritte
^	
und	und
da	da
sieht	sieht
er	er
einen	einen
Laden	Laden
für	für
wer_schwundene	verschwundene
^	
Spiel_zeuge	Spielzeuge
oder	oder
an_dere	andere
sahen	Sachen
bestimt	bestimmt
ist	ist
.	.
^	
Der	Der
Mann	Mann
frakte	fragte
Halo	Hallo
ich	ich
möchte	möchte
einen	einen
Rucksag	Rucksack
^	
ab_geben	abgeben
der	der
andere	andere
Mann	Mann
sagt	sagt
na|	na
klar	klar
aber	aber
^	
wie	wie
heißen	heißen
sie	Sie
den	denn
.	.
Der	Der
Mann	Mann
sagt	sagt
Friedrik	Friederik
^	
der	der
andere	andere
Man	Mann
sagt	sagt
okey	okay
cus	tschüss
.	.
Lea	Lea
und	und
^	
Dodo	Dodo
gehen	gehen
zu	zu
diesen	diesen
Lader	Laden
herrein	herein
und	und
Fragte	fragte
^	
hab	hab
ihr	ihr
einen	einen
Rucksag	Rucksack
der	der
Mann	Mann
sagt	sagt
ya	ja
dan	dann
niemd	nimmt
^	
Lea	Lea
die	die
Tasche	Tasche
und	und
geht	geht
gluck_lich	glücklich
.	.
Ende	Ende
