An	An
einem	einem
Tag	Tag
haben	haben
sich	sich
Lea	Lea
und	und
Lars	Lars
^	
getroffen	getroffen
um	um
zusammen	zusammen
zur	zur
Schule	Schule
zu	zu
^	
gehen	gehen
.	.
Als	Als
lars	Lars
lea	Lea
gesehen	gesehen
hatt	hat
,	,
hatte	hatte
^	
er	er
die	die
Arme	Arme
hoch	hoch
gehoben	gehoben
und	und
ist	ist
wie	wie
^	
der	der
Blitz	Blitz
zu	zu
lea	Lea
gerant	gerannt
.	.
Lea	Lea
hatte	hatte
unter	unter
^	
irem	ihrem
Mantel	Mantel
einen	einen
Hund	Hund
und	und
dieser	dieser
^	
Hund	Hund
hiß	hieß
doddo	Dodo
.	.
Dodo	Dodo
war	war
leicht	leicht
breunlich	bräunlich
^	
und	und
auch	auch
ein|	ein
bischen	bisschen
gelb	gelb
.	.
Dodo	Dodo
hatte	hatte
^	
ein	ein
Halsband	Halsband
um	um
mit	mit
lea's	Leas
Adresse	Adresse
drauf	drauf
.	.
^	
Lea	Lea
hatte	hatte
Dode	Dodo
Nämlich	nämlich
gestern	gestern
geckauft	gekauft
.	.
^	
Als	Als
lars	Lars
bei	bei
lea	Lea
war	war
hatt	hat
lea	Lea
lars	Lars
dodo	Dodo
^	
gezeickt	gezeigt
.	.
Als	Als
lars	Lars
dodo	Dodo
gesehen	gesehen
hatt	hat
,	,
hatt	hat
lea	Lea
zu	zu
^	
lars	Lars
gesackt	gesagt
"	"
Lars	Lars
das	das
ist	ist
mein	mein
neuer	neuer
Hund	Hund
^	
dodo	Dodo
,	,
dodo	Dodo
das	das
ist	ist
lars	Lars
"	"
!	!
und	Und
Kurtz	kurz
darauf	darauf
^	
sackte	sagte
Lars	Lars
zu	zu
lea	Lea
"	"
dodo	Dodo
ist	ist
aber	aber
süß	süß
"	"
!	!
Sagte	sagte
^	
lars	Lars
zu	zu
lea	Lea
.	.
lars	Lars
hatt	hat
dodos	Dodos
Pfote	Pfote
in	in
^	
die	die
Hand	Hand
genommen	genommen
und	und
lars	Lars
sagte	sagte
"	"
^	
Hallo	Hallo
dodo	Dodo
mein	mein
name	Name
ist	ist
lars	Lars
.	.
"	"
Dodo	Dodo
hatt	hat
^	
sich	sich
sehr	sehr
über	über
lars	Lars
gefreut	gefreut
.	.
Nach	Nach
ein	ein
^	
paar	paar
Minuten	Minuten
waren	waren
lea	Lea
und	und
lars	Lars
in	in
^	
der	der
Schule	Schule
.	.
Lars	Lars
fragte	fragte
Lea	Lea
"	"
Lea	Lea
hast	hast
du	du
^	
Dodo	Dodo
mitgenommen	mitgenommen
"	"
!	!
Und	Und
Kurtz	kurz
darauf	darauf
sagte	sagte
^	
Lea	Lea
"	"
Ja	Ja
ich	ich
habe	habe
Dodo	Dodo
mitgenommen	mitgenommen
"	"
!	!
dan	dann
^	
füsterte	flüsterte
lars	Lars
zu	zu
Lea	Lea
"	"
Warum	Warum
hast	hast
du	du
dodo	Dodo
mitgenommen	mitgenommen
.	.
