der	Der
verlorene	verlorene
hund	Hund
\h	\h
Lea	Lea
hat	hat
ihr	ihr
Hund	Hund
Dodo	Dodo
^	
verlorn	verloren
.	.
Sie	Sie
hängt	hängt
ihre	ihre
telefon_^nummer	Telefonnummer
falls	falls
jemand	jemand
ihn	ihn
^	
fändet	fändet
.	.
Sie	Sie
wartet	wartet
das	dass
^	
einer	einer
ruft	ruft
sie	sie
hat	hat
essen	Essen
^	
getan	getan
damit	damit
er	er
kommt	kommt
.	.
^	
Dan	Dann
ruf	ruf
Lars	Lars
an	an
und	und
sagt	sagt
^	
dein	dein
Hund	Hund
ist	ist
bei	bei
mühlheim	Mühlheim
^	
gelaufen	gelaufen
.	.
Spas	Spaß
ich	ich
hab	hab
ihn	ihn
^	
sie	sie
hat	hat
freute_tränen	Freudentränen
.	.
Lars	Lars
ist	ist
^	
da	da
und	und
Dodo	Dodo
macht	macht
laut	laut
^	
wuf	wuff
wuf	wuff
Lars	Lars
hat	hat
ein	ein
^	
geschänk	Geschenk
Lea	Lea
kommt	kommt
raus	raus
^	
Dodo	Dodo
ess	iss
so_vort	sofort
er	er
hat	hat
^	
hat	hat
hunger	Hunger
Lars	Lars
hat	hat
einen	einen
^	
Lolli	Lolli
Lea	Lea
gegeben	gegeben
.	.
Und	Und
^	
Wen	wenn
Sie	sie
nicht	nicht
gestroben	gestorben
^	
sind	sind
dan	dann
leben	leben
sie	sie
roch	noch
^	
heute	heute
.	.
Ende	Ende
