original|corrected|filename|freq_ori|freq_cor|freq_tup
und|und|01-005-2-III-Eis.csv|9718|9827|9713
gehen|gehen|01-005-2-III-Eis.csv|288|377|288
Eis|Eis|01-005-2-III-Eis.csv|395|657|395
kaufen|kaufen|01-005-2-III-Eis.csv|53|80|53
belt|bellt|01-005-2-III-Eis.csv|91|256|91
den|den|01-005-2-III-Eis.csv|2401|2389|2278
Eismann|Eismann|01-005-2-III-Eis.csv|10|22|10
an|an|01-005-2-III-Eis.csv|1415|1440|1412
der|der|01-005-2-III-Eis.csv|3044|3049|3014
kukt|kuckt|01-005-2-III-Eis.csv|73|215|73
dan|dann|01-005-2-III-Eis.csv|627|1379|621
haben|haben|01-005-2-III-Eis.csv|462|485|457
sie|sie|01-005-2-III-Eis.csv|3459|3490|3374
Ihren|ihren|01-005-2-III-Eis.csv|7|364|7
gekricht|gekriegt|01-005-2-III-Eis.csv|2|16|2
leken|lecken|01-005-2-III-Eis.csv|14|26|14
daran|daran|01-005-2-III-Eis.csv|13|15|13
felt|fällt|01-005-2-III-Eis.csv|93|230|90
mit|mit|01-005-2-III-Eis.csv|1440|1459|1438
dem|dem|01-005-2-III-Eis.csv|926|933|924
hin|hin|01-005-2-III-Eis.csv|155|174|155
wolte|wollte|01-005-2-III-Eis.csv|173|470|173
auffangen|auffangen|01-005-2-III-Eis.csv|5|6|5
lekt|leckt|01-005-2-III-Eis.csv|20|66|19
fom|vom|01-005-2-III-Eis.csv|13|111|13
boden|Boden|01-005-2-III-Eis.csv|55|144|55
gibt|gibt|01-005-2-III-Eis.csv|157|198|156
eine|eine|01-005-2-III-Eis.csv|585|595|585
sorte|Sorte|01-005-2-III-Eis.csv|8|8|8
von|von|01-005-2-III-Eis.csv|666|748|664
seinem|seinem|01-005-2-III-Eis.csv|44|45|44
ab|ab|01-005-2-III-Eis.csv|217|248|216
Drei|drei|01-005-2-III-Eis.csv|9|50|6
gawen|kaufen|01-006-2-III-Eis.csv|1|80|1
din|ein|01-006-2-III-Eis.csv|2|2154|1
eis|Eis|01-006-2-III-Eis.csv|232|657|232
Keld|Geld|01-006-2-III-Eis.csv|1|18|1
man|Mann|01-006-2-III-Eis.csv|110|674|79
Haben|Haben|01-006-2-III-Eis.csv|16|12|6
dann|dann|01-006-2-III-Eis.csv|717|1379|717
gien|gehen|01-006-2-III-Eis.csv|1|377|1
nahaise|nachhause|01-006-2-III-Eis.csv|1|37|1
esen|essen|01-006-2-III-Eis.csv|22|75|12
will|will|01-006-2-III-Eis.csv|161|320|161
aba|aber|01-006-2-III-Eis.csv|21|879|21
gieben|geben|01-006-2-III-Eis.csv|1|38|1
nicht|nicht|01-006-2-III-Eis.csv|1043|1177|1039
wollt|wollte|01-006-2-III-Eis.csv|6|470|2
feid|fällt|01-006-2-III-Eis.csv|1|230|1
gen|gehen|01-012-2-III-Eis.csv|31|377|31
wil|will|01-012-2-III-Eis.csv|95|320|95
gipt|gibt|01-012-2-III-Eis.csv|18|198|18
es|es|01-012-2-III-Eis.csv|1216|1225|1209
aber|aber|01-012-2-III-Eis.csv|818|879|816
stolpert|stolpert|01-012-2-III-Eis.csv|16|43|16
über|über|01-012-2-III-Eis.csv|189|224|189
Sein|Sein|01-012-2-III-Eis.csv|18|11|11
aus|aus|01-012-2-III-Eis.csv|814|826|809
ter|der|01-012-2-III-Eis.csv|1|3049|1
Hand|Hand|01-012-2-III-Eis.csv|227|295|227
runter|runter|01-012-2-III-Eis.csv|217|280|217
weint|weint|01-012-2-III-Eis.csv|222|300|222
helft|helft|01-012-2-III-Eis.csv|7|7|7
in|in|01-012-2-III-Eis.csv|1606|1368|1344
hoch|hoch|01-012-2-III-Eis.csv|83|89|83
ap|ab|01-012-2-III-Eis.csv|26|248|26
sind|sind|01-012-2-III-Eis.csv|396|464|396
ale|alle|01-012-2-III-Eis.csv|34|269|33
frölich|fröhlich|01-012-2-III-Eis.csv|51|142|51
holen|holen|01-025-2-III-Eis.csv|39|54|39
sich|sich|01-025-2-III-Eis.csv|1875|1933|1872
vom|vom|01-025-2-III-Eis.csv|94|111|94
Eiswagen|Eiswagen|01-025-2-III-Eis.csv|4|8|4
Dann|Dann|01-025-2-III-Eis.csv|496|682|485
siend|sind|01-025-2-III-Eis.csv|16|464|16
weitagegangen|weitergegangen|01-025-2-III-Eis.csv|1|2|1
natürlig|natürlich|01-025-2-III-Eis.csv|1|45|1
Und|Und|01-025-2-III-Eis.csv|903|910|895
ist|ist|01-025-2-III-Eis.csv|3535|3510|3467
üder|über|01-025-2-III-Eis.csv|8|224|8
gefallen|gefallen|01-025-2-III-Eis.csv|25|94|25
ier|ihr|01-025-2-III-Eis.csv|7|621|6
runder|runter|01-025-2-III-Eis.csv|19|280|18
hat|hat|01-025-2-III-Eis.csv|3009|3155|3005
gegessen|gegessen|01-025-2-III-Eis.csv|20|41|20
gekommen|gekommen|01-025-2-III-Eis.csv|89|115|89
harden|haben|01-025-2-III-Eis.csv|2|485|2
das|das|01-025-2-III-Eis.csv|2726|1817|1727
geteilt|geteilt|01-025-2-III-Eis.csv|4|10|4
schneel|schnell|01-025-2-III-Eis.csv|1|324|1
Noch|noch|01-025-2-III-Eis.csv|5|519|4
aufgegessen|aufgegessen|01-025-2-III-Eis.csv|5|8|5
haten|hatten|01-025-2-III-Eis.csv|53|98|53
die|die|01-025-2-III-Eis.csv|2945|2973|2931
Alle|alle|01-025-2-III-Eis.csv|48|269|9
arder|aber|01-025-2-III-Eis.csv|3|879|3
gugel|Kugel|01-025-2-III-Eis.csv|1|22|1
Rot|Rot|01-025-2-III-Eis.csv|2|1|1
hate|hatte|01-025-2-III-Eis.csv|400|918|400
geld|gelb|01-025-2-III-Eis.csv|4|16|1
ein|ein|01-026-2-III-Eis.csv|2133|2154|2127
Der|Der|01-026-2-III-Eis.csv|928|932|902
eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv|1|6|1
in|ihn|01-026-2-III-Eis.csv|1606|663|260
eins|eins|01-026-2-III-Eis.csv|11|13|10
Dan|Dann|01-026-2-III-Eis.csv|188|682|185
ir|ihr|01-026-2-III-Eis.csv|27|621|27
fenkt|fängt|01-026-2-III-Eis.csv|1|65|1
tropfen|Tropfen|01-026-2-III-Eis.csv|22|37|18
fallen|fallen|01-026-2-III-Eis.csv|37|64|37
get|geht|01-026-2-III-Eis.csv|56|464|56
so|so|01-026-2-III-Eis.csv|477|483|475
langsam|langsam|01-026-2-III-Eis.csv|44|63|44
Stolpat|stolpert|01-026-2-III-Eis.csv|2|43|2
üba|über|01-026-2-III-Eis.csv|7|224|7
fellt|fällt|01-026-2-III-Eis.csv|9|230|9
Sie|Sie|01-026-2-III-Eis.csv|1163|1224|1132
hinn|hin|01-026-2-III-Eis.csv|2|174|2
hilft|hilft|01-026-2-III-Eis.csv|10|11|10
auf|auf|01-026-2-III-Eis.csv|2226|2264|2224
ide|Idee|01-026-2-III-Eis.csv|12|97|12
er|er|01-026-2-III-Eis.csv|1612|1625|1604
giebt|gibt|01-026-2-III-Eis.csv|16|198|15
kugel|Kugel|01-026-2-III-Eis.csv|12|22|12
glüklieg|glücklich|01-026-2-III-Eis.csv|1|423|1
Die|Die|01-028-2-III-Eis.csv|469|454|441
bekomen|bekommen|01-028-2-III-Eis.csv|19|65|18
Das|Das|01-028-2-III-Eis.csv|314|267|249
kabut|kaputt|01-028-2-III-Eis.csv|4|160|4
hingefalen|hingefallen|01-028-2-III-Eis.csv|5|11|5
rhr|ihr|01-028-2-III-Eis.csv|1|621|1
Teielt|teilt|01-028-2-III-Eis.csv|1|23|1
einmal|Einmal|01-029-2-III-Eis.csv|313|6|1
Hund|Hund|01-029-2-III-Eis.csv|849|974|849
möschde|möchte|01-029-2-III-Eis.csv|1|86|1
auch|auch|01-029-2-III-Eis.csv|592|610|591
essen|essen|01-029-2-III-Eis.csv|148|75|60
esst|esst|01-029-2-III-Eis.csv|22|31|22
past|passt|01-029-2-III-Eis.csv|2|4|2
zu|zu|01-029-2-III-Eis.csv|1435|1455|1435
veil|weil|01-029-2-III-Eis.csv|4|665|4
möschte|möchte|01-029-2-III-Eis.csv|2|86|2
on|und|01-029-2-III-Eis.csv|2|9827|2
runtergefalen|runtergefallen|01-029-2-III-Eis.csv|12|41|12
ern|er|01-029-2-III-Eis.csv|2|1625|2
lauft|lauft|01-029-2-III-Eis.csv|26|30|26
fählt|fällt|01-029-2-III-Eis.csv|5|230|5
vegen|wegen|01-029-2-III-Eis.csv|1|58|1
jetzt|jetzt|01-029-2-III-Eis.csv|164|263|161
glüglich|glücklich|01-029-2-III-Eis.csv|18|423|18
veint|weint|01-029-2-III-Eis.csv|1|300|1
traurig|traurig|01-029-2-III-Eis.csv|313|457|313
muss|muss|01-029-2-III-Eis.csv|79|103|79
hie|hier|01-029-2-III-Eis.csv|1|124|1
bleiben|bleiben|01-029-2-III-Eis.csv|19|21|19
ihr|ihr|01-037-2-III-Eis.csv|577|621|573
krikt|kriegt|01-037-2-III-Eis.csv|8|68|8
nur|nur|01-037-2-III-Eis.csv|170|176|169
bischen|bisschen|01-037-2-III-Eis.csv|20|64|20
um|um|01-037-2-III-Eis.csv|182|187|181
liegt|liegt|01-037-2-III-Eis.csv|34|53|34
au|auf|01-037-2-III-Eis.csv|6|2264|1
Boden|Boden|01-037-2-III-Eis.csv|80|144|80
schlekt|schleckt|01-037-2-III-Eis.csv|2|7|1
ales|alles|01-037-2-III-Eis.csv|35|186|34
was|was|01-037-2-III-Eis.csv|465|458|436
weiter|weiter|01-037-2-III-Eis.csv|176|193|176
wollen|wollen|01-045-2-III-Eis.csv|29|39|28
TroPft|tropft|01-045-2-III-Eis.csv|1|20|1
leckt|leckt|01-045-2-III-Eis.csv|22|66|21
TroPfschen|Tröpfchen|01-045-2-III-Eis.csv|1|2|1
gestolPat|gestolpert|01-045-2-III-Eis.csv|1|18|1
sein|sein|01-045-2-III-Eis.csv|495|520|493
wegetan|wehgetan|01-045-2-III-Eis.csv|11|20|11
Leckt|leckt|01-045-2-III-Eis.csv|3|66|3
Sein|sein|01-045-2-III-Eis.csv|18|520|7
teilt|teilt|01-045-2-III-Eis.csv|17|23|17
zusammen|zusammen|01-045-2-III-Eis.csv|52|96|52
Glöklesch|glücklich|01-045-2-III-Eis.csv|1|423|1
rich|riech|01-045-2-III-Eis.csv|2|2|2
nach|nach|01-045-2-III-Eis.csv|567|605|561
Gehen|gehen|01-049-2-III-Eis.csv|13|377|11
Kaufen|kaufen|01-049-2-III-Eis.csv|21|80|21
Sie|sie|01-049-2-III-Eis.csv|1163|3490|30
Spatzirn|spazieren|01-049-2-III-Eis.csv|1|146|1
falt|fallt|01-049-2-III-Eis.csv|9|16|9
Giebt|gibt|01-049-2-III-Eis.csv|1|198|1
eien|eine|01-049-2-III-Eis.csv|2|595|1
Kugel|Kugel|01-049-2-III-Eis.csv|7|22|7
Nachause|nachhause|01-049-2-III-Eis.csv|1|37|1
Lekt|leckt|01-049-2-III-Eis.csv|4|66|4
siech|sich|01-054-2-III-Eis.csv|24|1933|24
gehmergt|gemerkt|01-054-2-III-Eis.csv|1|30|1
das|dass|01-054-2-III-Eis.csv|2726|1086|981
gehttropft|getropft|01-054-2-III-Eis.csv|1|4|1
war|war|01-054-2-III-Eis.csv|1702|1815|1698
gefalen|gefallen|01-054-2-III-Eis.csv|50|94|50
