Lea	Lea
und	und
Lars	Lars
und	und
Dodo	Dodo
und	und
der	der
neue	neue
^	
Freund	Freund
heißt	heißt
Dennis	Dennis
.	.
Bauen	Bauen
ein	ein
Torm	Turm
.	.
^	
Der	Der
Dodo	Dodo
kricht	kriecht
im	im
Kartong	Karton
und	und
der	der
^	
Torm	Turm
wird	wird
imer	immer
größer	größer
und	und
größer	größer
.	.
^	
Als	Als
Dodo	Dodo
unter	unter
den	den
Kartong	Karton
ist	ist
.	.
^	
Wollte	Wollte
Lars	Lars
sich	sich
auf	auf
den	den
Kartong	Karton
^	
setzen	setzen
aber	aber
der	der
Dodo	Dodo
war	war
unter	unter
^	
dem	dem
Kartong	Karton
.	.
Und	Und
Lars	Lars
hat	hat
sich	sich
^	
auf	auf
den	den
Kartong	Karton
hingesetzt	hingesetzt
.	.
^	
Der	Der
arme	arme
Dodo	Dodo
und	und
Lea	Lea
haltet	haltet
^	
den	den
Lars	Lars
.	.
Und	Und
der	der
Lars	Lars
ist	ist
mit	mit
^	
den	den
Popo	Popo
auf	auf
den	den
Boden	Boden
gefahlen	gefallen
.	.
^	
Und	Und
Dennis	Dennis
halten	halten
die	die
gantzen	ganzen
^	
Bauklötze	Bauklötze
fäst	fest
.	.
Und	Und
der	der
Kartong	Karton
^	
ist	ist
kaput_gegangen	kaputtgegangen
und	und
alle	alle
^	
lachen	lachen
sich	sich
kaput	kaputt
auch	auch
der	der
^	
Dodo	Dodo
lacht	lacht
.	.
