1	1
Lea	Lea
und	und
Dodo	Dodo
sind	sind
am	am
Donnerstag	Donnerstag
^	
in	in
den	den
Bus	Bus
gekannken	gegangen
.	.
Dann	Dann
wollten	wollten
sie	sie
^	
zu	zu
ihrer	ihrer
Oma	Oma
fahren	fahren
.	.
2	2
Dann	Dann
haben	haben
sie	sie
^	
gestobt	gestoppt
dann	dann
sind	sind
sie	sie
raus	raus
gekannken	gegangen
.	.
Sie	Sie
hate	hatte
^	
nicht	nicht
gemerkt	gemerkt
das	dass
sie	sie
ihren	ihren
Rucksack	Rucksack
ferkessen	vergessen
^	
hat	hat
.	.
3	3
Dann	Dann
sind	sind
sie	sie
einfahr	einfach
feiter	weiter
gekannken	gegangen
.	.
Dann	Dann
^	
hat	hat
sie	sie
es	es
gemerkt	gemerkt
das	dass
sie	sie
den	den
Rucksack	Rucksack
nicht	nicht
^	
in	in
ihre	ihre
Hand	Hand
hate	hatte
.	.
4	4
Der	Der
Mann	Mann
der	der
im	im
Bus	Bus
sahs	saß
hat	hat
^	
gemehrt	gemerkt
das	dass
die	die
Tasche	Tasche
Lea	Lea
gehörte	gehörte
.	.
Dann	Dann
hat	hat
der	der
^	
Mann	Mann
im	im
Bus	Bus
gefagelt	gewackelt
.	.
Dann	Dann
sind	sind
Lea	Lea
und	und
Dodo	Dodo
^	
zum	zum
Bus	Bus
gelaufen	gelaufen
aber	aber
der	der
Bus	Bus
war	war
zu	zu
^	
schnell	schnell
.	.
5	5
Der	Der
Mann	Mann
hat	hat
den	den
Rucksack	Rucksack
zum	zum
^	
Pfund_Bero	Fundbüro
gebracht	gebracht
.	.
6	6
Dann	Dann
ginken	gingen
Lea	Lea
und	und
Dodo	Dodo
^	
zum	zum
Pfund_Bero	Fundbüro
gekannken	gegangen
.	.
Dann	Dann
hat	hat
sie	sie
ihren	ihren
^	
Rucksack	Rucksack
zurück	zurück
genomen	genommen
.	.
^	
glückliches	Glückliches
Ende	Ende
!	!
