lea	Lea
und	und
lars	Lars
und	und
Otto	Otto
bauen	bauen
einen	einen
Turm	Turm
.	.
^	
Dobo	Dodo
geht	geht
unter	unter
die	die
rote	rote
kiste	Kiste
.	.
^	
Und	Und
dan	dann
machen	machen
die	die
kinde	Kinder
den	den
Turm	Turm
zu-	zu
^	
ende	Ende
.	.
Un|	Und
dan	dann
wir|	wird
das	das
Lars	Lars
sehzt	setzt
sich	sich
^	
hin	hin
und	und
felt	fällt
runder	runter
weil	weil
Dodo	Dodo
unterm	unterm
^	
kiste	Kiste
ist	ist
.	.
Die	Die
kinder	Kinder
dachten	dachten
ein	ein
gest	Geist
ist	ist
im	im
^	
Haus	Haus
.	.
Die	Die
kinder	Kinder
lachen	lachen
weil	weil
Dodo	Dodo
war	war
untem	unterm
^	
kister	Kiste
.	.
