Am	Am
frühen	frühen
Morgen	Morgen
hat	hat
lea	Lea
raus	raus
gekokt	gekuckt
^	
da	da
hat	hat
lars	Lars
sie	sie
zum	zum
anderen	anderen
^	
fenser	Fenster
zu_gewinkt	zugewinkt
da	da
hat	hat
lars	Lars
^	
gesagt	gesagt
du	du
hast	hast
dein	dein
Tedibär	Teddybär
^	
bei	bei
mir	mir
fergesen	vergessen
^	
.	.
lars	Lars
hat	hat
ein	ein
^	
seil	Seil
zu	zu
lea	Lea
geworffen	geworfen
das	das
^	
war	war
ein	ein
bischen	bisschen
gefährlich	gefährlich
weil	weil
^	
er	er
lea	Lea
treffen	treffen
konnte	konnte
aber	aber
^	
Lea	Lea
hat	hat
das	das
seil	Seil
gefangen	gefangen
.	.
^	
Lea	Lea
hat	hat
das	das
seil	Seil
fest_gemach	festgemacht
^	
mit	mit
einer	einer
Kreide	Kreide
und	und
lars	Lars
^	
hat	hat
eine	eine
gondel	Gondel
genommen	genommen
^	
und	und
den	den
Tedibär	Teddybär
in	in
der	der
gondel	Gondel
^	
rein	rein
gestekt	gesteckt
.	.
^	
lars	Lars
hat	hat
den	den
bär	Bär
die	die
^	
gondel	Gondel
los_gelassen	losgelassen
und	und
hat	hat
^	
sich	sich
gefreut	gefreut
das	dass
es	es
ganz	ganz
^	
weil	weil
es	es
Paffekt	perfekt
runter	runter
geruttscht	gerutscht
^	
ist	ist
und	und
lea	Lea
hat	hat
sich	sich
auch	auch
^	
gefreut	gefreut
.	.
Wo	Wo
es	es
Paffekt	perfekt
runter	runter
gerutscht	gerutscht
^	
war	war
dann	dann
ist	ist
aus	aus
versehen	Versehen
der	der
^	
seil	Seil
los_gegangen	losgegangen
.	.
^	
Wo	Wo
der	der
seil	Seil
los_gegangen	losgegangen
ist	ist
^	
dann	dann
war	war
die	die
gondel	Gondel
auch	auch
^	
ab_gegangen	abgegangen
und	und
ist	ist
gegen	gegen
^	
den	den
Fenster	Fenster
geflogen	geflogen
lea	Lea
hat	hat
sich	sich
^	
erschrocken	erschrocken
und	und
lars	Lars
hat	hat
dumm	dumm
gekokt	gekuckt
^	
der	der
Tedibär	Teddybär
ist	ist
raus	raus
geflogen	geflogen
.	.
^	
Der	Der
Tedibär	Teddybär
war	war
bei	bei
der	der
fenser_bank	Fensterbank
^	
und	und
die	die
Frau	Frau
hat	hat
gekokt	gekuckt
wer	wer
war	war
^	
das	das
der	der
mein	mein
Fenster	Fenster
geschlagen	geschlagen
^	
hat	hat
und	und
hat	hat
sich	sich
gewundert	gewundert
.	.
