original|corrected|filename|freq_ori|freq_cor|freq_tup
belt|bellt|01-005-2-III-Eis.csv|91|138|91
kukt|kuckt|01-005-2-III-Eis.csv|73|152|73
dan|dann|01-005-2-III-Eis.csv|627|651|621
gekricht|gekriegt|01-005-2-III-Eis.csv|2|15|2
leken|lecken|01-005-2-III-Eis.csv|14|17|14
felt|fällt|01-005-2-III-Eis.csv|93|198|90
wolte|wollte|01-005-2-III-Eis.csv|173|201|173
lekt|leckt|01-005-2-III-Eis.csv|20|42|19
fom|vom|01-005-2-III-Eis.csv|13|16|13
gawen|kaufen|01-006-2-III-Eis.csv|1|6|1
din|ein|01-006-2-III-Eis.csv|2|26|1
Keld|Geld|01-006-2-III-Eis.csv|1|5|1
man|Mann|01-006-2-III-Eis.csv|79|132|79
gien|gehen|01-006-2-III-Eis.csv|1|78|1
nahaise|nachhause|01-006-2-III-Eis.csv|1|10|1
esen|essen|01-006-2-III-Eis.csv|22|14|12
aba|aber|01-006-2-III-Eis.csv|21|60|21
gieben|geben|01-006-2-III-Eis.csv|1|3|1
wollt|wollte|01-006-2-III-Eis.csv|2|201|2
feid|fällt|01-006-2-III-Eis.csv|1|198|1
gen|gehen|01-012-2-III-Eis.csv|31|78|31
wil|will|01-012-2-III-Eis.csv|95|157|95
gipt|gibt|01-012-2-III-Eis.csv|18|42|18
ter|der|01-012-2-III-Eis.csv|1|9|1
ap|ab|01-012-2-III-Eis.csv|26|30|26
ale|alle|01-012-2-III-Eis.csv|34|39|33
frölich|fröhlich|01-012-2-III-Eis.csv|51|92|51
siend|sind|01-025-2-III-Eis.csv|16|66|16
weitagegangen|weitergegangen|01-025-2-III-Eis.csv|1|1|1
natürlig|natürlich|01-025-2-III-Eis.csv|1|19|1
üder|über|01-025-2-III-Eis.csv|8|35|8
ier|ihr|01-025-2-III-Eis.csv|7|40|6
runder|runter|01-025-2-III-Eis.csv|18|60|18
harden|haben|01-025-2-III-Eis.csv|2|19|2
schneel|schnell|01-025-2-III-Eis.csv|1|76|1
haten|hatten|01-025-2-III-Eis.csv|53|55|53
arder|aber|01-025-2-III-Eis.csv|3|60|3
gugel|Kugel|01-025-2-III-Eis.csv|1|3|1
hate|hatte|01-025-2-III-Eis.csv|400|427|400
geld|gelb|01-025-2-III-Eis.csv|1|1|1
eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv|1|4|1
in|ihn|01-026-2-III-Eis.csv|261|270|260
Dan|Dann|01-026-2-III-Eis.csv|188|197|185
ir|ihr|01-026-2-III-Eis.csv|27|40|27
fenkt|fängt|01-026-2-III-Eis.csv|1|29|1
get|geht|01-026-2-III-Eis.csv|56|85|56
Stolpat|stolpert|01-026-2-III-Eis.csv|2|27|2
üba|über|01-026-2-III-Eis.csv|7|35|7
fellt|fällt|01-026-2-III-Eis.csv|9|198|9
hinn|hin|01-026-2-III-Eis.csv|2|17|2
ide|Idee|01-026-2-III-Eis.csv|12|34|12
giebt|gibt|01-026-2-III-Eis.csv|16|42|15
glüklieg|glücklich|01-026-2-III-Eis.csv|1|163|1
bekomen|bekommen|01-028-2-III-Eis.csv|19|31|18
kabut|kaputt|01-028-2-III-Eis.csv|4|126|4
hingefalen|hingefallen|01-028-2-III-Eis.csv|5|11|5
rhr|ihr|01-028-2-III-Eis.csv|1|40|1
Teielt|teilt|01-028-2-III-Eis.csv|1|6|1
möschde|möchte|01-029-2-III-Eis.csv|1|14|1
past|passt|01-029-2-III-Eis.csv|2|3|2
veil|weil|01-029-2-III-Eis.csv|4|82|4
möschte|möchte|01-029-2-III-Eis.csv|2|14|2
on|und|01-029-2-III-Eis.csv|2|106|2
runtergefalen|runtergefallen|01-029-2-III-Eis.csv|12|28|12
ern|er|01-029-2-III-Eis.csv|2|14|2
fählt|fällt|01-029-2-III-Eis.csv|5|198|5
vegen|wegen|01-029-2-III-Eis.csv|1|5|1
glüglich|glücklich|01-029-2-III-Eis.csv|18|163|18
veint|weint|01-029-2-III-Eis.csv|1|67|1
hie|hier|01-029-2-III-Eis.csv|1|55|1
krikt|kriegt|01-037-2-III-Eis.csv|8|51|8
bischen|bisschen|01-037-2-III-Eis.csv|20|57|20
au|auf|01-037-2-III-Eis.csv|6|17|1
schlekt|schleckt|01-037-2-III-Eis.csv|2|4|1
ales|alles|01-037-2-III-Eis.csv|35|37|34
TroPfschen|Tröpfchen|01-045-2-III-Eis.csv|1|2|1
gestolPat|gestolpert|01-045-2-III-Eis.csv|1|14|1
wegetan|wehgetan|01-045-2-III-Eis.csv|11|17|11
Glöklesch|glücklich|01-045-2-III-Eis.csv|1|163|1
rich|riech|01-045-2-III-Eis.csv|2|2|2
Spatzirn|spazieren|01-049-2-III-Eis.csv|1|116|1
falt|fallt|01-049-2-III-Eis.csv|9|11|9
Giebt|gibt|01-049-2-III-Eis.csv|1|42|1
eien|eine|01-049-2-III-Eis.csv|2|9|1
Nachause|nachhause|01-049-2-III-Eis.csv|1|10|1
Lekt|leckt|01-049-2-III-Eis.csv|4|42|4
siech|sich|01-054-2-III-Eis.csv|24|55|24
gehmergt|gemerkt|01-054-2-III-Eis.csv|1|10|1
das|dass|01-054-2-III-Eis.csv|985|1017|981
gehttropft|getropft|01-054-2-III-Eis.csv|1|2|1
gefalen|gefallen|01-054-2-III-Eis.csv|50|69|50
ristig|richtig|01-054-2-III-Eis.csv|1|9|1
glüglist|glücklich|01-054-2-III-Eis.csv|1|163|1
is|iss|01-054-2-III-Eis.csv|19|2|1
schnel|schnell|01-054-2-III-Eis.csv|60|76|60
Hinther|hinterher|01-054-2-III-Eis.csv|1|38|1
sint|sind|01-057-2-III-Eis.csv|20|66|20
i|in|01-057-2-III-Eis.csv|2|21|1
eiswargen|Eiswagen|01-057-2-III-Eis.csv|1|3|1
si|sie|01-057-2-III-Eis.csv|51|86|46
ei|ein|01-057-2-III-Eis.csv|5|26|4
unt|und|01-057-2-III-Eis.csv|30|106|30
sih|sie|01-057-2-III-Eis.csv|11|86|8
schtoiper|stolper|01-057-2-III-Eis.csv|1|1|1
Fersucht|versucht|01-057-2-III-Eis.csv|1|43|1
lerken|lecken|01-057-2-III-Eis.csv|1|17|1
gept|gebt|01-057-2-III-Eis.csv|1|3|1
Fos|was|01-057-2-III-Eis.csv|1|15|1
