original|corrected|filename
Lea|Lea|01-005-2-III-Eis.csv
und|und|01-005-2-III-Eis.csv
Lars|Lars|01-005-2-III-Eis.csv
Dodo|Dodo|01-005-2-III-Eis.csv
gehen|gehen|01-005-2-III-Eis.csv
Eis|Eis|01-005-2-III-Eis.csv
kaufen|kaufen|01-005-2-III-Eis.csv
.|.|01-005-2-III-Eis.csv
belt|bellt|01-005-2-III-Eis.csv
den|den|01-005-2-III-Eis.csv
Eismann|Eismann|01-005-2-III-Eis.csv
an|an|01-005-2-III-Eis.csv
der|der|01-005-2-III-Eis.csv
kukt|kuckt|01-005-2-III-Eis.csv
dan|dann|01-005-2-III-Eis.csv
haben|haben|01-005-2-III-Eis.csv
sie|sie|01-005-2-III-Eis.csv
Ihren|ihren|01-005-2-III-Eis.csv
ge_kricht|gekriegt|01-005-2-III-Eis.csv
leken|lecken|01-005-2-III-Eis.csv
daran|daran|01-005-2-III-Eis.csv
felt|fällt|01-005-2-III-Eis.csv
mit|mit|01-005-2-III-Eis.csv
dem|dem|01-005-2-III-Eis.csv
hin|hin|01-005-2-III-Eis.csv
wolte|wollte|01-005-2-III-Eis.csv
auf_fangen|auffangen|01-005-2-III-Eis.csv
lekt|leckt|01-005-2-III-Eis.csv
fom|vom|01-005-2-III-Eis.csv
boden|Boden|01-005-2-III-Eis.csv
gibt|gibt|01-005-2-III-Eis.csv
eine|eine|01-005-2-III-Eis.csv
sorte|Sorte|01-005-2-III-Eis.csv
von|von|01-005-2-III-Eis.csv
seinem|seinem|01-005-2-III-Eis.csv
ab|ab|01-005-2-III-Eis.csv
Drei|drei|01-005-2-III-Eis.csv
gawen|kaufen|01-006-2-III-Eis.csv
din|ein|01-006-2-III-Eis.csv
eis|Eis|01-006-2-III-Eis.csv
Keld|Geld|01-006-2-III-Eis.csv
man|Mann|01-006-2-III-Eis.csv
din|?din|01-006-2-III-Eis.csv
Haben|Haben|01-006-2-III-Eis.csv
dann|dann|01-006-2-III-Eis.csv
gien|gehen|01-006-2-III-Eis.csv
nahaise|nachhause|01-006-2-III-Eis.csv
esen|essen|01-006-2-III-Eis.csv
dodo|Dodo|01-006-2-III-Eis.csv
will|will|01-006-2-III-Eis.csv
aba|aber|01-006-2-III-Eis.csv
gieben|geben|01-006-2-III-Eis.csv
nicht|nicht|01-006-2-III-Eis.csv
wollt|wollte|01-006-2-III-Eis.csv
feid|fällt|01-006-2-III-Eis.csv
,|,|01-012-2-III-Eis.csv
gen|gehen|01-012-2-III-Eis.csv
"wil|"|will|01-012-2-III-Eis.csv
gipt|gibt|01-012-2-III-Eis.csv
es|es|01-012-2-III-Eis.csv
aber|aber|01-012-2-III-Eis.csv
Ler|Lea|01-012-2-III-Eis.csv
