In	In
der	der
Schule	Schule
ist	ist
ein	ein
Hund	Hund
.	.
\h	\h
Lea	Lea
und	und
Lars	Lars
sehen	sehen
sich	sich
nach	nach
Schule	Schule
weg	weg
.	.
^	
Lars	Lars
grüßt	grüßt
Lea	Lea
und	und
Lea	Lea
grüßt	grüßt
Lars	Lars
.	.
Die	Die
sagen	sagen
^	
Halo	Hallo
Lea	Lea
wie	wie
getzt	gehts
.	.
Und	Und
Lea	Lea
sagt	sagt
gut	gut
.	.
Die	Die
freuen	freuen
sich	sich
.	.
^	
Danach	Danach
zeigt	zeigt
Lea	Lea
Dodo	Dodo
und	und
dann	dann
lekt	leckt
Dodo	Dodo
^	
Lars	Lars
am	am
gesicht	Gesicht
.	.
Und	Und
dann	dann
lachen	lachen
die	die
zusamen	zusammen
.	.
^	
Aber	Aber
der	der
Dodo	Dodo
set|	sieht
ya	ja
ganz	ganz
klein	klein
aus	aus
sahte	sagte
Lars	Lars
.	.
^	
Und	Und
dann	dann
gehen	gehen
sie	sie
zur	zur
Schule	Schule
und	und
sitzen	sitzen
se	sie
^	
in	in
der	der
Klasse	Klasse
und	und
reden	reden
.	.
Lars	Lars
sagt	sagt
Lea	Lea
pas	pass
auf	auf
^	
die	die
Beine	Beine
und	und
ohren	Ohren
ka|	kann
man	man
von	von
Da|	da
sehen	sehen
.	.
Und	Und
Lea	Lea
^	
sagt	sagt
das	das
weise	weiß
isch	ich
weis	weiß
es	es
.	.
Hat	Hat
einer	einer
Dodo	Dodo
^	
gesehen	gesehen
sahte	sagte
Lea	Lea
.	.
Und	Und
Larz	Lars
sagte	sagte
neine|	nein
keiner	keiner
hat	hat
^	
Dodo	Dodo
gesehen	gesehen
.	.
Und	Und
Lea	Lea
sachte	sagte
go|	Gott
zei|	sei
dang	Dank
^	
hat	hat
es	es
keiner	keiner
gesehen	gesehen
Lars	Lars
sagte	sagte
warum	warum
Lea	Lea
.	.
^	
Lea	Lea
sagte	sagte
weil	weil
wen	wenn
es	es
einer	einer
set	sieht
krige	kriege
^	
ich	ich
erger	Ärger
von	von
der	der
Lererin	Lehrerin
und	und
das	das
sagt	sagt
die	die
^	
Lehrerin	Lehrerin
das	das
meine	meine
Mutter	Mutter
und	und
dan	dann
kriege	kriege
ich	ich
^	
von	von
meinen	meinen
Mutter	Mutter
er_ger	Ärger
.	.
Und	Und
Lars	Lars
sagt	sagt
^	
Ach	Ach
so	so
ist	ist
das	das
aber	aber
Lea	Lea
warum	warum
has|	hast
tu	du
^	
nich	nicht
Dodo	Dodo
zu	zu
Hause	Hause
gelasen	gelassen
.	.
Weil	Weil
mein	mein
Mutter	Mutter
^	
ncht	nicht
zu	zu
Hause	Hause
ist	ist
aber	aber
dein	dein
Mutter	Mutter
^	
die	die
ist	ist
auch	auch
nicht	nicht
zu	zu
Hausa	Hause
.	.
Aha	Aha
.	.
^	
Als	Als
Lea	Lea
Matamatig	Mathematik
machte	machte
krahelte	krabbelte
Dodo	Dodo
^	
raus	raus
.	.
Dann	Dann
set	sieht
Dodo	Dodo
ein	ein
Vogel	Vogel
am	am
fenster	Fenster
^	
und	und
Belte	bellte
aber	aber
Lea	Lea
sagt	sagt
Bell	Bell
nich	nicht
Dodo	Dodo
^	
Bell	Bell
nicht	nicht
.	.
Und	Und
dann	dann
kommt	kommt
die	die
Lererin	Lehrerin
^	
und	und
sagt	sagt
Lea	Lea
aber	aber
wier	wir
dörfen	dürfen
keinen	keinen
^	
Hund	Hund
zur	zur
Schule	Schule
bringen	bringen
.	.
Und	Und
Lea	Lea
sagt	sagt
Aber	Aber
^	
Nein	mein
Mutter	Mutter
war	war
nicht	nicht
zur	zu
Hause	Hause
.	.
Ende	Ende
