	original	corrected	filename	freq_ori	freq_cor	freq_tup	unchanged_original	suggestions	possible	original_cs	corrected_cs	suggestions_cs	found	dict_index	ind0
0	belt	bellt	01-005-2-III-Eis.csv	91	138	91	belt	['lebt', 'bellt', 'bebt', 'welt', 'zelt', 'hebelt', 'bettelt']	True	belt	bellt	['lebt', 'bellt', 'bebt', 'Welt', 'Zelt', 'hebelt', 'bettelt']	True	1.0	False
1	kukt	kuckt	01-005-2-III-Eis.csv	73	152	73	kukt	['kurt', 'bukt']	False	kukt	kuckt	['kurt', 'bukt']	False		False
2	dan	dann	01-005-2-III-Eis.csv	627	651	621	dan	['da', 'an', 'dann', 'dran', 'dank', 'den', 'das', 'dar', 'ran', 'man', 'van', 'san', 'jan', 'pan', 'fan']	True	dan	dann	['da', 'an', 'dann', 'dran', 'dank', 'den', 'das', 'dar', 'ran', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan']	True	2.0	False
3	gekricht	gekriegt	01-005-2-III-Eis.csv	2	15	2	gekricht	['gekracht', 'gekreischt', 'gerichtet', 'gerichtlich']	True	gekricht	gekriegt	['gekracht', 'gekreischt', 'gerichtet', 'gerichtlich']	False		False
4	leken	lecken	01-005-2-III-Eis.csv	14	17	14	leken	['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'keilen']	True	leken	lecken	['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'keilen']	True	1.0	False
5	felt	fällt	01-005-2-III-Eis.csv	93	198	90	felt	['fehlt', 'feilt', 'fielt', 'elft', 'fest', 'fett', 'fegt', 'welt', 'zelt']	True	felt	fällt	['fehlt', 'feilt', 'fielt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']	False		False
6	wolte	wollte	01-005-2-III-Eis.csv	173	201	173	wolte	['wollte', 'walte', 'wolle', 'holte']	True	wolte	wollte	['wollte', 'walte', 'wolle', 'holte']	True	0.0	True
7	lekt	leckt	01-005-2-III-Eis.csv	20	42	19	lekt	['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'sekt']	True	lekt	leckt	['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'Sekt']	True	1.0	False
8	fom	vom	01-005-2-III-Eis.csv	13	16	13	fom	['vom', 'rom', 'tom', 'dom', 'fromm']	True	fom	vom	['vom', 'Rom', 'Tom', 'Dom', 'fromm']	True	0.0	True
9	gawen	kaufen	01-006-2-III-Eis.csv	1	6	1	gawen	['wagen', 'garen', 'gaben']	True	gawen	kaufen	['wagen', 'garen', 'gaben']	False		False
10	din	ein	01-006-2-III-Eis.csv	2	26	1	din	['din', 'in', 'dein', 'drin', 'die', 'den', 'ein', 'dir', 'hin', 'bin', 'div', 'pin']	True	din	ein	['DIN', 'in', 'dein', 'drin', 'die', 'den', 'ein', 'dir', 'hin', 'bin', 'div', 'Pin']	True	6.0	False
11	keld	geld	01-006-2-III-Eis.csv	1	5	1	Keld	['geld', 'held', 'feld', 'kelle']	True	Keld	Geld	['Geld', 'Held', 'Feld', 'Kelle']	True	0.0	True
12	man	mann	01-006-2-III-Eis.csv	79	132	79	man	[]	True	man	Mann		False		False
13	gien	gehen	01-006-2-III-Eis.csv	1	78	1	gien	['gen', 'gier', 'wien', 'gießen']	True	gien	gehen	['gen', 'gier', 'Wien', 'gießen']	False		False
14	nahaise	nachhause	01-006-2-III-Eis.csv	1	10	1	nahaise	['nachweise']	False	nahaise	nachhause	['nachweise']	False		False
15	esen	essen	01-006-2-III-Eis.csv	22	14	12	esen	['essen', 'lesen', 'lesen', 'besen', 'wesen', 'eben', 'äsen', 'ösen']	True	esen	essen	['essen', 'lesen', 'Lesen', 'Besen', 'Wesen', 'eben', 'äsen', 'Ösen']	True	0.0	True
16	aba	aber	01-006-2-III-Eis.csv	21	60	21	aba	['ab']	True	aba	aber	['ab']	False		False
17	gieben	geben	01-006-2-III-Eis.csv	1	3	1	gieben	['biegen', 'geben', 'sieben', 'gieren', 'rieben', 'lieben', 'gießen', 'sieben', 'lieben', 'dieben', 'hieben', 'beginnen']	True	gieben	geben	['biegen', 'geben', 'sieben', 'gieren', 'rieben', 'lieben', 'gießen', 'Sieben', 'Lieben', 'Dieben', 'Hieben', 'beginnen']	True	1.0	False
18	wollt	wollte	01-006-2-III-Eis.csv	2	201	2	wollt	[]	True	wollt	wollte		False		False
19	feid	fällt	01-006-2-III-Eis.csv	1	198	1	feid	['feind', 'seid', 'fein', 'feil', 'feig', 'neid', 'leid', '-eid']	True	feid	fällt	['feind', 'seid', 'fein', 'feil', 'feig', 'Neid', 'Leid', '-eid']	False		False
20	gen	gehen	01-012-2-III-Eis.csv	31	78	31	gen	[]	True	gen	gehen		False		False
21	wil	will	01-012-2-III-Eis.csv	95	157	95	wil	['weil', 'will', 'wild', 'wie', 'wir', 'nil']	True	wil	will	['weil', 'will', 'wild', 'wie', 'wir', 'Nil']	True	1.0	False
22	gipt	gibt	01-012-2-III-Eis.csv	18	42	18	gipt	['gilt', 'gibt', 'getippt']	True	gipt	gibt	['gilt', 'gibt', 'getippt']	True	1.0	False
23	ter	der	01-012-2-III-Eis.csv	1	9	1	ter	['der', 'er', 'per', 'her', 'wer']	True	ter	der	['der', 'er', 'per', 'her', 'wer']	True	0.0	True
24	ap	ab	01-012-2-III-Eis.csv	26	30	26	ap	['kap', 'an', 'ad', 'au', 'am', 'ab', 'kp', 'aß', 'api']	True	ap	ab	['Kap', 'an', 'ad', 'au', 'am', 'ab', 'kp', 'aß', 'API']	True	5.0	False
25	ale	alle	01-012-2-III-Eis.csv	34	39	33	ale	['aale', 'alte', 'alle', 'adle', 'male', 'aale', 'wale', 'als', 'alt', 'all', 'ade', 'öle', 'öle', 'legal', 'letal']	True	ale	alle	['aale', 'alte', 'alle', 'adle', 'male', 'Aale', 'Wale', 'als', 'alt', 'all', 'ade', 'öle', 'Öle', 'legal', 'letal']	True	2.0	False
26	frölich	fröhlich	01-012-2-III-Eis.csv	51	92	51	frölich	['fröhlich', 'freilich']	True	frölich	fröhlich	['fröhlich', 'freilich']	True	0.0	True
27	siend	sind	01-025-2-III-Eis.csv	16	66	16	siend	['sind', 'seiend', 'säend']	True	siend	sind	['sind', 'seiend', 'säend']	True	0.0	True
28	weitagegangen	weitergegangen	01-025-2-III-Eis.csv	1	1	1	weitagegangen	['entzweigegangen', 'weggegangenen', 'weggegangen', 'eingegangenen']	False	weitagegangen	weitergegangen	['entzweigegangen', 'weggegangenen', 'weggegangen', 'eingegangenen']	False		False
29	natürlig	natürlich	01-025-2-III-Eis.csv	1	19	1	natürlig	['natürlich']	True	natürlig	natürlich	['natürlich']	True	0.0	True
30	üder	über	01-025-2-III-Eis.csv	8	35	8	üder	['der', 'müder', 'oder', 'über', 'öder', 'eder', 'ader', 'ermüde']	True	üder	über	['der', 'müder', 'oder', 'über', 'öder', 'Eder', 'Ader', 'ermüde']	True	3.0	False
31	ier	ihr	01-025-2-III-Eis.csv	7	40	6	ier	['irr', 'er', 'gier', 'hier', 'vier', 'zier', 'eier', 'tier', 'gier', 'bier', 'zier', 'der', 'per', 'ihr', 'her']	True	ier	ihr	['irr', 'er', 'gier', 'hier', 'vier', 'zier', 'Eier', 'Tier', 'Gier', 'Bier', 'Zier', 'der', 'per', 'ihr', 'her']	True	13.0	False
32	runder	runter	01-025-2-III-Eis.csv	18	60	18	runder	[]	True	runder	runter		False		False
33	harden	haben	01-025-2-III-Eis.csv	2	19	2	harden	['harten', 'hadern', 'harren', 'harken', 'garden', 'barden']	True	harden	haben	['harten', 'hadern', 'harren', 'harken', 'Garden', 'Barden']	False		False
34	schneel	schnell	01-025-2-III-Eis.csv	1	76	1	schneel	['scheel', 'schnell', 'schnee-', 'schneeig']	True	schneel	schnell	['scheel', 'schnell', 'schnee-', 'schneeig']	True	1.0	False
35	haten	hatten	01-025-2-III-Eis.csv	53	55	53	haten	['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'haben', 'baten', 'haken', 'waten']	True	haten	hatten	['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'haben', 'baten', 'haken', 'waten']	True	2.0	False
36	arder	aber	01-025-2-III-Eis.csv	3	60	3	arder	['arider', 'marder', 'arger', 'armer', 'erde']	True	arder	aber	['arider', 'Marder', 'arger', 'armer', 'erde']	False		False
37	gugel	kugel	01-025-2-III-Eis.csv	1	3	1	gugel	['kugel', 'gurgeln']	True	gugel	Kugel	['Kugel', 'gurgeln']	True	0.0	True
38	hate	hatte	01-025-2-III-Eis.csv	400	427	400	hate	['hat', 'haste', 'harte', 'hatte', 'halte', 'chate', 'haute', 'hafte', 'hakte', 'rate', 'haue', 'habe', 'hake', 'wate', 'hüte']	True	hate	hatte	['hat', 'haste', 'harte', 'hatte', 'halte', 'chate', 'haute', 'hafte', 'hakte', 'rate', 'haue', 'habe', 'hake', 'wate', 'hüte']	True	3.0	False
39	geld	gelb	01-025-2-III-Eis.csv	1	1	1	geld	['geld', 'geld-', '-geld', 'gelb', 'held', 'feld', 'gelind']	True	geld	gelb	['Geld', 'geld-', '-geld', 'gelb', 'Held', 'Feld', 'gelind']	True	3.0	False
40	eisferkeufer	eisverkäufer	01-026-2-III-Eis.csv	1	4	1	eisferkeufer	['praxisferner']	False	eisferkeufer	Eisverkäufer	['praxisferner']	False		False
41	in	ihn	01-026-2-III-Eis.csv	261	270	260	in	[]	True	in	ihn		False		False
42	dan	dann	01-026-2-III-Eis.csv	188	197	185	Dan	['an', 'dank', 'ran', 'don', 'man', 'van', 'san', 'jan', 'pan', 'fan', 'da', 'dann', 'dran', 'den']	False	Dan	Dann	['An', 'Dank', 'Ran', 'Don', 'Man', 'Van', 'San', 'Jan', 'Pan', 'Fan', 'Da', 'Dann', 'Dran', 'Den']	True	11.0	False
43	ir	ihr	01-026-2-III-Eis.csv	27	40	27	ir	['irr', 'dir', 'mir', 'ihr', 'wir', 'sir', 'kir', 'er', 'in', 'im', 'ar', 'mr', 'fr', 'irq']	True	ir	ihr	['irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'IRQ']	True	3.0	False
44	fenkt	fängt	01-026-2-III-Eis.csv	1	29	1	fenkt	['denkt', 'senkt', 'lenkt', 'funkt']	True	fenkt	fängt	['denkt', 'senkt', 'lenkt', 'funkt']	False		False
45	get	geht	01-026-2-III-Eis.csv	56	85	56	get	['geht', 'et', 'gebt', 'gen', 'gut', 'geh', 'set', 'jet']	True	get	geht	['geht', 'et', 'gebt', 'gen', 'gut', 'geh', 'Set', 'Jet']	True	0.0	True
46	stolpat	stolpert	01-026-2-III-Eis.csv	2	27	2	Stolpat	['tolpatsch']	True	Stolpat	stolpert	['Tolpatsch']	False		False
47	üba	über	01-026-2-III-Eis.csv	7	35	7	üba	['übe', 'übt']	True	üba	über	['übe', 'übt']	False		False
48	fellt	fällt	01-026-2-III-Eis.csv	9	198	9	fellt	['gellt', 'feilt', 'fallt', 'pellt', 'fehlt', 'hellt', 'bellt', 'wellt', 'fällt', 'füllt', 'fell-', 'täfelt', 'tafelt']	True	fellt	fällt	['gellt', 'feilt', 'fallt', 'pellt', 'fehlt', 'hellt', 'bellt', 'wellt', 'fällt', 'füllt', 'fell-', 'täfelt', 'tafelt']	True	8.0	False
49	hinn	hin	01-026-2-III-Eis.csv	2	17	2	hinn	['hin', 'hinan', 'hing', 'sinn', 'kinn', 'zinn']	True	hinn	hin	['hin', 'hinan', 'hing', 'Sinn', 'Kinn', 'Zinn']	True	0.0	True
50	ide	idee	01-026-2-III-Eis.csv	12	34	12	ide	['ide', 'die', 'de', 'eide', 'ade', 'öde', 'ode', 'ude', 'bde']	True	ide	Idee	['IDE', 'die', 'de', 'Eide', 'ade', 'öde', 'Ode', 'Ude', 'Bde']	False		False
51	giebt	gibt	01-026-2-III-Eis.csv	16	42	15	giebt	['gibt', 'biegt', 'gebt', 'siebt', 'giert', 'riebt', 'liebt', 'gießt']	True	giebt	gibt	['gibt', 'biegt', 'gebt', 'siebt', 'giert', 'riebt', 'liebt', 'gießt']	True	0.0	True
52	glüklieg	glücklich	01-026-2-III-Eis.csv	1	163	1	glüklieg	['glückselig']	True	glüklieg	glücklich	['glückselig']	False		False
