Es	Es
war	war
mal	mal
ein	ein
Mächen	Mädchen
sie	sie
heißt	heißt
Lea	Lea
.	.
und	und
sie	sie
hatte	hatte
^	
ihr	ihr
hund	Hund
verloren	verloren
.	.
ihr	ihr
hund	Hund
heiß	heißt
Dodo	Dodo
der	der
hund	Hund
ist	ist
^	
verschwunden	verschwunden
Lea	Lea
ist	ist
sehr	sehr
traurig	traurig
Lea	Lea
hengt	hängt
^	
Bilder	Bilder
in|	in
der	der
stadt	Stadt
Bilder	Bilder
auf	auf
auf	auf
den	den
zetel	Zettel
steht	steht
^	
vermister	vermisster
Hund	Hund
wenn	wenn
sie	Sie
den	den
Hund	Hund
sehen	sehen
rufen	rufen
^	
sie	Sie
mich	mich
an	an
1234	1234
Lea	Lea
wartet	wartet
auf	auf
ein	ein
^	
anruf	Anruf
es	es
ruft	ruft
Jemand	jemand
an	an
wer	wer
es	es
wohl	wohl
ist	ist
^	
Lea	Lea
macht	macht
auf	auf
es	es
ist	ist
ein	ein
Junge	Junge
er	er
hat	hat
Dodo	Dodo
^	
gefunden	gefunden
es	es
ist	ist
Lars	Lars
er	er
sagt	sagt
ich	ich
habe	habe
den	den
hund	Hund
^	
gefunden	gefunden
ich	ich
brige	bringe
dir	dir
den	den
.	.
Lea	Lea
hat	hat
sie	sie
gefreut	gefreut
^	
es	es
klingelt	klingelt
an	an
der	der
tür	Tür
Lars	Lars
hat	hat
ein	ein
Lolipop	Lollipop
^	
mitgebracht	mitgebracht
für	für
Lea	Lea
sie|	sie
hat	hat
sie	sie
sehr	sehr
gefreut	gefreut
das	dass
^	
ihr	ihr
hund	Hund
wieder	wieder
da	da
ist	ist
Dodo	Dodo
hat	hat
sehr	sehr
^	
Hunger	Hunger
Dodo	Dodo
esst	esst
ein	ein
bissirn	bisschen
.	.
Lea	Lea
hat	hat
sich	sich
^	
sehr	sehr
gefreut	gefreut
.	.
