ver	Der
kleine	kleine
Hund	Hund
Dodo	Dodo
\h	\h
Lea	Lea
suchte	suchte
ihren	ihren
Hund	Hund
Dodo	Dodo
,	,
dafür	dafür
^	
klebte	klebte
sie	sie
auf	auf
die	die
Wänder	~Wänder
Plakate	Plakate
^	
mit	mit
Dodos	Dodos
Fotos	Fotos
.	.
Auf	Auf
den	den
Plakaten|	Plakaten
stand	stand
^	
Leas	Leas
Telefonnumer	Telefonnummer
,	,
Leas	Leas
adrese	Adresse
und	und
alles	alles
^	
andere	andere
.	.
Als	Als
Lea	Lea
nach	nach
Hause	Hause
ging	ging
,	,
^	
wartete	wartete
sie	sie
traurig	traurig
auf	auf
Dodos	Dodos
anrufe	Anrufe
.	.
^	
Da	Da
rufte	~rufte
jemand	jemand
an	an
.	.
Es	Es
war	war
Lars	Lars
.	.
^	
Er	Er
erzählte	erzählte
zu	zu
Lea	Lea
:	:
"	"
Ich	Ich
habe	habe
^	
deinen	deinen
Hund	Hund
und	und
komme	komme
jetzt	jetzt
^	
zu	zu
dir	dir
.	.
Jetzt	Jetzt
war	war
Lea	Lea
fröhlich	fröhlich
und	und
^	
sprach	sprach
zu	zu
Lars	Lars
:	:
"	"
ja	Ja
,	,
ja	ja
,	,
komm	komm
schnell	schnell
!	!
"	"
.	.
^	
Er	Er
kamm	kam
schon	schon
und	und
klingelte	klingelte
an	an
^	
die	die
Tür	Tür
.	.
Ein	Ein
Luschter	Lutscher
hatte	hatte
er	er
im	im
^	
Hand	Hand
.	.
Lea	Lea
guckte	guckte
aus	aus
dem	dem
Fenster	Fenster
.	.
^	
Als	Als
sie	sie
die	die
Tür	Tür
auf_machte	aufmachte
,	,
gab	gab
^	
Lars	Lars
ihr	ihr
einen	einen
Lutscher	Lutscher
.	.
Lea	Lea
umarmte	umarmte
^	
Lars	Lars
ganz	ganz
doll	doll
und	und
alle	alle
waren	waren
^	
fröhlich	fröhlich
und	und
zufrieden	zufrieden
.	.
