Der	Der
Spasirgan	Spaziergang
\h	\h
Lea	Lea
und	und
Lars	Lars
gen	gehen
mit	mit
^	
Dodo	Dodo
gasi	Gassi
Dodo	Dodo
rent	rennt
^	
schnela	schneller
und	und
schnela	schneller
und	und
^	
Lars	Lars
kan	kann
Dodo	Dodo
nicht	nicht
^	
mer	mehr
halten	halten
und	und
Dodo	Dodo
^	
rend	rennt
wek	weg
Lea	Lea
und	und
Lars	Lars
^	
ferfolgen	verfolgen
Dodo	Dodo
aber	aber
Dodo	Dodo
^	
ist	ist
schnelar	schneller
und	und
Dodo	Dodo
^	
tut	tut
seine	seine
hinter_beinwe	Hinterbeine
^	
und	und
Dodo	Dodo
ferfolgt	verfolgt
den	den
^	
frosch	Frosch
und	und
dan	dann
sprink	spring
^	
der	der
Frosch	Frosch
über	über
die	die
^	
mauer	Mauer
Dodo	Dodo
sprinkt	springt
^	
ebensfals	ebenfalls
über	über
die	die
maua	Mauer
^	
der	der
Frosch	Frosch
sprinkt	springt
auf	auf
^	
ein	ein
serosen_blat	Seerosenblatt
und	und
Dodo	Dodo
^	
in	in
den	den
nasen	nassen
teich	Teich
Lea	Lea
^	
und	und
Lars	Lars
lachten	lachten
.	.
Ende	Ende
.	.
