Ein	Ein
süßer	süßer
Hund	Hund
\h	\h
Lea	Lea
und	und
Lars	Lars
treffen	treffen
sich	sich
auf	auf
dem	dem
Schuhlhof	Schulhof
.	.
^	
Lea	Lea
wartet	wartet
schohn	schon
sehn_süchtig	sehnsüchtig
auf	auf
lars	Lars
,	,
da	da
hört	hört
sie	sie
:	:
"	"
Lea	Lea
^	
Lea	Lea
.	.
"	"
und	und
dreht	dreht
sich	sich
um	um
.	.
Lars|	Lars
sagt	sagt
hey	hey
du	du
hast	hast
ja	ja
dodo	Dodo
dabei	dabei
.	.
^	
Dodo	Dodo
belt	bellt
vor	vor
freude	Freude
,	,
Lea	Lea
macht	macht
die	die
Jake	Jacke
auf	auf
so	so
das	dass
^	
Lars	Lars
ihn	ihn
richtig	richtig
sehen	sehen
kann	kann
.	.
Dodo	Dodo
und	und
Lars	Lars
machen	machen
^	
nase	Nase
an	an
nase	Nase
.	.
Lars	Lars
gibt	gibt
dodo	Dodo
die	die
hand	Hand
und	und
sagt	sagt
hallo	hallo
^	
dodo	Dodo
,	,
da	da
klingelt	klingelt
auch	auch
schohn	schon
die	die
Schuhl_Glocke	Schulglocke
.	.
^	
Lars	Lars
sagt	sagt
:	:
"	"
So	So
dodo	Dodo
du	du
must	musst
jetzt	jetzt
wieder	wieder
in	in
die	die
Jake	Jacke
.	.
"	"
Und	Und
Lea	Lea
schliest	schließt
die	die
Jake	Jacke
wieder	wieder
.	.
Jetzt	Jetzt
geht	geht
es	es
in	in
die	die
Klasse	Klasse
,	,
^	
und	und
das	das
Mädchen	Mädchen
hinter	hinter
Lea	Lea
erschreckt	erschreckt
sich	sich
der	der
Junge	Junge
neben	neben
dem	dem
^	
medchen	Mädchen
kukt	kuckt
was	was
es	es
sein	sein
könte	könnte
.	.
Da	Da
sieht	sieht
er	er
das	dass
die	die
Pfote	Pfote
^	
sich	sich
bewegt	bewegt
.	.
Lars	Lars
kukt	kuckt
kurtz	kurz
nach	nach
hinten	hinten
und	und
sagt	sagt
Lea	Lea
^	
das	dass
der	der
Junge	Junge
die	die
Pfote	Pfote
gesehen	gesehen
hat	hat
,	,
da	da
sagt	sagt
Lea	Lea
:	:
"	"
So	So
lange	lange
der	der
^	
hund	Hund
nicht	nicht
gesehen	gesehen
wird	wird
brauchst	brauchst
du	du
keine	keine
angst	Angst
haben	haben
.	.
"	"
Sie	Sie
mussten	mussten
^	
ihre	ihre
hefte	Hefte
rauslegen	rauslegen
und	und
sie	sie
am	am
Tischende	Tischende
hinlegen	hinlegen
,	,
da	da
sagt	sagt
Lars	Lars
:	:
"	"
^	
hoffentlich	Hoffentlich
entdeckt	entdeckt
die	die
Lehrerin	Lehrerin
dodo	Dodo
nicht	nicht
.	.
"	"
,	,
Da	Da
sagt	sagt
Lea	Lea
:	:
Das	Das
wird	wird
^	
sie	sie
schon	schon
nicht	nicht
entdeken	entdecken
.	.
^	
Jetzt	Jetzt
müssen	müssen
Lea	Lea
Lars	Lars
und	und
die	die
anderen	anderen
rechnen	rechnen
.	.
Dodo	Dodo
^	
siht	sieht
einen	einen
Vogel	Vogel
und	und
schleicht	schleicht
sich	sich
aus	aus
der	der
Jake	Jacke
.	.
^	
auf	Auf
einmal	einmal
belt	bellt
er	er
und	und
Lea	Lea
denkt	denkt
:	:
"	"
Nein	Nein
jetzt	jetzt
weis	weiß
die	die
^	
Lehrerin	Lehrerin
es	es
die	die
Lehrerin	Lehrerin
komt	kommt
zu	zu
Lea	Lea
und	und
sagt	sagt
:	:
"	"
Lea	Lea
du	du
hast	hast
^	
einen	einen
Hund	Hund
mit	mit
gebracht	gebracht
warum	warum
hast	hast
du	du
es	es
nicht	nicht
gleich	gleich
gesagt	gesagt
.	.
^	
Und	Und
sie	sie
kuken	kucken
beide	beide
zu	zu
.	.
