id	misspelling	gold	suggestions	suggestions_withRank
1	belt	bellt	[welt, bellt, bebt, beet]	{1.0=[welt, bellt, bebt, beet]}
2	kukt	kuckt	[kurz, lugt, kaut, Spukt, gut, quakt, kamt, kaust, hakt, küßt, tut, tust, ruckt, äugt, quäkt, zuckt, just, hupt, duzt, ruft, spukt, kalt, duckt, juckt, mußt, tunkt, bunt, buk, ruht, kickt, guckt, kauft]	{2.0=[kurz, lugt, kaut, Spukt, gut, quakt, kamt, kaust, hakt, küßt, tut, tust, ruckt, äugt, quäkt, zuckt, just, hupt, duzt, ruft, spukt, kalt, duckt, juckt, mußt, tunkt, bunt, buk, ruht, kickt, guckt, kauft]}
3	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
4	gekricht	gekriegt	[gekracht, Gericht, gereicht, geknickt, gekrächzt, gekickt, gebracht, gekreischt, geklickt, gerecht, gekriegt, gerächt, gekeucht, gekräht, gekocht]	{1.0=[gekracht], 1.5=[Gericht], 2.0=[gereicht, geknickt, gekrächzt, gekickt, gebracht, gekreischt, geklickt, gerecht, gekriegt, gerächt, gekeucht, gekräht, gekocht]}
5	leken	lecken	[lenken, lesen, leben, lecken, legen]	{1.0=[lenken, lesen, leben, lecken, legen]}
6	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
7	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
8	lekt	leckt	[leckt, legt, lest, lebt, lenkt]	{1.0=[leckt, legt, lest, lebt, lenkt]}
9	fom	vom	[vom, Vom, Form]	{1.0=[vom], 1.5=[Vom, Form]}
10	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
11	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
12	leken	lecken	[lenken, lesen, leben, lecken, legen]	{1.0=[lenken, lesen, leben, lecken, legen]}
13	gawen	kaufen	[gaben, Gasen, Gaben]	{1.0=[gaben], 1.5=[Gasen, Gaben]}
14	din	ein	[die, in, bin, dein, ein, den, dir, hin, drin]	{1.0=[die, in, bin, dein, ein, den, dir, hin, drin]}
15	Keld	Geld	[Feld, Held, Geld]	{1.0=[Feld, Held, Geld]}
16	man	Mann	[man, Man, mag, mal, maß, an, ran]	{0.0=[man], 0.5=[Man], 1.0=[mag, mal, maß, an, ran]}
17	man	Mann	[man, Man, mag, mal, maß, an, ran]	{0.0=[man], 0.5=[Man], 1.0=[mag, mal, maß, an, ran]}
18	gien	gehen	[gen, gieß, Gier]	{1.0=[gen, gieß], 1.5=[Gier]}
19	nahaise	nachhause	[anfasse, fahrige, anhast, nahe, anhatte, nahes, hause, nasse, hasse, anhabe, nahte, anhalte]	{3.0=[anfasse, fahrige, anhast, nahe, anhatte, nahes, hause, nasse, hasse, anhabe, nahte, anhalte]}
20	esen	essen	[lesen, Wesen, Besen, eben, essen, Lesen]	{1.0=[lesen, Wesen, Besen, eben, essen, Lesen]}
21	esen	essen	[lesen, Wesen, Besen, eben, essen, Lesen]	{1.0=[lesen, Wesen, Besen, eben, essen, Lesen]}
22	aba	aber	[ab, Ab, Aha]	{1.0=[ab], 1.5=[Ab, Aha]}
23	gieben	geben	[lieben, rieben, geben, sieben, hieben, gießen]	{1.0=[lieben, rieben, geben, sieben, hieben, gießen]}
24	wollt	wollte	[wollt, Wollt, wallt, sollt, wollte, wolle, rollt]	{0.0=[wollt], 0.5=[Wollt], 1.0=[wallt, sollt, wollte, wolle, rollt]}
25	feid	fällt	[feig, leid, seid, fein]	{1.0=[feig, leid, seid, fein]}
26	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
