Teddigondel	Teddygondel
\h	\h
"	"
Lars	Lars
!	!
"	"
,	,
rief	rief
Lea	Lea
,	,
bekomm	bekomm
ich	ich
mein	mein
Teddy	Teddy
^	
wieder	wieder
?	?
Da	Da
machte	machte
Lars	Lars
auch	auch
schonn	schon
das	das
^	
Fenster	Fenster
auf	auf
und	und
rief	rief
zurück	zurück
:	:
"	"
Klar	Klar
!	!
"	"
^	
Da	Da
wirft	wirft
lass	Lars
eine	eine
Drachenschnurr	Drachenschnur
und	und
sprach	sprach
:	:
^	
"	"
Fang	Fang
!	!
und	und
knotete	knotete
es	es
am	am
Fenster	Fenster
zu	zu
.	.
"	"
Als	Als
Lea	Lea
^	
das	das
Seil	Seil
zugeknotet	zugeknotet
hat	hat
warf	warf
sie	sie
das	das
Seil	Seil
zurück	zurück
^	
und	und
Lars	Lars
knottet	knotet
das	das
andere	andere
Ende	Ende
zu	zu
.	.
Dann	Dann
^	
narm	nahm
Lars	Lars
seine	seine
mini_Gondel	Minigondel
und	und
den	den
Teddy	Teddy
^	
legte	legte
er	er
in	in
die	die
Gondel	Gondel
.	.
Die	Die
Gondel	Gondel
hang	~hang
er	er
^	
auf	auf
das	das
Seile	Seile
und	und
laste	~lasste
die	die
Gondel	Gondel
fahren	fahren
,	,
aber	aber
^	
Plötzlich	plötzlich
gang	~gang
der	der
Knoten	Knoten
von	von
Lea	Lea
los	los
und	und
^	
die	die
Gondel	Gondel
krachte	krachte
ins	ins
Fenster	Fenster
rein	rein
!	!
^	
Lea	Lea
und	und
Lars	Lars
erschraken	erschraken
nur	nur
und	und
die	die
Frau	Frau
^	
die	die
neben	neben
das	das
Fenster	Fenster
stand	stand
guckte	guckte
nur	nur
entsetzt	entsetzt
.	.
