Kleine	Kleine
Dodo	Dodo
\h	\h
Lea	Lea
hate	hatte
plakarten	Plakaten
dran	dran
ge_^kelegt	geklebt
weil	weil
Dodo	Dodo
wekgelaufen	weggelaufen
^	
ist	ist
.	.
Als	Als
sie	sie
nach	nach
hause	Hause
kam	kam
hat	hat
^	
sie	sie
geheult	geheult
weil	weil
sie	sie
dodo	Dodo
makde	~magte
^	
Dodo	Dodo
war	war
ein	ein
süßer	süßer
Hund	Hund
.	.
Plötzlich	Plötzlich
^	
iest	ist
ein	ein
an_ruf	Anruf
gekomen	gekommen
Lea	Lea
^	
war	war
imer	immer
noch	noch
tarurig	traurig
weil	weil
sie	sie
es	es
^	
nicht	nicht
wuste	wusste
das	dass
das	das
vom	vom
dodo	Dodo
^	
ist	ist
.	.
Lea	Lea
hat	hat
halo	hallo
gesagt	gesagt
^	
Lars	Lars
hat	hat
auch	auch
halo	hallo
gesagt	gesagt
^	
Lars	Lars
hat	hat
plötzlich	plötzlich
gesagt	gesagt
^	
Lea	Lea
ich	ich
habe	habe
dein	dein
Hund	Hund
gefunden	gefunden
.	.
^	
Lea	Lea
war	war
frölich	fröhlich
sieh	sie
hat	hat
dem	dem
^	
Adrese	Adresse
gegeben	gegeben
dann	dann
hat	hat
^	
Lars	Lars
gesagt	gesagt
ich	ich
komme	komme
dah_^in	dahin
,	,
Lea	Lea
hat	hat
gewartet	gewartet
plötztlich	plötzlich
^	
ist	ist
Lars	Lars
gekommen	gekommen
hat	hat
geklingelt	geklingelt
^	
Lea	Lea
hat	hat
auf_gemacht	aufgemacht
Dodo	Dodo
ist	ist
auf	auf
^	
Lea	Lea
geschbrungen	gesprungen
Lea	Lea
war	war
frölich	fröhlich
.	.
^	
Lars	Lars
hate	hatte
ein	ein
Lucer	Lutscher
mit	mit
gebracht	gebracht
^	
Lea	Lea
hat	hat
lars	Lars
geknudelt	geknuddelt
dodo	Dodo
^	
war	war
nämlich	nämlich
auch	auch
frölich	fröhlich
weil	weil
^	
er	er
hunger	Hunger
hate	hatte
vor	vor
dem	dem
reise	Reise
.	.
