Frü	Früh
am	am
morgen	Morgen
Stit|	steht
Lea	Lea
amf	auf
^	
und	und
kukct	kuckt
nah	nach
iren	ihren
Hund	Hund
Dodo	Dodo
^	
Dodo	Dodo
ist	ist
nurkemzwo	nirgendwo
zu	zu
finden	finden
^	
sie	sie
stit|	steht
auf	auf
und	und
Traurig	traurig
git|	geht
si	sie
Plakate	Plakate
auf_hengen	aufhängen
.	.
^	
Sie	Sie
Wastet	wartet
auf	auf
ein	ein
a*_ruf	Anruf
und	und
^	
weind	weint
.	.
^	
auf	auf
ein_mal	einmal
ruft	ruft
ir	ihr
freund	Freund
an	an
der	der
Lars	Lars
^	
und|	und
sagt	sagt
ich	ich
nab|	hab
Dodo	Dodo
gefunden	gefunden
.	.
^	
Lea	Lea
mus	muss
for	vor
laute*	lauter
freude	Freude
weinen	weinen
^	
Lars	Lars
und	und
Dodo	Dodo
sind	sind
schurch	schon
dar	da
Lea	Lea
Bist	bist
^	
glücklich	glücklich
.	.
^	
Lea	Lea
drücKt	drückt
din	den
Lars	Lars
und	und
Lars	Lars
X	X
gibt	gibt
ir	ihr
^	
ein	ein
loli	Lolli
geschenk	Geschenk
und	und
Dodo	Dodo
ist	ist
hundefuter	Hundefutter
.	.
