Überaschung	Überraschung
in	in
der	der
Schule	Schule
\h	\h
Lea	Lea
wahrtette	wartete
auf	auf
dem	dem
Schulgelende	Schulgelände
auf	auf
Lars	Lars
.	.
^	
Da	Da
kam	kam
Lars	Lars
auf	auf
das	das
Schulgelende	Schulgelände
gerand	gerannt
,	,
Lars	Lars
dachte	dachte
^	
und	und
wunderte	wunderte
sie	sie
sich	sich
was	was
Lea	Lea
unter	unter
der	der
Jacke	Jacke
^	
hat	hat
sie	sie
kamen	kamen
gegen_seitig	gegenseitig
angerant	angerannt
und	und
da	da
hatte	hatte
er	er
^	
ein	ein
ohr	Ohr
gesehen	gesehen
,	,
das	das
ist	ist
doch	doch
Doddos	Dodos
ohr	Ohr
?	?
Er	Er
fragte	fragte
^	
sie	sie
was	was
hast	hast
du	du
unter	unter
deiner	deiner
Jacke	Jacke
ler	Lea
stoterte	stotterte
^	
Doddo	Dodo
Lars	Lars
kuckte	kuckte
ganz	ganz
erschrocken	erschrocken
wir|	wir
düfen	dürfen
^	
keine	keine
Hunde	Hunde
mit	mit
nehmen	nehmen
wen	wenn
das	das
der	der
Hausmeister	Hausmeister
siht	sieht
^	
dan	dann
gibs	gibts
aber	aber
ärger	Ärger
du	du
weist	weißt
doch	doch
das	dass
der	der
^	
Haus_meister	Hausmeister
ga|	gar
nich	nicht
mag	mag
wen	wenn
mam	man
sich	sich
^	
nicht	nicht
an	an
die	die
Regeln	Regeln
halt	halt
aber	aber
Lea	Lea
sagt	sagt
das	das
^	
persirt	passiert
nicht	nicht
sagt	sagt
Lea	Lea
.	.
Lars	Lars
sagt	sagt
Das	Das
ist	ist
Ja	ja
^	
Doddo	Dodo
er	er
nimt	nimmt
die	die
Fohte	Pfote
von	von
im	ihm
und	und
sagt	sagt
hallo	hallo
^	
da	da
hatt	hat
es	es
geschelt	geschellt
die	die
Matematig_lererin	Mathematiklehrerin
kan	kam
,	,
^	
in	in
Untericht	Unterricht
kwasten	quatschten
sie	sie
nur	nur
dan	dann
hat	hat
Lea	Lea
an_gefangen	angefangen
^	
su	zu
rechnen	rechnen
Doddo	Dodo
hatte	hatte
einen	einen
Vogel	Vogel
gesehen	gesehen
,	,
^	
da	da
hatte	hatte
er	er
plotzlich	plötzlich
an_gefangen	angefangen
zu	zu
bellen	bellen
.	.
Lea	Lea
hatte	hatte
^	
in	ihn
zu_ruck	zurück
gesogen	gezogen
und	und
hatte	hatte
gesagt	gesagt
stop	stop
Doddo	Dodo
.	.
^	
Die	Die
Lehrerin	Lehrerin
hatte	hatte
gesagt	gesagt
das	das
hatte	hatte
ich	ich
auch	auch
mal	mal
gemacht	gemacht
^	
Lea	Lea
wahr	war
es	es
paeinlich	peinlich
.	.
