|corrected|suggestions
0|Bellt|
1|Kuckt|['Rückt', 'Guckt', 'Zuckt', 'Zückt', 'Knickt', 'Bückt', 'Glückt', 'Duckt', 'Kokke', 'Juckt', 'Muckt', 'Guckst', 'Ruckt', 'Kickt', 'Kunst', 'Klickt', 'Kurt', 'Knackt', 'Punkt', 'Guck']
2|Dann|
3|Gekriegt|
4|Lecken|
5|Fällt|
6|Wollte|
7|Leckt|
8|Vom|
9|Kaufen|
10|Ein|
11|Geld|
12|Mann|
13|Gehen|
14|Nachhause|
15|Essen|
16|Aber|
17|Geben|
18|Will|
19|Gibt|
20|Der|
21|Ab|
22|Alle|
23|Fröhlich|
24|Sind|
25|Weitergegangen|
26|Natürlich|
27|Über|
28|Ihr|
29|Runter|
30|Haben|
31|Schnell|
32|Hatten|
33|Kugel|
34|Hatte|
35|Gelb|
36|Eisverkäufer|
37|Ihn|
38|Fängt|
39|Geht|
40|Stolpert|
41|Hin|
42|Idee|
43|Glücklich|
44|Bekommen|
45|Kaputt|
46|Hingefallen|
47|Teilt|
48|Möchte|
49|Passt|
50|Weil|
51|Und|
52|Runtergefallen|['Heruntergefallen']
53|Er|
54|Wegen|
55|Weint|
56|Hier|
57|Kriegt|
58|Bisschen|
59|Auf|
60|Schleckt|
61|Alles|
62|Tröpfchen|
63|Gestolpert|
64|Wehgetan|
65|Riech|['Sieg', 'Riege', 'Reich', 'Rigg', 'Riecht', 'Bieg', 'Rieke', 'Lieg', 'Riesch', 'Rieche', 'Ring', 'Siech', 'Wieg', 'Sich', 'Liegt', 'Ging', 'Ich', 'Trägt', 'Rasch', 'Recht']
66|Spazieren|
67|Fallt|
68|Eine|
69|Sich|
70|Gemerkt|
71|Dass|
72|Getropft|
73|Gefallen|
74|Richtig|
75|Iss|
76|Hinterher|
77|In|
78|Eiswagen|
79|Sie|
80|Stolper|
81|Versucht|
82|Gebt|
83|Was|
84|Wenn|
85|Nicht|
86|Gestorben|
87|Heute|
88|Traurig|
89|Kam|
90|Leckte|
91|Plötzlich|
92|Fiel|
93|Weiter|
94|Eisstand|
95|Schmilzt|
96|Frisst|
97|Wieder|
98|Holen|
99|Passiert|
100|Stolperte|
101|Verliert|
102|Schnappen|
103|Nett|
104|Park|
105|Nimmt|
106|Vanille|
107|Erdbeere|
108|Waldmeister|
109|Sagt|
110|Pass|
111|Tut|
112|Hälfte|
113|Von|
114|Rein|
115|Jetzt|
116|Einer|
117|Fallen|
118|Schön|
119|Isst|
120|Ist|
121|Sehr|
122|Ausgerutscht|
123|Gegangen|
124|Gegessen|
125|Jeder|
126|Teil|
127|Hat|
128|Aufstehen|
129|Unten|
130|Geteilt|
131|Freut|
132|Eis|
133|Ruhe|
134|Auch|
135|Sammelt|
136|Ihrem|
137|Tröstet|
138|Eiskugel|
139|Eismann|
140|Schleckte|
141|Weh|
142|Zusammen|
143|Zermatscht|
144|Klettert|
145|Tropft|
146|Merkt|
147|Kläfft|
148|Tropfen|
149|Darf|
150|Denn|
151|Erdbeer|['Erdbeere', 'Erdmeer', 'Erdheer', 'Erdteer', 'Erdiger', 'Erdbier', 'Erdbeben', 'Erdbär', 'Eroberer', 'Erdbäder', 'Erdbeeren', 'Erober', 'Erdberg', 'Erobere', 'Erdsee', 'Erdbeet', 'Erdader', 'Erdbeter', 'Erdbänder']
152|Krieg|
153|Nichts|
154|Sies|['Dies', 'Sie', 'Ließ', 'Sitz', 'Hieß', 'Sieg', 'Wies', 'Kies', 'Sees', 'Ries', 'Lies', 'Kiez', 'Sims', 'Sieh', 'Sieb', 'Zieh', 'Sykes', 'Eies', 'Mies', 'Zier']
155|Dir|
156|Steht|
157|Danke|
158|Schlecken|
159|Einmal|
160|Hörnchen|
161|Steh|
162|Bedankt|
163|Wars|['März', 'Wärs', 'Harz', 'War', 'Mars', 'Was', 'Lars', 'Walz', 'Wäre', 'Wals', 'Warf', 'Wams', 'Warze', 'Bars', 'Warb', 'Darß', 'Warm', 'Sars', 'Varus', 'Ward']
164|Tropf|
165|Schups|['Schubs', 'Schutz', 'Schulz', 'Schuss', 'Schubse', 'Schub', 'Schubst', 'Gips', 'Schwups', 'Guss', 'Schütz', 'Schuhs', 'Gabs', 'Schurz', 'Gab', 'Schübe', 'Gibt', 'Guts', 'Ganz']
166|Runterfallen|['Herunterfallen']
167|Lassen|
168|Froh|
169|Schluckt|
170|Rennt|
171|Los|
172|Wollten|
173|Kriegte|
174|Vor|
175|Füße|
176|Waren|
177|Könnten|
178|Abgeleckt|
179|Mehr|
180|Eisdiele|
181|Seine|
182|Guckt|
183|Boden|
184|Bestellen|
185|Abkriegt|
186|Bekommt|
187|Immer|
188|Hats|['Hat es', 'Hatz', 'Hat', 'Hans', 'Satz', 'Haus', 'Hast', 'Katz', 'Hals', 'Rads', 'Harz', 'Bads', 'Hits', 'Chats', 'Haas', 'Hass', 'Kats', 'Latz', 'Hades', 'Rats', 'Dads']
189|Extra|
190|Da|
191|Gezeigt|
192|Geleckt|
193|Bällchen|
194|Lasst|
195|Euch|
196|Schmecken|
197|Mitten|
198|Hohen|
199|Aufzustehen|
200|Schokolade|
201|Mädchen|
202|Heißt|
203|Gekauft|
204|Eiströpfchen|
205|Indem|
206|Bis|
207|War|
208|Freunde|
209|Schöne|
210|Frische|
211|Können|
212|Zwei|
213|Erdbeerkugel|
214|Bitte|
215|Dankeschön|
216|Sei|
217|Kriegst|
218|Keine|
219|Gegeben|
220|Merkst|
221|Runterfällt|
222|Ups|
223|Schmilz|
224|Doch|
225|Teilte|
226|Später|
227|Eissorte|
228|Wollen|
229|Schlabbert|
230|Hilft|
