|original|corrected|filename|freq_ori|freq_cor|freq_tup|suggestions|in_sugg|sugg_idx|idx0
0|belt|bellt|01-005-2-III-Eis.csv|91|138|91|['ballt', 'bellt', 'beult', 'bellst', 'hebelt', 'beeilt', 'pellt', 'ballte', 'Bild', 'gelt']|True|1.0|False
1|kukt|kuckt|01-005-2-III-Eis.csv|73|152|73|['Guckt', 'kuckt', 'kickt', 'guckt', 'Guckst', 'guckst', 'kickst', 'Guckte', 'kickte', 'kickten']|True|1.0|False
2|dan|dann|01-005-2-III-Eis.csv|627|651|621|['Dan', 'dann', 'Dann', 'darin', 'dank', 'dran', 'den', 'Darin', 'Dean', 'dar']|True|1.0|False
3|gekricht|gekriegt|01-005-2-III-Eis.csv|2|15|2|['gekriegt', 'gekracht', 'gekreischt', 'verkriecht', 'gegrillt', 'Gericht', 'Gekriech', 'gekrächzt', 'gekratzt', 'verkriechst']|True|0.0|True
4|leken|lecken|01-005-2-III-Eis.csv|14|17|14|['lecken', 'lenken', 'legen', 'Lecken', 'leckend', 'leckten', 'legten', 'Lenken', 'Legen', 'blecken']|True|0.0|True
5|felt|fällt|01-005-2-III-Eis.csv|93|198|90|['fallt', 'fehlt', 'fällt', 'feilt', 'fackelt', 'verhält', 'Fehlt', 'Fallt', 'Feld', 'Fällt']|True|2.0|False
6|wolte|wollte|01-005-2-III-Eis.csv|173|201|173|['wollte', 'Wollte', 'Volte', 'wollten', 'wolltet', 'wolle', 'wohnte', 'Wollten', 'wölbte', 'wegholte']|True|0.0|True
7|lekt|leckt|01-005-2-III-Eis.csv|20|42|19|['leckt', 'legt', 'lenkt', 'Leckt', 'Legt', 'legst', 'lenk', 'lenkst', 'leckte', 'leckten']|True|0.0|True
8|fom|vom|01-005-2-III-Eis.csv|13|16|13|['vom', 'Vom', 'vorn', 'vorm', 'Form', 'Vorn', 'fromm', 'Vorm', 'formt', 'flop']|True|0.0|True
9|gawen|kaufen|01-006-2-III-Eis.csv|1|6|1|['grauen', 'gehauen', 'genauen', 'kauen', 'geruhen', 'Kauen', 'gaffen', 'genervten', 'Grauen', 'gehauenen']|False||False
10|din|ein|01-006-2-III-Eis.csv|2|26|1|['dien', 'Dien', 'drin', 'dein', 'Ding', 'dienen', 'dient', 'diene', 'bin', 'Dan']|False||False
11|Keld|Geld|01-006-2-III-Eis.csv|1|5|1|['Geld', 'Kelte', 'Kalt', 'Kelten', 'Kellner', 'Kelch', 'Kilt', 'Kalb', 'Kelle', 'Kegle']|True|0.0|True
12|man|Mann|01-006-2-III-Eis.csv|79|132|79|['man', 'mann', 'Man', 'Mann', 'mahnen', 'manch', 'mahne', 'Marin', 'mahnt', 'maant']|True|3.0|False
13|gien|gehen|01-006-2-III-Eis.csv|1|78|1|['gären', 'ging', 'agieren', 'gingen', 'gießen', 'giften', 'Kinn', 'gehen', 'Gin', 'griene']|True|7.0|False
14|nahaise|nachhause|01-006-2-III-Eis.csv|1|10|1|['Nachweise', 'Nachhause', 'megaheiße', 'nachweisen', 'nachließe', 'Nachspeise', 'nachhaltige', 'nachgießen', 'nachwachsen', 'nachließen']|False||False
15|esen|essen|01-006-2-III-Eis.csv|22|14|12|['essen', 'lesen', 'säßen', 'einlesen', 'Essen', 'Ästen', 'echten', 'ehesten', 'Eseln', 'isses']|True|0.0|True
16|aba|aber|01-006-2-III-Eis.csv|21|60|21|['aba', 'aber', 'absah', 'Aber', 'Alp', 'ablas', 'Abo', 'absaß', 'abgab', 'Abart']|True|1.0|False
