wie_so	Wieso
bist	bist
du	du
abgehauen	abgehauen
Dodo	Dodo
\h	\h
Lea	Lea
findet	findet
dodo	Dodo
nich	nicht
weil	weil
beim	beim
gassie	Gassi
^	
ist	ist
er	er
abgehauen	abgehauen
.	.
Darum	Darum
hat	hat
lea	Lea
Plakate	Plakate
^	
aufgehengt	aufgehängt
.	.
^	
Sie	Sie
hat	hat
ein	ein
fress_napf	Fressnapf
auf	auf
den	den
flur	Flur
^	
gelegt	gelegt
das	dass
verleicht	vielleicht
dodo	Dodo
es	es
richen	riechen
kann	kann
^	
und	und
kommt	kommt
Dodo	Dodo
wider	wieder
,	,
Lea	Lea
wartet	wartet
und	und
warted	wartet
^	
das	dass
einen	einen
anfeufft	anruft
und	und
haltet	haltet
den	den
Stift	Stift
in	in
ihrer	ihrer
Hand	Hand
^	
lea	Lea
war	war
auf_geregt	aufgeregt
das	dass
das	das
einer	einer
anruft	anruft
^	
und	und
lars	Lars
hat	hat
angerufen	angerufen
lars	Lars
hat	hat
^	
gesagt	gesagt
das	dass
dodo	Dodo
bei	bei
mir	mir
ist	ist
.	.
^	
Lea	Lea
war	war
überglücklich	überglücklich
das	dass
dodo	Dodo
^	
bei	bei
lars	Lars
ist	ist
und	und
lasst	lasst
ihr	ihr
stift	Stift
fallen	fallen
^	
und	und
schreit	schreit
über_glücklich	überglücklich
.	.
^	
Es	Es
hat	hat
geklingelt	geklingelt
es	es
war	war
lars	Lars
und	und
^	
dodo	Dodo
sie	sie
war	war
glücklich	glücklich
das	dass
lars	Lars
dodo	Dodo
^	
gefunden	gefunden
hat	hat
.	.
^	
Lea	Lea
hat	hat
die	die
tür	Tür
aufgemacht	aufgemacht
und	und
lea	Lea
^	
um_armt	umarmt
lars	Lars
,	,
und	und
dodo	Dodo
ist	isst
wie	wie
ein	ein
Schwein	Schwein
.	.
